Month,"Leaded Regular Gasoline, U.S. City Average Retail Price","Unleaded Regular Gasoline, U.S. City Average Retail Price","Unleaded Premium Gasoline, U.S. City Average Retail Price","All Grades of Gasoline, U.S. City Average Retail Price","Regular Motor Gasoline, Conventional Gasoline Areas, Retail Price","Regular Motor Gasoline, Reformulated Gasoline Areas, Retail Price","Regular Motor Gasoline, All Areas, Retail Price",On-Highway Diesel Fuel Price
,(Dollars per Gallon Including Taxes),(Dollars per Gallon Including Taxes),(Dollars per Gallon Including Taxes),(Dollars per Gallon Including Taxes),(Dollars per Gallon Including Taxes),(Dollars per Gallon Including Taxes),(Dollars per Gallon Including Taxes),(Dollars per Gallon Including Taxes)
1973 January,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1973 February,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1973 March,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1973 April,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1973 May,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1973 June,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1973 July,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1973 August,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1973 September,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1973 October,0.402,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1973 November,0.418,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1973 December,0.437,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 January,0.465,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 February,0.491,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 March,0.528,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 April,0.537,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 May,0.55,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 June,0.556,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 July,0.558,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 August,0.554,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 September,0.55,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 October,0.534,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 November,0.528,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1974 December,0.528,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 January,0.532,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 February,0.533,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 March,0.534,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 April,0.54,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 May,0.55,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 June,0.567,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 July,0.591,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 August,0.595,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 September,0.597,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 October,0.594,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 November,0.589,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1975 December,0.586,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 January,0.584,0.605,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 February,0.578,0.6,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 March,0.569,0.594,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 April,0.567,0.592,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 May,0.576,0.6,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 June,0.592,0.616,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 July,0.599,0.623,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 August,0.603,0.628,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 September,0.604,0.63,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 October,0.603,0.629,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 November,0.602,0.629,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1976 December,0.6,0.626,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1977 January,0.6,0.627,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1977 February,0.607,0.637,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1977 March,0.612,0.643,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1977 April,0.619,0.651,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1977 May,0.626,0.659,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
1977 June,0.63,0.665,Not Available,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable
