Month,"Average Retail Price of Electricity, Residential","Average Retail Price of Electricity, Commercial","Average Retail Price of Electricity, Industrial","Average Retail Price of Electricity, Transportation","Average Retail Price of Electricity, Other","Average Retail Price of Electricity, Total"
,"(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)"
1976 January,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 February,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 March,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 April,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 May,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 June,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1976 July,3.9,3.7,2.3,Not Available,Not Available,3
1976 August,3.7,3.6,2.2,Not Available,Not Available,3
1976 September,3.8,3.7,2.2,Not Available,Not Available,3.1
1976 October,3.9,3.8,2.2,Not Available,Not Available,3.2
1976 November,3.8,3.8,2.2,Not Available,Not Available,3.1
1976 December,3.6,3.7,2.3,Not Available,Not Available,3.1
1977 January,3.6,3.8,2.4,Not Available,Not Available,3.2
1977 February,3.7,3.9,2.4,Not Available,Not Available,3.3
1977 March,4,4,2.4,Not Available,Not Available,3.3
1977 April,4.1,4,2.4,Not Available,Not Available,3.3
1977 May,4.2,4.1,2.5,Not Available,Not Available,3.4
1977 June,4.2,4.1,2.5,Not Available,Not Available,3.4
1977 July,4.2,4.1,2.6,Not Available,Not Available,3.6
1977 August,4.4,4.4,2.6,Not Available,Not Available,3.7
1977 September,4.3,4.2,2.6,Not Available,Not Available,3.6
1977 October,4.3,4.3,2.6,Not Available,Not Available,3.5
1977 November,4.2,4.2,2.6,Not Available,Not Available,3.5
1977 December,4,4.1,2.5,Not Available,Not Available,3.4
1978 January,3.9,4.1,2.6,Not Available,Not Available,3.5
1978 February,3.9,4.2,2.7,Not Available,Not Available,3.5
1978 March,4.1,4.3,2.9,Not Available,Not Available,3.7
1978 April,4.3,4.4,2.8,Not Available,Not Available,3.7
1978 May,4.5,4.4,2.8,Not Available,Not Available,3.7
1978 June,4.5,4.5,2.8,Not Available,Not Available,3.8
1978 July,4.5,4.4,2.8,Not Available,Not Available,3.8
1978 August,4.5,4.4,2.8,Not Available,Not Available,3.8
1978 September,4.5,4.4,2.8,Not Available,Not Available,3.8
1978 October,4.5,4.5,2.8,Not Available,Not Available,3.7
1978 November,4.4,4.4,2.8,Not Available,Not Available,3.7
1978 December,4.2,4.3,2.8,Not Available,Not Available,3.6
1979 January,4.1,4.3,2.8,Not Available,Not Available,3.6
1979 February,4.1,4.3,2.9,Not Available,Not Available,3.7
1979 March,4.3,4.4,2.9,Not Available,Not Available,3.8
1979 April,4.5,4.5,2.9,Not Available,Not Available,3.8
1979 May,4.7,4.7,3,Not Available,Not Available,3.9
1979 June,4.9,4.7,3,Not Available,Not Available,4
1979 July,4.9,4.8,3.1,Not Available,Not Available,4.2
1979 August,4.9,4.8,3.1,Not Available,Not Available,4.2
1979 September,5,4.8,3.2,Not Available,Not Available,4.2
1979 October,5,4.9,3.2,Not Available,Not Available,4.2
1979 November,4.8,4.9,3.2,Not Available,Not Available,4.1
1979 December,4.7,4.9,3.3,Not Available,Not Available,4.2
1980 January,4.7,4.9,3.3,Not Available,Not Available,4.2
1980 February,4.7,5,3.3,Not Available,Not Available,4.3
1980 March,4.9,5.2,3.5,Not Available,Not Available,4.4
1980 April,5.1,5.3,3.5,Not Available,Not Available,4.5
1980 May,5.4,5.4,3.6,Not Available,Not Available,4.6
1980 June,5.6,5.6,3.8,Not Available,Not Available,4.9
1980 July,5.7,5.7,3.9,Not Available,Not Available,5
1980 August,5.7,5.6,3.9,Not Available,Not Available,5.1
1980 September,5.7,5.7,3.9,Not Available,Not Available,5
1980 October,5.7,5.8,3.8,Not Available,Not Available,5
1980 November,5.6,5.7,3.9,Not Available,Not Available,4.9
1980 December,5.5,5.7,3.9,Not Available,Not Available,4.9
1981 January,5.4,5.7,3.9,Not Available,Not Available,5
1981 February,5.5,5.8,4,Not Available,Not Available,5
1981 March,5.8,6,4,Not Available,Not Available,5.1
1981 April,6,6.1,4.1,Not Available,Not Available,5.2
1981 May,6.3,6.3,4.2,Not Available,Not Available,5.4
1981 June,6.5,6.5,4.4,Not Available,Not Available,5.6
1981 July,6.6,6.5,4.5,Not Available,Not Available,5.8
1981 August,6.6,6.5,4.5,Not Available,Not Available,5.8
1981 September,6.6,6.5,4.5,Not Available,Not Available,5.7
1981 October,6.6,6.5,4.4,Not Available,Not Available,5.6
1981 November,6.4,6.5,4.5,Not Available,Not Available,5.6
1981 December,6.3,6.5,4.6,Not Available,Not Available,5.7
1982 January,6.2,6.5,4.7,Not Available,Not Available,5.7
1982 February,6.4,6.7,4.7,Not Available,Not Available,5.8
1982 March,6.6,6.8,4.8,Not Available,Not Available,6
1982 April,6.7,6.8,4.8,Not Available,Not Available,6
1982 May,6.9,6.9,5,Not Available,Not Available,6.1
1982 June,7.1,6.9,4.9,Not Available,Not Available,6.2
1982 July,7.2,7,5.1,Not Available,Not Available,6.4
1982 August,7.2,6.9,5.2,Not Available,Not Available,6.4
1982 September,7.2,7,5.3,Not Available,Not Available,6.4
1982 October,7.2,7.1,5.1,Not Available,Not Available,6.3
1982 November,6.9,7,4.9,Not Available,Not Available,6.1
1982 December,6.7,6.8,5,Not Available,Not Available,6.1
1983 January,6.7,6.8,5,Not Available,Not Available,6.1
1983 February,6.7,6.9,5,Not Available,Not Available,6.1
1983 March,6.9,6.9,5,Not Available,Not Available,6.2
1983 April,6.9,6.9,4.9,Not Available,Not Available,6.1
1983 May,7.2,7,4.9,Not Available,Not Available,6.2
1983 June,7.4,7.1,5,Not Available,Not Available,6.4
1983 July,7.5,7.1,5.1,Not Available,Not Available,6.5
1983 August,7.5,7.1,5,Not Available,Not Available,6.5
1983 September,7.6,7.2,5,Not Available,Not Available,6.5
1983 October,7.5,7.2,5,Not Available,Not Available,6.4
1983 November,7.3,7.1,4.8,Not Available,Not Available,6.2
1983 December,7,6.9,4.8,Not Available,Not Available,6.1
