Series Id,Year,Period,Value
APU0000711111,1980,M01,0.554
APU0000711111,1980,M02,0.574
APU0000711111,1980,M03,0.593
APU0000711111,1980,M04,0.634
APU0000711111,1980,M05,0.663
APU0000711111,1980,M06,0.701
APU0000711111,1980,M07,0.753
APU0000711111,1980,M08,0.807
APU0000711111,1980,M09,0.702
APU0000711111,1980,M10,0.570
APU0000711111,1980,M11,0.496
APU0000711111,1980,M12,0.503
APU0000711111,1981,M01,0.512
APU0000711111,1981,M02,0.504
APU0000711111,1981,M03,0.525
APU0000711111,1981,M04,0.529
APU0000711111,1981,M05,0.531
APU0000711111,1981,M06,0.546
APU0000711111,1981,M07,0.577
APU0000711111,1981,M08,0.662
APU0000711111,1981,M09,0.630
APU0000711111,1981,M10,0.565
APU0000711111,1981,M11,0.582
APU0000711111,1981,M12,0.617
APU0000711111,1982,M01,0.639
APU0000711111,1982,M02,0.645
APU0000711111,1982,M03,0.648
APU0000711111,1982,M04,0.630
APU0000711111,1982,M05,0.667
APU0000711111,1982,M06,0.722
APU0000711111,1982,M07,0.733
APU0000711111,1982,M08,0.683
APU0000711111,1982,M09,0.627
APU0000711111,1982,M10,0.580
APU0000711111,1982,M11,0.537
APU0000711111,1982,M12,0.556
APU0000711111,1983,M01,0.545
APU0000711111,1983,M02,0.538
APU0000711111,1983,M03,0.532
APU0000711111,1983,M04,0.559
APU0000711111,1983,M05,0.584
APU0000711111,1983,M06,0.615
APU0000711111,1983,M07,0.622
APU0000711111,1983,M08,0.673
APU0000711111,1983,M09,0.707
APU0000711111,1983,M10,0.574
APU0000711111,1983,M11,0.562
APU0000711111,1983,M12,0.568
APU0000711111,1984,M01,0.579
APU0000711111,1984,M02,0.608
APU0000711111,1984,M03,0.640
APU0000711111,1984,M04,0.644
APU0000711111,1984,M05,0.645
APU0000711111,1984,M06,0.682
APU0000711111,1984,M07,0.712
APU0000711111,1984,M08,0.732
APU0000711111,1984,M09,0.717
APU0000711111,1984,M10,0.635
APU0000711111,1984,M11,0.651
APU0000711111,1984,M12,0.636
APU0000711111,1985,M01,0.654
APU0000711111,1985,M02,0.676
APU0000711111,1985,M03,0.677
APU0000711111,1985,M04,0.695
APU0000711111,1985,M05,0.710
APU0000711111,1985,M06,0.723
APU0000711111,1985,M07,0.721
APU0000711111,1985,M08,0.705
APU0000711111,1985,M09,0.671
APU0000711111,1985,M10,0.639
APU0000711111,1985,M11,0.665
APU0000711111,1985,M12,0.675
APU0000711111,1986,M01,0.689
APU0000711111,1986,M02,0.727
APU0000711111,1986,M03,0.720
APU0000711111,1986,M04,0.728
APU0000711111,1986,M05,0.770
APU0000711111,1986,M06,0.830
APU0000711111,1986,M07,0.859
APU0000711111,1986,M08,1.015
APU0000711111,1986,M09,0.925
APU0000711111,1986,M10,0.691
APU0000711111,1986,M11,0.665
APU0000711111,1986,M12,0.662
APU0000711111,1987,M03,0.741
APU0000711111,1987,M04,0.750
APU0000711111,1987,M05,0.783
APU0000711111,1987,M06,0.862
APU0000711111,1987,M07,0.884
APU0000711111,1987,M08,0.815
APU0000711111,1987,M09,0.729
APU0000711111,1987,M10,0.618
APU0000711111,1987,M11,0.546
APU0000711111,1987,M12,0.547
APU0000711111,1988,M01,0.571
APU0000711111,1988,M02,0.636
APU0000711111,1988,M03,0.635
APU0000711111,1988,M04,0.643
APU0000711111,1988,M05,0.643
APU0000711111,1988,M06,0.689
APU0000711111,1988,M07,0.797
APU0000711111,1988,M08,1.006
APU0000711111,1988,M09,0.957
APU0000711111,1988,M10,0.768
APU0000711111,1988,M11,0.704
APU0000711111,1988,M12,0.706
APU0000711111,1989,M01,0.729
APU0000711111,1989,M02,0.749
APU0000711111,1989,M03,0.741
APU0000711111,1989,M04,0.697
APU0000711111,1989,M05,0.697
APU0000711111,1989,M06,0.692
APU0000711111,1989,M07,0.682
APU0000711111,1989,M08,0.740
APU0000711111,1989,M09,0.719
APU0000711111,1989,M10,0.649
APU0000711111,1989,M11,0.590
APU0000711111,1989,M12,0.573
APU0000711111,1990,M01,0.601
APU0000711111,1990,M02,0.632
APU0000711111,1990,M03,0.652
APU0000711111,1990,M04,0.650
APU0000711111,1990,M05,0.653
APU0000711111,1990,M06,0.697
APU0000711111,1990,M07,0.750
APU0000711111,1990,M08,0.832
APU0000711111,1990,M09,0.877
APU0000711111,1990,M10,0.765
APU0000711111,1990,M11,0.741
APU0000711111,1990,M12,0.772
APU0000711111,1991,M01,0.810
APU0000711111,1991,M02,0.838
APU0000711111,1991,M03,0.843
APU0000711111,1991,M04,0.860
APU0000711111,1991,M05,0.892
APU0000711111,1991,M06,0.936
APU0000711111,1991,M07,0.956
APU0000711111,1991,M08,0.964
APU0000711111,1991,M09,0.974
APU0000711111,1991,M10,0.846
APU0000711111,1991,M11,0.839
APU0000711111,1991,M12,0.864
APU0000711111,1992,M01,0.876
APU0000711111,1992,M02,0.886
APU0000711111,1992,M03,0.899
APU0000711111,1992,M04,0.913
APU0000711111,1992,M05,0.925
APU0000711111,1992,M06,0.962
APU0000711111,1992,M07,0.991
APU0000711111,1992,M08,1.015
APU0000711111,1992,M09,0.933
APU0000711111,1992,M10,0.765
APU0000711111,1992,M11,0.753
APU0000711111,1992,M12,0.764
APU0000711111,1993,M01,0.810
APU0000711111,1993,M02,0.817
APU0000711111,1993,M03,0.802
APU0000711111,1993,M04,0.802
APU0000711111,1993,M05,0.815
APU0000711111,1993,M06,0.835
APU0000711111,1993,M07,0.854
APU0000711111,1993,M08,0.904
APU0000711111,1993,M09,0.939
APU0000711111,1993,M10,0.850
APU0000711111,1993,M11,0.798
APU0000711111,1993,M12,0.778
APU0000711111,1994,M01,0.789
APU0000711111,1994,M02,0.810
APU0000711111,1994,M03,0.804
APU0000711111,1994,M04,0.803
APU0000711111,1994,M05,0.806
APU0000711111,1994,M06,0.822
APU0000711111,1994,M07,0.848
APU0000711111,1994,M08,0.881
APU0000711111,1994,M09,0.874
APU0000711111,1994,M10,0.745
APU0000711111,1994,M11,0.735
APU0000711111,1994,M12,0.722
APU0000711111,1995,M01,0.765
APU0000711111,1995,M02,0.789
APU0000711111,1995,M03,0.793
APU0000711111,1995,M04,0.784
APU0000711111,1995,M05,0.813
APU0000711111,1995,M06,0.833
APU0000711111,1995,M07,0.864
APU0000711111,1995,M08,0.901
APU0000711111,1995,M09,0.923
APU0000711111,1995,M10,0.863
APU0000711111,1995,M11,0.853
APU0000711111,1995,M12,0.834
APU0000711111,1996,M01,0.877
APU0000711111,1996,M02,0.877
APU0000711111,1996,M03,0.894
APU0000711111,1996,M04,0.915
APU0000711111,1996,M05,0.921
APU0000711111,1996,M06,0.954
APU0000711111,1996,M07,0.976
APU0000711111,1996,M08,0.998
APU0000711111,1996,M09,1.006
APU0000711111,1996,M10,0.949
