Series Id,Year,Period,Value
APU0000704111,1980,M02,-0.043
APU0000704111,1980,M03,-0.049
APU0000704111,1980,M04,-0.038
APU0000704111,1980,M05,-0.057
APU0000704111,1980,M06,0.005
APU0000704111,1980,M07,0.100
APU0000704111,1980,M08,0.098
APU0000704111,1980,M09,0.148
APU0000704111,1980,M10,0.024
APU0000704111,1980,M11,0.043
APU0000704111,1980,M12,0.027
APU0000704111,1981,M01,-0.043
APU0000704111,1981,M02,-0.030
APU0000704111,1981,M03,-0.042
APU0000704111,1981,M04,-0.066
APU0000704111,1981,M05,0.018
APU0000704111,1981,M06,0.053
APU0000704111,1981,M07,0.064
APU0000704111,1981,M08,0.028
APU0000704111,1981,M09,0.060
APU0000704111,1981,M10,0.027
APU0000704111,1981,M11,-0.014
APU0000704111,1981,M12,-0.015
APU0000704111,1982,M01,-0.004
APU0000704111,1982,M02,0.064
APU0000704111,1982,M03,0.013
APU0000704111,1982,M04,0.070
APU0000704111,1982,M05,0.088
APU0000704111,1982,M06,0.088
APU0000704111,1982,M07,0.031
APU0000704111,1982,M08,0.099
APU0000704111,1982,M09,0.160
APU0000704111,1982,M10,-0.026
APU0000704111,1982,M11,-0.148
APU0000704111,1982,M12,-0.058
APU0000704111,1983,M01,-0.005
APU0000704111,1983,M02,0.024
APU0000704111,1983,M03,-0.075
APU0000704111,1983,M04,-0.069
APU0000704111,1983,M05,-0.052
APU0000704111,1983,M06,-0.041
APU0000704111,1983,M07,0.008
APU0000704111,1983,M08,-0.042
APU0000704111,1983,M09,0.038
APU0000704111,1983,M10,-0.057
APU0000704111,1983,M11,-0.084
APU0000704111,1983,M12,-0.015
APU0000704111,1984,M01,0.054
APU0000704111,1984,M02,0.069
APU0000704111,1984,M03,-0.078
APU0000704111,1984,M04,-0.005
APU0000704111,1984,M05,0.019
APU0000704111,1984,M06,0.015
APU0000704111,1984,M07,0.069
APU0000704111,1984,M08,0.001
APU0000704111,1984,M09,-0.013
APU0000704111,1984,M10,0.006
APU0000704111,1984,M11,-0.028
APU0000704111,1984,M12,0.023
APU0000704111,1985,M01,0.062
APU0000704111,1985,M02,0.014
APU0000704111,1985,M03,-0.010
APU0000704111,1985,M04,-0.008
APU0000704111,1985,M05,-0.020
APU0000704111,1985,M06,-0.034
APU0000704111,1985,M07,0.057
APU0000704111,1985,M08,0.009
APU0000704111,1985,M09,-0.034
APU0000704111,1985,M10,0.019
APU0000704111,1985,M11,-0.013
APU0000704111,1985,M12,-0.014
APU0000704111,1986,M01,0.017
APU0000704111,1986,M02,0.021
APU0000704111,1986,M03,-0.064
APU0000704111,1986,M04,-0.021
APU0000704111,1986,M05,-0.002
APU0000704111,1986,M06,0.084
APU0000704111,1986,M07,0.204
APU0000704111,1986,M08,0.175
APU0000704111,1986,M09,0.041
APU0000704111,1986,M10,-0.075
APU0000704111,1986,M11,-0.111
APU0000704111,1986,M12,-0.028
APU0000704111,1987,M01,-0.041
APU0000704111,1987,M02,-0.027
APU0000704111,1987,M03,0.004
APU0000704111,1987,M04,-0.019
