Series Id,Year,Period,Value
APU0000711211,1980,M01,0.319
APU0000711211,1980,M02,0.345
APU0000711211,1980,M03,0.355
APU0000711211,1980,M04,0.353
APU0000711211,1980,M05,0.357
APU0000711211,1980,M06,0.348
APU0000711211,1980,M07,0.332
APU0000711211,1980,M08,0.335
APU0000711211,1980,M09,0.335
APU0000711211,1980,M10,0.335
APU0000711211,1980,M11,0.339
APU0000711211,1980,M12,0.349
APU0000711211,1981,M01,0.343
APU0000711211,1981,M02,0.366
APU0000711211,1981,M03,0.377
APU0000711211,1981,M04,0.377
APU0000711211,1981,M05,0.379
APU0000711211,1981,M06,0.369
APU0000711211,1981,M07,0.341
APU0000711211,1981,M08,0.351
APU0000711211,1981,M09,0.358
APU0000711211,1981,M10,0.364
APU0000711211,1981,M11,0.355
APU0000711211,1981,M12,0.364
APU0000711211,1982,M01,0.364
APU0000711211,1982,M02,0.359
APU0000711211,1982,M03,0.373
APU0000711211,1982,M04,0.380
APU0000711211,1982,M05,0.372
APU0000711211,1982,M06,0.381
APU0000711211,1982,M07,0.344
APU0000711211,1982,M08,0.332
APU0000711211,1982,M09,0.343
APU0000711211,1982,M10,0.317
APU0000711211,1982,M11,0.344
APU0000711211,1982,M12,0.337
APU0000711211,1983,M01,0.332
APU0000711211,1983,M02,0.352
APU0000711211,1983,M03,0.357
APU0000711211,1983,M04,0.416
APU0000711211,1983,M05,0.438
APU0000711211,1983,M06,0.449
APU0000711211,1983,M07,0.462
APU0000711211,1983,M08,0.403
APU0000711211,1983,M09,0.394
APU0000711211,1983,M10,0.385
APU0000711211,1983,M11,0.327
APU0000711211,1983,M12,0.315
APU0000711211,1984,M01,0.344
APU0000711211,1984,M02,0.373
APU0000711211,1984,M03,0.373
APU0000711211,1984,M04,0.389
APU0000711211,1984,M05,0.354
APU0000711211,1984,M06,0.391
APU0000711211,1984,M07,0.386
APU0000711211,1984,M08,0.362
APU0000711211,1984,M09,0.350
APU0000711211,1984,M10,0.341
APU0000711211,1984,M11,0.333
APU0000711211,1984,M12,0.317
APU0000711211,1985,M01,0.350
APU0000711211,1985,M02,0.378
APU0000711211,1985,M03,0.394
APU0000711211,1985,M04,0.422
APU0000711211,1985,M05,0.392
APU0000711211,1985,M06,0.399
APU0000711211,1985,M07,0.348
APU0000711211,1985,M08,0.361
APU0000711211,1985,M09,0.376
APU0000711211,1985,M10,0.346
APU0000711211,1985,M11,0.316
APU0000711211,1985,M12,0.321
APU0000711211,1986,M01,0.337
APU0000711211,1986,M02,0.378
APU0000711211,1986,M03,0.402
APU0000711211,1986,M04,0.464
APU0000711211,1986,M05,0.461
APU0000711211,1986,M06,0.376
APU0000711211,1986,M07,0.371
APU0000711211,1986,M08,0.369
APU0000711211,1986,M09,0.384
APU0000711211,1986,M10,0.372
APU0000711211,1986,M11,0.371
APU0000711211,1986,M12,0.333
APU0000711211,1987,M03,0.376
APU0000711211,1987,M04,0.381
APU0000711211,1987,M05,0.357
APU0000711211,1987,M06,0.390
APU0000711211,1987,M07,0.350
APU0000711211,1987,M08,0.367
APU0000711211,1987,M09,0.363
APU0000711211,1987,M10,0.346
APU0000711211,1987,M11,0.343
APU0000711211,1987,M12,0.375
APU0000711211,1988,M01,0.374
APU0000711211,1988,M02,0.415
APU0000711211,1988,M03,0.413
APU0000711211,1988,M04,0.423
APU0000711211,1988,M05,0.422
APU0000711211,1988,M06,0.501
APU0000711211,1988,M07,0.433
APU0000711211,1988,M08,0.397
APU0000711211,1988,M09,0.389
APU0000711211,1988,M10,0.421
APU0000711211,1988,M11,0.423
APU0000711211,1988,M12,0.407
APU0000711211,1989,M01,0.394
APU0000711211,1989,M02,0.415
APU0000711211,1989,M03,0.450
APU0000711211,1989,M04,0.523
APU0000711211,1989,M05,0.522
APU0000711211,1989,M06,0.479
APU0000711211,1989,M07,0.456
APU0000711211,1989,M08,0.434
APU0000711211,1989,M09,0.428
APU0000711211,1989,M10,0.432
APU0000711211,1989,M11,0.435
APU0000711211,1989,M12,0.416
APU0000711211,1990,M01,0.429
APU0000711211,1990,M02,0.492
APU0000711211,1990,M03,0.500
APU0000711211,1990,M04,0.481
APU0000711211,1990,M05,0.462
APU0000711211,1990,M06,0.447
