Series Id,Year,Period,Value
APU0000703112,1984,M01,1.290
APU0000703112,1984,M02,1.340
APU0000703112,1984,M03,1.308
APU0000703112,1984,M04,1.331
APU0000703112,1984,M05,1.301
APU0000703112,1984,M06,1.269
APU0000703112,1984,M07,1.249
APU0000703112,1984,M08,1.280
APU0000703112,1984,M09,1.268
APU0000703112,1984,M10,1.246
APU0000703112,1984,M11,1.266
APU0000703112,1984,M12,1.298
APU0000703112,1985,M01,1.284
APU0000703112,1985,M02,1.283
APU0000703112,1985,M03,1.282
APU0000703112,1985,M04,1.267
APU0000703112,1985,M05,1.213
APU0000703112,1985,M06,1.205
APU0000703112,1985,M07,1.200
APU0000703112,1985,M08,1.207
APU0000703112,1985,M09,1.205
APU0000703112,1985,M10,1.189
APU0000703112,1985,M11,1.238
APU0000703112,1985,M12,1.277
APU0000703112,1986,M01,1.275
APU0000703112,1986,M02,1.263
APU0000703112,1986,M03,1.267
APU0000703112,1986,M04,1.219
APU0000703112,1986,M05,1.187
APU0000703112,1986,M06,1.165
APU0000703112,1986,M07,1.189
APU0000703112,1986,M08,1.225
APU0000703112,1986,M09,1.234
APU0000703112,1986,M10,1.225
APU0000703112,1986,M11,1.278
APU0000703112,1986,M12,1.257
APU0000703112,1987,M01,1.300
APU0000703112,1987,M02,1.271
APU0000703112,1987,M03,1.278
APU0000703112,1987,M04,1.294
APU0000703112,1987,M05,1.318
APU0000703112,1987,M06,1.301
APU0000703112,1987,M07,1.313
APU0000703112,1987,M08,1.322
APU0000703112,1987,M09,1.323
APU0000703112,1987,M10,1.326
APU0000703112,1987,M11,1.351
APU0000703112,1987,M12,1.322
APU0000703112,1988,M01,1.314
APU0000703112,1988,M02,1.315
APU0000703112,1988,M03,1.342
APU0000703112,1988,M04,1.336
APU0000703112,1988,M05,1.365
APU0000703112,1988,M06,1.388
APU0000703112,1988,M07,1.373
APU0000703112,1988,M08,1.370
APU0000703112,1988,M09,1.372
APU0000703112,1988,M10,1.394
APU0000703112,1988,M11,1.409
APU0000703112,1988,M12,1.399
APU0000703112,1989,M01,1.397
APU0000703112,1989,M02,1.366
APU0000703112,1989,M03,1.434
APU0000703112,1989,M04,1.424
APU0000703112,1989,M05,1.437
APU0000703112,1989,M06,1.436
APU0000703112,1989,M07,1.438
APU0000703112,1989,M08,1.447
APU0000703112,1989,M09,1.458
APU0000703112,1989,M10,1.449
APU0000703112,1989,M11,1.491
APU0000703112,1989,M12,1.501
APU0000703112,1990,M01,1.557
APU0000703112,1990,M02,1.572
APU0000703112,1990,M03,1.571
APU0000703112,1990,M04,1.593
APU0000703112,1990,M05,1.577
APU0000703112,1990,M06,1.593
APU0000703112,1990,M07,1.581
APU0000703112,1990,M08,1.576
APU0000703112,1990,M09,1.594
APU0000703112,1990,M10,1.582
APU0000703112,1990,M11,1.622
APU0000703112,1990,M12,1.630
APU0000703112,1991,M01,1.647
APU0000703112,1991,M02,1.632
APU0000703112,1991,M03,1.610
APU0000703112,1991,M04,1.611
APU0000703112,1991,M05,1.624
APU0000703112,1991,M06,1.604
APU0000703112,1991,M07,1.586
APU0000703112,1991,M08,1.578
APU0000703112,1991,M09,1.553
APU0000703112,1991,M10,1.552
APU0000703112,1991,M11,1.567
APU0000703112,1991,M12,1.577
APU0000703112,1992,M01,1.601
APU0000703112,1992,M02,1.587
APU0000703112,1992,M03,1.545
APU0000703112,1992,M04,1.563
APU0000703112,1992,M05,1.545
APU0000703112,1992,M06,1.535
APU0000703112,1992,M07,1.487
APU0000703112,1992,M08,1.533
APU0000703112,1992,M09,1.521
APU0000703112,1992,M10,1.546
APU0000703112,1992,M11,1.535
APU0000703112,1992,M12,1.500
APU0000703112,1993,M01,1.565
APU0000703112,1993,M02,1.562
APU0000703112,1993,M03,1.562
APU0000703112,1993,M04,1.588
APU0000703112,1993,M05,1.560
APU0000703112,1993,M06,1.562
APU0000703112,1993,M07,1.577
APU0000703112,1993,M08,1.573
APU0000703112,1993,M09,1.551
APU0000703112,1993,M10,1.556
APU0000703112,1993,M11,1.600
APU0000703112,1993,M12,1.574
APU0000703112,1994,M01,1.561
APU0000703112,1994,M02,1.555
APU0000703112,1994,M03,1.576
APU0000703112,1994,M04,1.482
APU0000703112,1994,M05,1.489
APU0000703112,1994,M06,1.511
APU0000703112,1994,M07,1.456
APU0000703112,1994,M08,1.460
APU0000703112,1994,M09,1.463
APU0000703112,1994,M10,1.416
APU0000703112,1994,M11,1.376
APU0000703112,1994,M12,1.380
APU0000703112,1995,M01,1.381
APU0000703112,1995,M02,1.426
APU0000703112,1995,M03,1.392
APU0000703112,1995,M04,1.365
APU0000703112,1995,M05,1.322
APU0000703112,1995,M06,1.333
APU0000703112,1995,M07,1.365
APU0000703112,1995,M08,1.328
APU0000703112,1995,M09,1.376
APU0000703112,1995,M10,1.371
APU0000703112,1995,M11,1.368
APU0000703112,1995,M12,1.403
APU0000703112,1996,M01,1.350
APU0000703112,1996,M02,1.403
APU0000703112,1996,M03,1.375
APU0000703112,1996,M04,1.354
APU0000703112,1996,M05,1.319
APU0000703112,1996,M06,1.324
APU0000703112,1996,M07,1.352
APU0000703112,1996,M08,1.391
APU0000703112,1996,M09,1.360
APU0000703112,1996,M10,1.371
APU0000703112,1996,M11,1.403
APU0000703112,1996,M12,1.424
APU0000703112,1997,M01,1.409
APU0000703112,1997,M02,1.398
APU0000703112,1997,M03,1.356
APU0000703112,1997,M04,1.381
APU0000703112,1997,M05,1.382
APU0000703112,1997,M06,1.408
APU0000703112,1997,M07,1.402
APU0000703112,1997,M08,1.394
APU0000703112,1997,M09,1.420
APU0000703112,1997,M10,1.406
APU0000703112,1997,M11,1.409
APU0000703112,1997,M12,1.392
APU0000703112,1998,M01,1.457
APU0000703112,1998,M02,1.398
APU0000703112,1998,M03,1.413
APU0000703112,1998,M04,1.419
APU0000703112,1998,M05,1.411
APU0000703112,1998,M06,1.388
APU0000703112,1998,M07,1.447
APU0000703112,1998,M08,1.426
APU0000703112,1998,M09,1.361
APU0000703112,1998,M10,1.393
APU0000703112,1998,M11,1.442
APU0000703112,1998,M12,1.388
APU0000703112,1999,M01,1.382
APU0000703112,1999,M02,1.431
APU0000703112,1999,M03,1.404
APU0000703112,1999,M04,1.429
APU0000703112,1999,M05,1.444
APU0000703112,1999,M06,1.448
APU0000703112,1999,M07,1.435
APU0000703112,1999,M08,1.442
APU0000703112,1999,M09,1.484
APU0000703112,1999,M10,1.496
APU0000703112,1999,M11,1.518
APU0000703112,1999,M12,1.528
APU0000703112,2000,M01,1.483
APU0000703112,2000,M02,1.516
APU0000703112,2000,M03,1.532
APU0000703112,2000,M04,1.584
APU0000703112,2000,M05,1.570
APU0000703112,2000,M06,1.556
APU0000703112,2000,M07,1.574
APU0000703112,2000,M08,1.611
APU0000703112,2000,M09,1.579
APU0000703112,2000,M10,1.582
APU0000703112,2000,M11,1.621
APU0000703112,2000,M12,1.625
APU0000703112,2001,M01,1.693
APU0000703112,2001,M02,1.732
APU0000703112,2001,M03,1.740
APU0000703112,2001,M04,1.763
APU0000703112,2001,M05,1.735
APU0000703112,2001,M06,1.703
APU0000703112,2001,M07,1.680
APU0000703112,2001,M08,1.634
APU0000703112,2001,M09,1.717
APU0000703112,2001,M10,1.713
APU0000703112,2001,M11,1.747
APU0000703112,2001,M12,1.713
APU0000703112,2002,M01,1.734
APU0000703112,2002,M02,1.700
APU0000703112,2002,M03,1.740
APU0000703112,2002,M04,1.784
