Series Id,Year,Period,Value
APU0000703111,1980,M01,1.821
APU0000703111,1980,M02,1.843
APU0000703111,1980,M03,1.855
APU0000703111,1980,M04,1.818
APU0000703111,1980,M05,1.807
APU0000703111,1980,M06,1.793
APU0000703111,1980,M07,1.780
APU0000703111,1980,M08,1.842
APU0000703111,1980,M09,1.865
APU0000703111,1980,M10,1.861
APU0000703111,1980,M11,1.852
APU0000703111,1980,M12,1.863
APU0000703111,1981,M01,1.856
APU0000703111,1981,M02,1.832
APU0000703111,1981,M03,1.824
APU0000703111,1981,M04,1.783
APU0000703111,1981,M05,1.783
APU0000703111,1981,M06,1.781
APU0000703111,1981,M07,1.764
APU0000703111,1981,M08,1.795
APU0000703111,1981,M09,1.817
APU0000703111,1981,M10,1.798
APU0000703111,1981,M11,1.807
APU0000703111,1981,M12,1.806
APU0000703111,1982,M01,1.794
APU0000703111,1982,M02,1.799
APU0000703111,1982,M03,1.767
APU0000703111,1982,M04,1.769
APU0000703111,1982,M05,1.785
APU0000703111,1982,M06,1.817
APU0000703111,1982,M07,1.786
APU0000703111,1982,M08,1.761
APU0000703111,1982,M09,1.769
APU0000703111,1982,M10,1.754
APU0000703111,1982,M11,1.744
APU0000703111,1982,M12,1.754
APU0000703111,1983,M01,1.756
APU0000703111,1983,M02,1.770
APU0000703111,1983,M03,1.755
APU0000703111,1983,M04,1.773
APU0000703111,1983,M05,1.778
APU0000703111,1983,M06,1.767
APU0000703111,1983,M07,1.721
APU0000703111,1983,M08,1.715
APU0000703111,1983,M09,1.692
APU0000703111,1983,M10,1.686
APU0000703111,1983,M11,1.680
APU0000703111,1983,M12,1.675
APU0000703111,1984,M01,1.721
APU0000703111,1984,M02,1.739
APU0000703111,1984,M03,1.751
APU0000703111,1984,M04,1.750
APU0000703111,1984,M05,1.747
APU0000703111,1984,M06,1.723
APU0000703111,1984,M07,1.692
APU0000703111,1984,M08,1.690
APU0000703111,1984,M09,1.685
APU0000703111,1984,M10,1.694
APU0000703111,1984,M11,1.700
APU0000703111,1984,M12,1.710
APU0000703111,1985,M01,1.711
APU0000703111,1985,M02,1.726
APU0000703111,1985,M03,1.725
APU0000703111,1985,M04,1.716
APU0000703111,1985,M05,1.687
APU0000703111,1985,M06,1.668
APU0000703111,1985,M07,1.651
APU0000703111,1985,M08,1.640
APU0000703111,1985,M09,1.642
APU0000703111,1985,M10,1.617
APU0000703111,1985,M11,1.668
APU0000703111,1985,M12,1.684
APU0000703111,1986,M01,1.662
APU0000703111,1986,M02,1.663
APU0000703111,1986,M03,1.656
APU0000703111,1986,M04,1.627
APU0000703111,1986,M05,1.589
APU0000703111,1986,M06,1.601
APU0000703111,1986,M07,1.613
APU0000703111,1986,M08,1.622
APU0000703111,1986,M09,1.638
APU0000703111,1986,M10,1.650
APU0000703111,1986,M11,1.661
APU0000703111,1986,M12,1.652
APU0000703111,1987,M01,1.694
APU0000703111,1987,M02,1.650
APU0000703111,1987,M03,1.684
APU0000703111,1987,M04,1.696
APU0000703111,1987,M05,1.698
APU0000703111,1987,M06,1.714
APU0000703111,1987,M07,1.710
APU0000703111,1987,M08,1.716
APU0000703111,1987,M09,1.717
APU0000703111,1987,M10,1.711
APU0000703111,1987,M11,1.745
APU0000703111,1987,M12,1.751
APU0000703111,1988,M01,1.736
APU0000703111,1988,M02,1.742
APU0000703111,1988,M03,1.750
APU0000703111,1988,M04,1.745
APU0000703111,1988,M05,1.740
APU0000703111,1988,M06,1.771
APU0000703111,1988,M07,1.753
APU0000703111,1988,M08,1.745
APU0000703111,1988,M09,1.766
APU0000703111,1988,M10,1.781
APU0000703111,1988,M11,1.808
