Series Id,Year,Period,Value
APU0000703311,1980,M01,2.606
APU0000703311,1980,M02,2.621
APU0000703311,1980,M03,2.582
APU0000703311,1980,M04,2.574
APU0000703311,1980,M05,2.577
APU0000703311,1980,M06,2.564
APU0000703311,1980,M07,2.599
APU0000703311,1980,M08,2.620
APU0000703311,1980,M09,2.643
APU0000703311,1980,M10,2.665
APU0000703311,1980,M11,2.662
APU0000703311,1980,M12,2.607
APU0000703311,1981,M01,2.640
APU0000703311,1981,M02,2.623
APU0000703311,1981,M03,2.603
APU0000703311,1981,M04,2.592
APU0000703311,1981,M05,2.621
APU0000703311,1981,M06,2.624
APU0000703311,1981,M07,2.635
APU0000703311,1981,M08,2.650
APU0000703311,1981,M09,2.629
APU0000703311,1981,M10,2.636
APU0000703311,1981,M11,2.628
APU0000703311,1981,M12,2.626
APU0000703311,1982,M01,2.580
APU0000703311,1982,M02,2.623
APU0000703311,1982,M03,2.609
APU0000703311,1982,M04,2.645
APU0000703311,1982,M05,2.718
APU0000703311,1982,M06,2.771
APU0000703311,1982,M07,2.714
APU0000703311,1982,M08,2.622
APU0000703311,1982,M09,2.618
APU0000703311,1982,M10,2.560
APU0000703311,1982,M11,2.579
APU0000703311,1982,M12,2.594
APU0000703311,1983,M01,2.602
APU0000703311,1983,M02,2.593
APU0000703311,1983,M03,2.567
APU0000703311,1983,M04,2.668
APU0000703311,1983,M05,2.654
APU0000703311,1983,M06,2.593
APU0000703311,1983,M07,2.576
APU0000703311,1983,M08,2.502
APU0000703311,1983,M09,2.461
APU0000703311,1983,M10,2.482
APU0000703311,1983,M11,2.503
APU0000703311,1983,M12,2.450
APU0000703311,1984,M01,2.621
APU0000703311,1984,M02,2.688
APU0000703311,1984,M03,2.677
APU0000703311,1984,M04,2.685
APU0000703311,1984,M05,2.614
APU0000703311,1984,M06,2.534
APU0000703311,1984,M07,2.470
APU0000703311,1984,M08,2.525
APU0000703311,1984,M09,2.515
APU0000703311,1984,M10,2.521
APU0000703311,1984,M11,2.510
APU0000703311,1984,M12,2.550
APU0000703311,1985,M01,2.563
APU0000703311,1985,M02,2.525
APU0000703311,1985,M03,2.556
APU0000703311,1985,M04,2.539
APU0000703311,1985,M05,2.449
APU0000703311,1985,M06,2.397
APU0000703311,1985,M07,2.414
APU0000703311,1985,M08,2.341
APU0000703311,1985,M09,2.349
APU0000703311,1985,M10,2.391
APU0000703311,1985,M11,2.491
APU0000703311,1985,M12,2.561
APU0000703311,1986,M01,2.548
APU0000703311,1986,M02,2.474
