Series Id,Year,Period,Value
APU0000703511,1980,M01,2.724
APU0000703511,1980,M02,2.725
APU0000703511,1980,M03,2.737
APU0000703511,1980,M04,2.730
APU0000703511,1980,M05,2.713
APU0000703511,1980,M06,2.705
APU0000703511,1980,M07,2.769
APU0000703511,1980,M08,2.793
APU0000703511,1980,M09,2.832
APU0000703511,1980,M10,2.814
APU0000703511,1980,M11,2.867
APU0000703511,1980,M12,2.813
APU0000703511,1981,M01,2.826
APU0000703511,1981,M02,2.836
APU0000703511,1981,M03,2.798
APU0000703511,1981,M04,2.801
APU0000703511,1981,M05,2.822
APU0000703511,1981,M06,2.855
APU0000703511,1981,M07,2.891
APU0000703511,1981,M08,2.897
APU0000703511,1981,M09,2.864
APU0000703511,1981,M10,2.939
APU0000703511,1981,M11,2.916
APU0000703511,1981,M12,2.905
APU0000703511,1982,M01,2.877
APU0000703511,1982,M02,2.838
APU0000703511,1982,M03,2.902
APU0000703511,1982,M04,2.949
APU0000703511,1982,M05,2.992
APU0000703511,1982,M06,3.137
APU0000703511,1982,M07,3.018
APU0000703511,1982,M08,2.958
APU0000703511,1982,M09,2.998
APU0000703511,1982,M10,2.930
APU0000703511,1982,M11,2.941
APU0000703511,1982,M12,2.899
APU0000703511,1983,M01,2.920
APU0000703511,1983,M02,2.942
APU0000703511,1983,M03,2.907
APU0000703511,1983,M04,2.961
APU0000703511,1983,M05,3.039
APU0000703511,1983,M06,2.946
APU0000703511,1983,M07,2.944
APU0000703511,1983,M08,2.854
APU0000703511,1983,M09,2.810
APU0000703511,1983,M10,2.815
APU0000703511,1983,M11,2.831
APU0000703511,1983,M12,2.814
APU0000703511,1984,M01,2.928
APU0000703511,1984,M02,2.960
APU0000703511,1984,M03,2.977
APU0000703511,1984,M04,2.959
APU0000703511,1984,M05,2.903
APU0000703511,1984,M06,2.898
APU0000703511,1984,M07,2.826
APU0000703511,1984,M08,2.894
APU0000703511,1984,M09,2.866
APU0000703511,1984,M10,2.890
APU0000703511,1984,M11,2.852
APU0000703511,1984,M12,2.921
APU0000703511,1985,M01,2.939
APU0000703511,1985,M02,2.941
APU0000703511,1985,M03,2.947
APU0000703511,1985,M04,2.904
APU0000703511,1985,M05,2.877
APU0000703511,1985,M06,2.844
APU0000703511,1985,M07,2.762
APU0000703511,1985,M08,2.678
APU0000703511,1985,M09,2.672
APU0000703511,1985,M10,2.686
APU0000703511,1985,M11,2.781
APU0000703511,1985,M12,2.834
APU0000703511,1986,M01,2.909
APU0000703511,1986,M02,2.817
APU0000703511,1986,M03,2.825
APU0000703511,1986,M04,2.750
APU0000703511,1986,M05,2.737
