Series Id,Year,Period,Value
APU0000705121,1980,M01,1.972
APU0000705121,1980,M02,1.999
APU0000705121,1980,M03,1.995
APU0000705121,1980,M04,1.936
APU0000705121,1980,M05,1.892
APU0000705121,1980,M06,1.860
APU0000705121,1980,M07,1.921
APU0000705121,1980,M08,1.996
APU0000705121,1980,M09,2.094
APU0000705121,1980,M10,2.111
APU0000705121,1980,M11,2.179
APU0000705121,1980,M12,2.199
APU0000705121,1981,M01,2.212
APU0000705121,1981,M02,2.176
APU0000705121,1981,M03,2.114
APU0000705121,1981,M04,2.095
APU0000705121,1981,M05,2.030
APU0000705121,1981,M06,2.057
APU0000705121,1981,M07,2.100
APU0000705121,1981,M08,2.117
APU0000705121,1981,M09,2.107
APU0000705121,1981,M10,2.126
APU0000705121,1981,M11,2.097
APU0000705121,1981,M12,2.107
APU0000705121,1982,M01,2.082
APU0000705121,1982,M02,2.094
APU0000705121,1982,M03,2.146
APU0000705121,1982,M04,2.162
APU0000705121,1982,M05,2.183
APU0000705121,1982,M06,2.249
APU0000705121,1982,M07,2.289
APU0000705121,1982,M08,2.281
APU0000705121,1982,M09,2.228
APU0000705121,1982,M10,2.267
APU0000705121,1982,M11,2.295
APU0000705121,1982,M12,2.235
APU0000705121,1983,M01,2.214
APU0000705121,1983,M02,2.181
APU0000705121,1983,M03,2.209
APU0000705121,1983,M04,2.227
APU0000705121,1983,M05,2.215
APU0000705121,1983,M06,2.250
APU0000705121,1983,M07,2.173
APU0000705121,1983,M08,2.138
APU0000705121,1983,M09,2.125
APU0000705121,1983,M10,2.143
APU0000705121,1983,M11,2.141
APU0000705121,1983,M12,2.109
APU0000705121,1984,M01,2.071
APU0000705121,1984,M02,2.094
APU0000705121,1984,M03,2.121
APU0000705121,1984,M04,2.102
APU0000705121,1984,M05,2.128
APU0000705121,1984,M06,2.150
APU0000705121,1984,M07,2.157
APU0000705121,1984,M08,2.145
APU0000705121,1984,M09,2.166
APU0000705121,1984,M10,2.149
APU0000705121,1984,M11,2.156
APU0000705121,1984,M12,2.143
APU0000705121,1985,M01,2.118
APU0000705121,1985,M02,2.103
APU0000705121,1985,M03,2.107
APU0000705121,1985,M04,2.148
APU0000705121,1985,M05,2.131
APU0000705121,1985,M06,2.123
APU0000705121,1985,M07,2.113
APU0000705121,1985,M08,2.093
APU0000705121,1985,M09,2.128
APU0000705121,1985,M10,2.110
APU0000705121,1985,M11,2.072
APU0000705121,1985,M12,2.119
APU0000705121,1986,M01,2.139
APU0000705121,1986,M02,2.088
APU0000705121,1986,M03,2.119
APU0000705121,1986,M04,2.118
APU0000705121,1986,M05,2.103
APU0000705121,1986,M06,2.107
APU0000705121,1986,M07,2.147
APU0000705121,1986,M08,2.194
APU0000705121,1986,M09,2.234
APU0000705121,1986,M10,2.247
APU0000705121,1986,M11,2.265
APU0000705121,1986,M12,2.266
APU0000705121,1987,M01,2.224
APU0000705121,1987,M02,2.167
APU0000705121,1987,M03,2.192
APU0000705121,1987,M04,2.154
APU0000705121,1987,M05,2.139
APU0000705121,1987,M06,2.151
APU0000705121,1987,M07,2.208
APU0000705121,1987,M08,2.213
