Series Id,Year,Period,Value
APU0000702111,1980,M01,0.501
APU0000702111,1980,M02,0.507
APU0000702111,1980,M03,0.502
APU0000702111,1980,M04,0.507
APU0000702111,1980,M05,0.504
APU0000702111,1980,M06,0.503
APU0000702111,1980,M07,0.511
APU0000702111,1980,M08,0.507
APU0000702111,1980,M09,0.511
APU0000702111,1980,M10,0.514
APU0000702111,1980,M11,0.519
APU0000702111,1980,M12,0.519
APU0000702111,1981,M01,0.531
APU0000702111,1981,M02,0.533
APU0000702111,1981,M03,0.538
APU0000702111,1981,M04,0.519
APU0000702111,1981,M05,0.525
APU0000702111,1981,M06,0.523
APU0000702111,1981,M07,0.521
APU0000702111,1981,M08,0.519
APU0000702111,1981,M09,0.524
APU0000702111,1981,M10,0.521
APU0000702111,1981,M11,0.527
APU0000702111,1981,M12,0.521
APU0000702111,1982,M01,0.537
APU0000702111,1982,M02,0.534
APU0000702111,1982,M03,0.526
APU0000702111,1982,M04,0.526
APU0000702111,1982,M05,0.529
APU0000702111,1982,M06,0.525
APU0000702111,1982,M07,0.534
APU0000702111,1982,M08,0.534
APU0000702111,1982,M09,0.536
APU0000702111,1982,M10,0.534
APU0000702111,1982,M11,0.534
APU0000702111,1982,M12,0.537
APU0000702111,1983,M01,0.541
APU0000702111,1983,M02,0.544
APU0000702111,1983,M03,0.544
APU0000702111,1983,M04,0.538
APU0000702111,1983,M05,0.542
APU0000702111,1983,M06,0.542
APU0000702111,1983,M07,0.544
APU0000702111,1983,M08,0.539
APU0000702111,1983,M09,0.536
APU0000702111,1983,M10,0.535
APU0000702111,1983,M11,0.547
APU0000702111,1983,M12,0.547
APU0000702111,1984,M01,0.543
APU0000702111,1984,M02,0.541
APU0000702111,1984,M03,0.542
APU0000702111,1984,M04,0.536
APU0000702111,1984,M05,0.541
APU0000702111,1984,M06,0.542
APU0000702111,1984,M07,0.541
APU0000702111,1984,M08,0.543
APU0000702111,1984,M09,0.539
APU0000702111,1984,M10,0.540
APU0000702111,1984,M11,0.543
APU0000702111,1984,M12,0.544
APU0000702111,1985,M01,0.551
APU0000702111,1985,M02,0.544
APU0000702111,1985,M03,0.544
APU0000702111,1985,M04,0.544
APU0000702111,1985,M05,0.542
APU0000702111,1985,M06,0.546
APU0000702111,1985,M07,0.556
APU0000702111,1985,M08,0.553
APU0000702111,1985,M09,0.561
APU0000702111,1985,M10,0.566
APU0000702111,1985,M11,0.564
APU0000702111,1985,M12,0.568
APU0000702111,1986,M01,0.566
APU0000702111,1986,M02,0.563
APU0000702111,1986,M03,0.560
