Series Id,Year,Period,Value
APU0000702112,1980,M01,0.756
APU0000702112,1980,M02,0.767
APU0000702112,1980,M03,0.766
APU0000702112,1980,M04,0.758
APU0000702112,1980,M05,0.766
APU0000702112,1980,M06,0.777
APU0000702112,1980,M07,0.784
APU0000702112,1980,M08,0.784
APU0000702112,1980,M09,0.803
APU0000702112,1980,M10,0.810
APU0000702112,1980,M11,0.815
APU0000702112,1980,M12,0.825
APU0000702112,1981,M01,0.841
APU0000702112,1981,M02,0.827
APU0000702112,1981,M03,0.833
APU0000702112,1981,M04,0.835
APU0000702112,1981,M05,0.835
APU0000702112,1981,M06,0.840
APU0000702112,1981,M07,0.860
APU0000702112,1981,M08,0.858
APU0000702112,1981,M09,0.866
APU0000702112,1981,M10,0.861
APU0000702112,1981,M11,0.860
APU0000702112,1981,M12,0.854
APU0000702112,1982,M01,0.871
APU0000702112,1982,M02,0.876
APU0000702112,1982,M03,0.890
APU0000702112,1982,M04,0.892
APU0000702112,1982,M05,0.894
APU0000702112,1982,M06,0.902
APU0000702112,1982,M07,0.919
APU0000702112,1982,M08,0.917
APU0000702112,1982,M09,0.918
APU0000702112,1982,M10,0.922
APU0000702112,1982,M11,0.905
APU0000702112,1982,M12,0.926
APU0000702112,1983,M01,0.913
APU0000702112,1983,M02,0.884
APU0000702112,1983,M03,0.918
APU0000702112,1983,M04,0.912
APU0000702112,1983,M05,0.917
APU0000702112,1983,M06,0.917
APU0000702112,1983,M07,0.936
APU0000702112,1983,M08,0.954
APU0000702112,1983,M09,0.984
APU0000702112,1983,M10,0.967
APU0000702112,1983,M11,0.965
APU0000702112,1983,M12,0.964
APU0000702112,1984,M01,0.992
APU0000702112,1984,M02,0.991
APU0000702112,1984,M03,1.000
APU0000702112,1984,M04,0.997
APU0000702112,1984,M05,1.005
APU0000702112,1984,M06,1.007
APU0000702112,1984,M07,1.018
APU0000702112,1984,M08,1.016
APU0000702112,1984,M09,1.006
APU0000702112,1984,M10,1.020
APU0000702112,1984,M11,1.015
APU0000702112,1984,M12,1.030
APU0000702112,1985,M01,1.031
APU0000702112,1985,M02,1.027
APU0000702112,1985,M03,1.022
APU0000702112,1985,M04,1.015
APU0000702112,1985,M05,1.021
APU0000702112,1985,M06,1.021
APU0000702112,1985,M07,0.999
APU0000702112,1985,M08,1.014
APU0000702112,1985,M09,1.031
APU0000702112,1985,M10,1.026
APU0000702112,1985,M11,1.027
APU0000702112,1985,M12,1.037
APU0000702112,1986,M01,1.032
APU0000702112,1986,M02,1.024
APU0000702112,1986,M03,1.041
APU0000702112,1986,M04,1.028
APU0000702112,1986,M05,1.045
APU0000702112,1986,M06,1.045
APU0000702112,1986,M07,1.052
APU0000702112,1986,M08,1.051
APU0000702112,1986,M09,1.056
APU0000702112,1986,M10,1.045
APU0000702112,1986,M11,1.059
APU0000702112,1986,M12,1.076
APU0000702112,1987,M01,1.055
APU0000702112,1987,M02,1.047
APU0000702112,1987,M03,1.048
APU0000702112,1987,M04,1.064
APU0000702112,1987,M05,1.080
APU0000702112,1987,M06,1.053
APU0000702112,1987,M07,1.081
APU0000702112,1987,M08,1.095
APU0000702112,1987,M09,1.095
APU0000702112,1987,M10,1.096
APU0000702112,1987,M11,1.109
APU0000702112,1987,M12,1.071
APU0000702112,1988,M01,1.057
APU0000702112,1988,M02,1.073
APU0000702112,1988,M03,1.102
APU0000702112,1988,M04,1.082
APU0000702112,1988,M06,1.066
APU0000702112,1988,M08,1.105
APU0000702112,1988,M09,1.108
APU0000702112,1988,M12,1.130
APU0000702112,1989,M01,1.129
APU0000702112,1989,M02,1.129
APU0000702112,1989,M03,1.202
APU0000702112,1989,M04,1.219
APU0000702112,1989,M05,1.190
APU0000702112,1991,M01,1.276
APU0000702112,1991,M02,1.241
APU0000702112,1991,M03,1.258
APU0000702112,1991,M04,1.250
APU0000702112,1991,M05,1.236
APU0000702112,1991,M06,1.231
APU0000702112,1991,M07,1.246
APU0000702112,1991,M08,1.250
APU0000702112,1991,M09,1.259
APU0000702112,1991,M10,1.251
APU0000702112,1991,M11,1.276
APU0000702112,1994,M09,1.521
APU0000702112,1994,M10,1.525
APU0000702112,1994,M11,1.501
APU0000702112,1994,M12,1.485
APU0000702112,1995,M01,1.538
APU0000702112,1995,M02,1.508
APU0000702112,1995,M03,1.539
APU0000702112,1995,M04,1.520
APU0000702112,1996,M02,1.496
APU0000702112,1996,M03,1.484
APU0000702112,1996,M04,1.491
APU0000702112,1996,M05,1.469
APU0000702112,1996,M06,1.507
APU0000702112,1996,M07,1.495
APU0000702112,1996,M08,1.517
APU0000702112,1996,M09,1.560
APU0000702112,1996,M10,1.493
APU0000702112,1996,M11,1.490
APU0000702112,1996,M12,1.515
APU0000702112,1997,M01,1.492
APU0000702112,1997,M02,1.519
APU0000702112,1997,M03,1.507
APU0000702112,1997,M04,1.500
APU0000702112,1997,M05,1.543
APU0000702112,1997,M06,1.540
APU0000702112,1997,M07,1.535
APU0000702112,1997,M08,1.545
APU0000702112,1997,M09,1.552
APU0000702112,1997,M10,1.581
APU0000702112,1997,M11,1.610
APU0000702112,1997,M12,1.587
APU0000702112,1998,M01,1.592
APU0000702112,1998,M03,1.586
APU0000702112,1998,M05,1.567
APU0000702112,2016,M07,1.794
APU0000702112,2016,M08,1.775
APU0000702112,2016,M09,1.835
