Series Id,Year,Period,Value
APU0000702212,1980,M01,0.715
APU0000702212,1980,M02,0.723
APU0000702212,1980,M03,0.696
APU0000702212,1980,M04,0.713
APU0000702212,1980,M05,0.720
APU0000702212,1980,M06,0.726
APU0000702212,1980,M07,0.735
APU0000702212,1980,M08,0.741
APU0000702212,1980,M09,0.723
APU0000702212,1980,M10,0.739
APU0000702212,1980,M11,0.737
APU0000702212,1980,M12,0.747
APU0000702212,1981,M01,0.759
APU0000702212,1981,M02,0.750
APU0000702212,1981,M03,0.767
APU0000702212,1981,M04,0.753
APU0000702212,1981,M05,0.762
APU0000702212,1981,M06,0.766
APU0000702212,1981,M07,0.781
APU0000702212,1981,M08,0.787
APU0000702212,1981,M09,0.791
APU0000702212,1981,M10,0.785
APU0000702212,1981,M11,0.798
APU0000702212,1981,M12,0.808
APU0000702212,1982,M01,0.811
APU0000702212,1982,M02,0.811
APU0000702212,1982,M03,0.826
APU0000702212,1982,M04,0.822
APU0000702212,1982,M05,0.818
APU0000702212,1982,M06,0.812
APU0000702212,1982,M07,0.810
APU0000702212,1982,M08,0.804
APU0000702212,1982,M09,0.814
APU0000702212,1982,M10,0.821
APU0000702212,1982,M11,0.818
APU0000702212,1982,M12,0.830
APU0000702212,1983,M01,0.826
APU0000702212,1983,M02,0.824
APU0000702212,1983,M03,0.831
APU0000702212,1983,M04,0.831
APU0000702212,1983,M05,0.837
APU0000702212,1983,M06,0.831
APU0000702212,1983,M07,0.840
APU0000702212,1983,M08,0.850
APU0000702212,1983,M09,0.860
APU0000702212,1983,M10,0.859
APU0000702212,1983,M11,0.854
APU0000702212,1983,M12,0.870
APU0000702212,1984,M01,0.891
APU0000702212,1984,M02,0.889
APU0000702212,1984,M03,0.876
APU0000702212,1984,M04,0.886
APU0000702212,1984,M05,0.888
APU0000702212,1984,M06,0.895
APU0000702212,1984,M07,0.876
APU0000702212,1984,M08,0.851
APU0000702212,1984,M09,0.859
APU0000702212,1984,M10,0.863
APU0000702212,1984,M11,0.879
APU0000702212,1984,M12,0.856
APU0000702212,1985,M01,0.857
APU0000702212,1985,M02,0.850
APU0000702212,1985,M03,0.853
APU0000702212,1985,M04,0.860
APU0000702212,1985,M05,0.855
APU0000702212,1985,M06,0.852
APU0000702212,1985,M07,0.865
APU0000702212,1985,M08,0.863
APU0000702212,1985,M09,0.864
APU0000702212,1985,M10,0.862
APU0000702212,1985,M11,0.867
APU0000702212,1985,M12,0.863
APU0000702212,1986,M01,0.865
APU0000702212,1986,M02,0.850
APU0000702212,1986,M03,0.850
APU0000702212,1986,M04,0.852
APU0000702212,1986,M05,0.859
APU0000702212,1986,M06,0.873
APU0000702212,1986,M07,0.874
APU0000702212,1986,M08,0.875
APU0000702212,1986,M09,0.876
APU0000702212,1986,M10,0.879
APU0000702212,1986,M11,0.885
APU0000702212,1986,M12,0.876
APU0000702212,1987,M01,0.866
APU0000702212,1987,M02,0.876
APU0000702212,1987,M03,0.866
APU0000702212,1987,M04,0.885
APU0000702212,1987,M05,0.884
APU0000702212,1987,M06,0.879
APU0000702212,1987,M07,0.857
APU0000702212,1987,M08,0.875
APU0000702212,1987,M09,0.875
APU0000702212,1987,M10,0.900
APU0000702212,1987,M11,0.896
APU0000702212,1987,M12,0.900
APU0000702212,1988,M01,0.915
APU0000702212,1988,M02,0.938
APU0000702212,1988,M03,0.936
APU0000702212,1991,M01,1.102
