Series Id,Year,Period,Value
APU0000710211,1984,M01,2.485
APU0000710211,1984,M02,2.495
APU0000710211,1984,M03,2.493
APU0000710211,1984,M04,2.501
APU0000710211,1984,M05,2.472
APU0000710211,1984,M06,2.502
APU0000710211,1984,M07,2.478
APU0000710211,1984,M08,2.503
APU0000710211,1984,M09,2.521
APU0000710211,1984,M10,2.536
APU0000710211,1984,M11,2.548
APU0000710211,1984,M12,2.534
APU0000710211,1985,M01,2.547
APU0000710211,1985,M02,2.511
APU0000710211,1985,M03,2.544
APU0000710211,1985,M04,2.525
APU0000710211,1985,M05,2.539
APU0000710211,1985,M06,2.503
APU0000710211,1985,M07,2.531
APU0000710211,1985,M08,2.509
APU0000710211,1985,M09,2.531
APU0000710211,1985,M10,2.528
APU0000710211,1985,M11,2.566
APU0000710211,1985,M12,2.554
APU0000710211,1986,M01,2.607
APU0000710211,1986,M02,2.615
APU0000710211,1986,M03,2.590
APU0000710211,1986,M04,2.590
APU0000710211,1986,M05,2.539
APU0000710211,1986,M06,2.579
APU0000710211,1986,M07,2.598
APU0000710211,1986,M08,2.594
APU0000710211,1986,M09,2.586
APU0000710211,1986,M10,2.608
APU0000710211,1986,M11,2.642
APU0000710211,1986,M12,2.673
APU0000710211,1987,M01,2.688
APU0000710211,1987,M03,2.691
APU0000710211,1987,M04,2.660
APU0000710211,1987,M05,2.663
APU0000710211,1987,M06,2.694
APU0000710211,1987,M07,2.693
APU0000710211,1987,M08,2.716
APU0000710211,1987,M09,2.708
APU0000710211,1987,M10,2.702
APU0000710211,1987,M11,2.685
APU0000710211,1987,M12,2.677
APU0000710211,1988,M01,2.675
APU0000710211,1988,M02,2.718
APU0000710211,1988,M03,2.724
APU0000710211,1988,M04,2.709
APU0000710211,1988,M05,2.721
APU0000710211,1988,M06,2.749
APU0000710211,1988,M07,2.777
APU0000710211,1988,M08,2.801
APU0000710211,1988,M09,2.807
APU0000710211,1988,M10,2.873
APU0000710211,1988,M11,2.894
APU0000710211,1988,M12,2.864
APU0000710211,1989,M01,2.876
APU0000710211,1989,M02,2.929
APU0000710211,1989,M03,2.959
APU0000710211,1989,M04,2.961
APU0000710211,1989,M05,2.923
APU0000710211,1989,M06,2.930
APU0000710211,1991,M01,3.492
APU0000710211,1991,M02,3.442
APU0000710211,1991,M03,3.460
APU0000710211,1991,M04,3.434
