Series Id,Year,Period,Value
APU0000710212,1984,M01,3.048
APU0000710212,1984,M02,3.036
APU0000710212,1984,M03,3.044
APU0000710212,1984,M04,3.030
APU0000710212,1984,M05,3.026
APU0000710212,1984,M06,3.058
APU0000710212,1984,M07,3.095
APU0000710212,1984,M08,3.068
APU0000710212,1984,M09,3.067
APU0000710212,1984,M10,3.088
APU0000710212,1984,M11,3.103
APU0000710212,1984,M12,3.120
APU0000710212,1985,M01,3.101
APU0000710212,1985,M02,3.093
APU0000710212,1985,M03,3.055
APU0000710212,1985,M04,3.060
APU0000710212,1985,M05,3.100
APU0000710212,1985,M06,3.078
APU0000710212,1985,M07,3.108
APU0000710212,1985,M08,3.126
APU0000710212,1985,M09,3.113
APU0000710212,1985,M10,3.109
APU0000710212,1985,M11,3.113
APU0000710212,1985,M12,3.066
APU0000710212,1986,M01,3.061
APU0000710212,1986,M02,3.037
APU0000710212,1986,M03,3.051
APU0000710212,1986,M04,3.041
APU0000710212,1986,M05,3.044
APU0000710212,1986,M06,3.004
APU0000710212,1986,M07,3.036
APU0000710212,1986,M08,3.056
APU0000710212,1986,M09,3.074
APU0000710212,1986,M10,3.062
APU0000710212,1986,M11,3.057
APU0000710212,1986,M12,3.066
APU0000710212,1987,M01,3.032
APU0000710212,1987,M02,3.034
APU0000710212,1987,M03,3.044
APU0000710212,1987,M04,3.046
APU0000710212,1987,M05,3.065
APU0000710212,1987,M06,3.047
APU0000710212,1987,M07,3.034
APU0000710212,1987,M08,3.083
APU0000710212,1987,M09,3.059
APU0000710212,1987,M10,3.052
APU0000710212,1987,M11,3.071
APU0000710212,1987,M12,3.100
APU0000710212,1988,M01,3.126
APU0000710212,1988,M02,3.155
APU0000710212,1988,M03,3.138
APU0000710212,1988,M04,3.159
APU0000710212,1988,M05,3.197
APU0000710212,1988,M06,3.158
APU0000710212,1988,M07,3.143
APU0000710212,1988,M08,3.122
APU0000710212,1988,M09,3.175
APU0000710212,1988,M10,3.197
APU0000710212,1988,M11,3.201
APU0000710212,1988,M12,3.208
APU0000710212,1989,M01,3.213
APU0000710212,1989,M02,3.206
APU0000710212,1989,M05,3.145
APU0000710212,1989,M06,3.159
APU0000710212,1989,M07,3.129
APU0000710212,1989,M08,3.161
APU0000710212,1989,M09,3.194
APU0000710212,1989,M10,3.281
APU0000710212,1989,M11,3.344
APU0000710212,1991,M01,3.588
APU0000710212,1991,M02,3.604
APU0000710212,1991,M03,3.548
APU0000710212,1991,M04,3.514
APU0000710212,1991,M05,3.479
APU0000710212,1991,M06,3.528
APU0000710212,1991,M07,3.597
APU0000710212,1991,M08,3.586
APU0000710212,1991,M09,3.597
APU0000710212,1991,M10,3.519
APU0000710212,1991,M11,3.521
APU0000710212,1991,M12,3.534
APU0000710212,1992,M01,3.659
APU0000710212,1992,M02,3.634
APU0000710212,1992,M03,3.612
APU0000710212,1992,M04,3.582
