Series Id,Year,Period,Value
APU0000706212,1980,M01,1.060
APU0000706212,1980,M02,1.024
APU0000706212,1980,M03,0.985
APU0000706212,1980,M04,0.967
APU0000706212,1980,M05,0.985
APU0000706212,1980,M06,1.005
APU0000706212,1980,M07,1.067
APU0000706212,1980,M08,1.127
APU0000706212,1980,M09,1.164
APU0000706212,1980,M10,1.145
APU0000706212,1980,M11,1.130
APU0000706212,1980,M12,1.141
APU0000706212,1981,M01,1.150
APU0000706212,1981,M02,1.147
APU0000706212,1981,M03,1.128
APU0000706212,1981,M04,1.046
APU0000706212,1981,M05,1.105
APU0000706212,1981,M06,1.101
APU0000706212,1981,M07,1.156
APU0000706212,1981,M08,1.137
APU0000706212,1981,M09,1.124
APU0000706212,1981,M10,1.126
APU0000706212,1981,M11,1.109
APU0000706212,1981,M12,1.099
APU0000706212,1982,M01,1.112
APU0000706212,1982,M02,1.099
APU0000706212,1982,M03,1.062
APU0000706212,1982,M04,1.029
APU0000706212,1982,M05,1.074
APU0000706212,1982,M06,1.072
APU0000706212,1982,M07,1.102
APU0000706212,1982,M08,1.082
APU0000706212,1982,M09,1.062
APU0000706212,1982,M10,1.061
APU0000706212,1982,M11,1.034
APU0000706212,1982,M12,1.042
APU0000706212,1983,M01,1.021
APU0000706212,1983,M02,1.042
APU0000706212,1983,M03,1.052
APU0000706212,1983,M04,1.048
APU0000706212,1983,M05,1.069
APU0000706212,1983,M06,1.020
APU0000706212,1983,M07,1.067
APU0000706212,1983,M08,1.046
APU0000706212,1983,M09,1.050
APU0000706212,1983,M10,1.017
APU0000706212,1983,M11,1.006
APU0000706212,1983,M12,1.075
APU0000706212,1984,M01,1.178
APU0000706212,1984,M02,1.259
APU0000706212,1984,M03,1.236
APU0000706212,1984,M04,1.191
APU0000706212,1984,M05,1.155
APU0000706212,1984,M06,1.169
APU0000706212,1984,M07,1.173
APU0000706212,1984,M08,1.109
APU0000706212,1984,M09,1.137
APU0000706212,1984,M10,1.092
APU0000706212,1984,M11,1.065
APU0000706212,1984,M12,1.084
APU0000706212,1985,M01,1.131
APU0000706212,1985,M02,1.090
APU0000706212,1985,M03,1.079
APU0000706212,1985,M04,1.048
APU0000706212,1985,M05,1.065
APU0000706212,1985,M06,1.066
APU0000706212,1985,M07,1.094
APU0000706212,1985,M08,1.061
APU0000706212,1985,M09,1.060
APU0000706212,1985,M10,1.031
APU0000706212,1985,M11,1.051
APU0000706212,1985,M12,1.142
APU0000706212,1986,M01,1.115
APU0000706212,1986,M02,1.089
APU0000706212,1986,M03,1.037
APU0000706212,1986,M04,1.067
APU0000706212,1986,M05,1.061
APU0000706212,1986,M06,1.108
APU0000706212,1986,M07,1.194
APU0000706212,1986,M08,1.320
APU0000706212,1986,M09,1.271
APU0000706212,1986,M10,1.221
APU0000706212,1986,M11,1.268
APU0000706212,1986,M12,1.251
APU0000706212,1987,M02,1.138
APU0000706212,1987,M03,1.124
APU0000706212,1987,M04,1.119
APU0000706212,1987,M05,1.078
APU0000706212,1987,M06,1.062
APU0000706212,1987,M07,1.053
APU0000706212,1987,M08,1.098
APU0000706212,1987,M09,1.085
APU0000706212,1987,M10,1.070
APU0000706212,1987,M11,1.054
APU0000706212,1987,M12,1.050
APU0000706212,1988,M01,1.029
APU0000706212,1988,M02,0.995
APU0000706212,1988,M03,1.020
APU0000706212,1988,M04,1.026
APU0000706212,1988,M05,1.052
APU0000706212,1988,M06,1.142
APU0000706212,1988,M07,1.271
APU0000706212,1988,M08,1.297
APU0000706212,1988,M09,1.256
APU0000706212,1988,M10,1.237
APU0000706212,1988,M11,1.199
APU0000706212,1988,M12,1.168
APU0000706212,1989,M01,1.176
APU0000706212,1989,M02,1.175
APU0000706212,1989,M03,1.170
APU0000706212,1989,M04,1.196
APU0000706212,1989,M05,1.257
APU0000706212,1989,M06,1.301
APU0000706212,1989,M07,1.268
APU0000706212,1989,M08,1.254
APU0000706212,1989,M09,1.182
APU0000706212,1989,M10,1.208
APU0000706212,1989,M11,1.143
APU0000706212,1989,M12,1.141
APU0000706212,1990,M01,1.125
APU0000706212,1990,M02,1.168
APU0000706212,1990,M03,1.223
APU0000706212,1990,M04,1.159
APU0000706212,1990,M05,1.182
APU0000706212,1990,M06,1.230
APU0000706212,1990,M07,1.233
APU0000706212,1990,M08,1.232
APU0000706212,1990,M09,1.225
APU0000706212,1990,M10,1.201
APU0000706212,1990,M11,1.155
APU0000706212,1990,M12,1.165
APU0000706212,1991,M01,1.195
APU0000706212,1991,M02,1.182
APU0000706212,1991,M03,1.159
APU0000706212,1991,M04,1.152
APU0000706212,1991,M05,1.154
APU0000706212,1991,M06,1.157
APU0000706212,1991,M07,1.164
APU0000706212,1991,M08,1.163
APU0000706212,1991,M09,1.136
APU0000706212,1991,M10,1.120
APU0000706212,1991,M11,1.131
APU0000706212,1991,M12,1.141
APU0000706212,1992,M01,1.147
APU0000706212,1992,M02,1.092
APU0000706212,1992,M03,1.066
