Series Id,Year,Period,Value
APU0000706111,1980,M01,0.699
APU0000706111,1980,M02,0.673
APU0000706111,1980,M03,0.655
APU0000706111,1980,M04,0.638
APU0000706111,1980,M05,0.628
APU0000706111,1980,M06,0.640
APU0000706111,1980,M07,0.710
APU0000706111,1980,M08,0.751
APU0000706111,1980,M09,0.791
APU0000706111,1980,M10,0.792
APU0000706111,1980,M11,0.766
APU0000706111,1980,M12,0.760
APU0000706111,1981,M01,0.749
APU0000706111,1981,M02,0.759
APU0000706111,1981,M03,0.755
APU0000706111,1981,M04,0.734
APU0000706111,1981,M05,0.706
APU0000706111,1981,M06,0.717
APU0000706111,1981,M07,0.767
APU0000706111,1981,M08,0.752
APU0000706111,1981,M09,0.728
APU0000706111,1981,M10,0.712
APU0000706111,1981,M11,0.702
APU0000706111,1981,M12,0.700
APU0000706111,1982,M01,0.712
APU0000706111,1982,M02,0.726
APU0000706111,1982,M03,0.715
APU0000706111,1982,M04,0.712
APU0000706111,1982,M05,0.720
APU0000706111,1982,M06,0.732
APU0000706111,1982,M07,0.740
APU0000706111,1982,M08,0.717
APU0000706111,1982,M09,0.713
APU0000706111,1982,M10,0.700
APU0000706111,1982,M11,0.694
APU0000706111,1982,M12,0.682
APU0000706111,1983,M01,0.689
APU0000706111,1983,M02,0.699
APU0000706111,1983,M03,0.698
APU0000706111,1983,M04,0.676
APU0000706111,1983,M05,0.687
APU0000706111,1983,M06,0.699
APU0000706111,1983,M07,0.724
APU0000706111,1983,M08,0.740
APU0000706111,1983,M09,0.769
APU0000706111,1983,M10,0.737
APU0000706111,1983,M11,0.766
APU0000706111,1983,M12,0.812
APU0000706111,1984,M01,0.839
APU0000706111,1984,M02,0.867
APU0000706111,1984,M03,0.848
APU0000706111,1984,M04,0.844
APU0000706111,1984,M05,0.811
APU0000706111,1984,M06,0.817
APU0000706111,1984,M07,0.829
APU0000706111,1984,M08,0.788
APU0000706111,1984,M09,0.790
APU0000706111,1984,M10,0.764
APU0000706111,1984,M11,0.771
APU0000706111,1984,M12,0.753
APU0000706111,1985,M01,0.773
APU0000706111,1985,M02,0.772
APU0000706111,1985,M03,0.769
APU0000706111,1985,M04,0.764
APU0000706111,1985,M05,0.745
APU0000706111,1985,M06,0.761
APU0000706111,1985,M07,0.753
APU0000706111,1985,M08,0.757
APU0000706111,1985,M09,0.762
APU0000706111,1985,M10,0.749
APU0000706111,1985,M11,0.778
APU0000706111,1985,M12,0.776
APU0000706111,1986,M01,0.766
APU0000706111,1986,M02,0.771
APU0000706111,1986,M03,0.767
APU0000706111,1986,M04,0.752
