Series Id,Year,Period,Value
APU0000718311,1980,M01,1.981
APU0000718311,1980,M02,1.994
APU0000718311,1980,M03,2.003
APU0000718311,1980,M04,2.006
APU0000718311,1980,M05,2.006
APU0000718311,1980,M06,2.018
APU0000718311,1980,M07,2.012
APU0000718311,1980,M08,2.046
APU0000718311,1980,M09,2.035
APU0000718311,1980,M10,2.066
APU0000718311,1980,M11,2.138
APU0000718311,1980,M12,2.176
APU0000718311,1981,M01,2.203
APU0000718311,1981,M02,2.195
APU0000718311,1981,M03,2.229
APU0000718311,1981,M04,2.277
APU0000718311,1981,M05,2.271
APU0000718311,1981,M06,2.295
APU0000718311,1981,M07,2.256
APU0000718311,1981,M08,2.293
APU0000718311,1981,M09,2.301
APU0000718311,1981,M10,2.324
APU0000718311,1981,M11,2.375
APU0000718311,1981,M12,2.338
APU0000718311,1982,M01,2.380
APU0000718311,1982,M02,2.413
APU0000718311,1982,M03,2.391
APU0000718311,1982,M04,2.380
APU0000718311,1982,M05,2.400
APU0000718311,1982,M06,2.385
APU0000718311,1982,M07,2.394
APU0000718311,1982,M08,2.424
APU0000718311,1982,M09,2.400
APU0000718311,1982,M10,2.431
APU0000718311,1982,M11,2.388
APU0000718311,1982,M12,2.395
APU0000718311,1983,M01,2.441
APU0000718311,1983,M02,2.486
APU0000718311,1983,M03,2.508
APU0000718311,1983,M04,2.520
APU0000718311,1983,M05,2.536
APU0000718311,1983,M06,2.472
APU0000718311,1983,M07,2.475
APU0000718311,1983,M08,2.524
APU0000718311,1983,M09,2.540
APU0000718311,1983,M10,2.500
APU0000718311,1983,M11,2.515
APU0000718311,1983,M12,2.526
APU0000718311,1984,M01,2.492
APU0000718311,1984,M02,2.564
APU0000718311,1984,M03,2.516
APU0000718311,1984,M04,2.520
APU0000718311,1984,M05,2.558
APU0000718311,1984,M06,2.561
APU0000718311,1984,M07,2.577
APU0000718311,1984,M08,2.600
APU0000718311,1984,M09,2.613
APU0000718311,1984,M10,2.628
APU0000718311,1984,M11,2.592
APU0000718311,1984,M12,2.580
APU0000718311,1985,M01,2.602
APU0000718311,1985,M02,2.609
APU0000718311,1985,M03,2.609
APU0000718311,1985,M04,2.629
APU0000718311,1985,M05,2.615
APU0000718311,1985,M06,2.607
APU0000718311,1985,M07,2.615
APU0000718311,1985,M08,2.601
APU0000718311,1985,M09,2.558
APU0000718311,1985,M10,2.596
APU0000718311,1985,M11,2.598
APU0000718311,1985,M12,2.631
APU0000718311,1986,M01,2.610
APU0000718311,1986,M02,2.608
APU0000718311,1986,M03,2.625
APU0000718311,1986,M04,2.621
APU0000718311,1986,M05,2.622
APU0000718311,1986,M06,2.708
APU0000718311,1986,M07,2.644
APU0000718311,1986,M08,2.720
APU0000718311,1986,M09,2.701
APU0000718311,1986,M10,2.752
APU0000718311,1986,M11,2.742
APU0000718311,1986,M12,2.749
APU0000718311,1987,M01,2.754
APU0000718311,1987,M02,2.786
APU0000718311,1987,M03,2.808
APU0000718311,1987,M04,2.804
APU0000718311,1987,M05,2.776
APU0000718311,1987,M06,2.801
APU0000718311,1987,M07,2.785
APU0000718311,1987,M08,2.717
APU0000718311,1987,M09,2.701
APU0000718311,1987,M10,2.674
APU0000718311,1987,M11,2.734
APU0000718311,1987,M12,2.674
APU0000718311,1988,M01,2.631
APU0000718311,1988,M02,2.597
APU0000718311,1988,M03,2.604
APU0000718311,1988,M04,2.580
APU0000718311,1988,M05,2.598
APU0000718311,1988,M06,2.572
APU0000718311,1988,M07,2.616
APU0000718311,1988,M08,2.617
APU0000718311,1988,M09,2.636
APU0000718311,1988,M10,2.620
APU0000718311,1988,M11,2.662
APU0000718311,1988,M12,2.699
APU0000718311,1989,M01,2.711
APU0000718311,1989,M02,2.876
APU0000718311,1989,M03,2.906
APU0000718311,1989,M04,2.950
APU0000718311,1989,M05,2.940
APU0000718311,1989,M06,2.883
APU0000718311,1989,M07,2.842
APU0000718311,1989,M08,2.855
APU0000718311,1989,M09,2.824
APU0000718311,1989,M10,2.824
APU0000718311,1989,M11,2.862
APU0000718311,1989,M12,2.853
APU0000718311,1990,M01,2.866
APU0000718311,1990,M02,2.947
APU0000718311,1990,M03,2.962
APU0000718311,1990,M04,2.984
APU0000718311,1990,M05,2.940
APU0000718311,1990,M06,2.951
APU0000718311,1990,M07,2.945
APU0000718311,1990,M08,2.949
APU0000718311,1990,M09,2.980
APU0000718311,1990,M10,3.032
APU0000718311,1990,M11,2.971
APU0000718311,1990,M12,2.971
APU0000718311,1991,M01,2.990
APU0000718311,1991,M02,2.982
APU0000718311,1991,M03,2.954
APU0000718311,1991,M04,2.960
APU0000718311,1991,M05,2.937
APU0000718311,1991,M06,3.062
APU0000718311,1991,M07,2.929
APU0000718311,1991,M08,2.939
APU0000718311,1991,M09,2.901
APU0000718311,1991,M10,3.021
APU0000718311,1991,M11,2.930
APU0000718311,1991,M12,2.954
APU0000718311,1992,M01,2.942
APU0000718311,1992,M02,2.914
APU0000718311,1992,M03,2.943
APU0000718311,1992,M04,2.857
APU0000718311,1992,M05,2.871
APU0000718311,1992,M06,2.906
APU0000718311,1992,M07,2.911
APU0000718311,1992,M08,2.974
APU0000718311,1992,M09,2.856
APU0000718311,1992,M10,2.937
APU0000718311,1992,M11,2.836
APU0000718311,1992,M12,2.840
APU0000718311,1993,M01,2.832
APU0000718311,1993,M02,2.935
APU0000718311,1993,M03,2.839
APU0000718311,1993,M04,2.836
APU0000718311,1993,M05,2.898
APU0000718311,1993,M06,2.827
APU0000718311,1993,M07,2.893
APU0000718311,1993,M08,2.966
APU0000718311,1993,M09,2.895
APU0000718311,1993,M10,2.911
APU0000718311,1993,M11,2.843
APU0000718311,1993,M12,2.918
APU0000718311,1994,M01,2.872
APU0000718311,1994,M02,3.018
APU0000718311,1994,M03,2.970
APU0000718311,1994,M04,3.012
APU0000718311,1994,M05,2.999
APU0000718311,1994,M06,2.968
APU0000718311,1994,M07,2.902
APU0000718311,1994,M08,2.992
APU0000718311,1994,M09,2.965
APU0000718311,1994,M10,2.924
APU0000718311,1994,M11,3.020
APU0000718311,1994,M12,3.012
APU0000718311,1995,M01,3.079
APU0000718311,1995,M02,3.014
APU0000718311,1995,M03,2.975
APU0000718311,1995,M04,3.048
APU0000718311,1995,M05,2.952
APU0000718311,1995,M06,2.987
APU0000718311,1995,M07,2.971
APU0000718311,1995,M08,3.035
APU0000718311,1995,M09,2.970
APU0000718311,1995,M10,3.020
APU0000718311,1995,M11,2.979
APU0000718311,1995,M12,3.026
APU0000718311,1996,M01,3.004
APU0000718311,1996,M02,2.960
APU0000718311,1996,M03,3.035
APU0000718311,1996,M04,3.075
APU0000718311,1996,M05,2.989
APU0000718311,1996,M06,2.981
APU0000718311,1996,M07,3.106
APU0000718311,1996,M08,3.086
APU0000718311,1996,M09,3.069
APU0000718311,1996,M10,3.155
APU0000718311,1996,M11,3.102
APU0000718311,1996,M12,3.118
APU0000718311,1997,M01,3.125
APU0000718311,1997,M02,3.099
APU0000718311,1997,M03,3.145
APU0000718311,1997,M04,3.184
APU0000718311,1997,M05,3.056
APU0000718311,1997,M06,3.118
APU0000718311,1997,M07,3.117
APU0000718311,1997,M08,3.128
APU0000718311,1997,M09,3.176
APU0000718311,1997,M10,3.152
APU0000718311,1997,M11,3.133
APU0000718311,1997,M12,3.166
APU0000718311,1998,M01,3.149
APU0000718311,1998,M02,3.136
APU0000718311,1998,M03,3.107
APU0000718311,1998,M04,3.175
APU0000718311,1998,M05,3.161
APU0000718311,1998,M06,3.153
APU0000718311,1998,M07,3.128
APU0000718311,1998,M08,3.210
APU0000718311,1998,M09,3.121
APU0000718311,1998,M10,3.219
APU0000718311,1998,M11,3.207
APU0000718311,1998,M12,3.177
APU0000718311,1999,M01,3.217
APU0000718311,1999,M02,3.223
APU0000718311,1999,M03,3.249
APU0000718311,1999,M04,3.264
APU0000718311,1999,M05,3.212
APU0000718311,1999,M06,3.235
APU0000718311,1999,M07,3.255
APU0000718311,1999,M08,3.279
APU0000718311,1999,M09,3.237
APU0000718311,1999,M10,3.289
APU0000718311,1999,M11,3.299
APU0000718311,1999,M12,3.330
APU0000718311,2000,M01,3.386
APU0000718311,2000,M02,3.448
APU0000718311,2000,M03,3.354
APU0000718311,2000,M04,3.409
APU0000718311,2000,M05,3.345
