Series Id,Year,Period,Value
APU0000717311,1980,M01,3.208
APU0000717311,1980,M02,3.258
APU0000717311,1980,M03,3.248
APU0000717311,1980,M04,3.209
APU0000717311,1980,M05,3.200
APU0000717311,1980,M06,3.181
APU0000717311,1980,M07,3.233
APU0000717311,1980,M08,3.230
APU0000717311,1980,M09,3.159
APU0000717311,1980,M10,3.053
APU0000717311,1980,M11,2.913
APU0000717311,1980,M12,2.818
APU0000717311,1981,M01,2.777
APU0000717311,1981,M02,2.595
APU0000717311,1981,M03,2.557
APU0000717311,1981,M04,2.562
APU0000717311,1981,M05,2.538
APU0000717311,1981,M06,2.517
APU0000717311,1981,M07,2.512
APU0000717311,1981,M08,2.492
APU0000717311,1981,M09,2.460
APU0000717311,1981,M10,2.451
APU0000717311,1981,M11,2.408
APU0000717311,1981,M12,2.457
APU0000717311,1982,M01,2.475
APU0000717311,1982,M02,2.552
APU0000717311,1982,M03,2.564
APU0000717311,1982,M04,2.585
APU0000717311,1982,M05,2.567
APU0000717311,1982,M06,2.527
APU0000717311,1982,M07,2.502
APU0000717311,1982,M08,2.515
APU0000717311,1982,M09,2.517
APU0000717311,1982,M10,2.500
APU0000717311,1982,M11,2.481
APU0000717311,1982,M12,2.501
APU0000717311,1983,M01,2.528
APU0000717311,1983,M02,2.519
APU0000717311,1983,M03,2.478
APU0000717311,1983,M04,2.466
APU0000717311,1983,M05,2.459
APU0000717311,1983,M06,2.470
APU0000717311,1983,M07,2.454
APU0000717311,1983,M08,2.451
APU0000717311,1983,M09,2.438
APU0000717311,1983,M10,2.432
APU0000717311,1983,M11,2.454
APU0000717311,1983,M12,2.437
APU0000717311,1984,M01,2.495
APU0000717311,1984,M02,2.546
APU0000717311,1984,M03,2.546
APU0000717311,1984,M04,2.549
APU0000717311,1984,M05,2.567
APU0000717311,1984,M06,2.598
APU0000717311,1984,M07,2.609
APU0000717311,1984,M08,2.606
APU0000717311,1984,M09,2.617
APU0000717311,1984,M10,2.616
APU0000717311,1984,M11,2.594
APU0000717311,1984,M12,2.593
APU0000717311,1985,M01,2.585
APU0000717311,1985,M02,2.594
APU0000717311,1985,M03,2.621
APU0000717311,1985,M04,2.603
APU0000717311,1985,M05,2.606
APU0000717311,1985,M06,2.614
APU0000717311,1985,M07,2.590
APU0000717311,1985,M08,2.564
APU0000717311,1985,M09,2.563
APU0000717311,1985,M10,2.573
APU0000717311,1985,M11,2.549
APU0000717311,1985,M12,2.505
APU0000717311,1986,M01,2.737
APU0000717311,1986,M02,3.554
APU0000717311,1986,M03,3.740
APU0000717311,1986,M04,3.706
APU0000717311,1986,M05,3.655
APU0000717311,1986,M06,3.646
APU0000717311,1986,M07,3.594
APU0000717311,1986,M08,3.462
APU0000717311,1986,M09,3.315
APU0000717311,1986,M10,3.269
APU0000717311,1986,M11,3.268
APU0000717311,1986,M12,3.247
APU0000717311,1987,M01,3.192
APU0000717311,1987,M02,3.087
APU0000717311,1987,M03,2.960
APU0000717311,1987,M04,2.865
APU0000717311,1987,M05,2.777
APU0000717311,1987,M06,2.737
APU0000717311,1987,M07,2.709
