Series Id,Year,Period,Value
APU0000702421,1980,M01,1.491
APU0000702421,1980,M02,1.495
APU0000702421,1980,M03,1.531
APU0000702421,1980,M04,1.537
APU0000702421,1980,M05,1.541
APU0000702421,1980,M06,1.532
APU0000702421,1980,M07,1.532
APU0000702421,1980,M08,1.600
APU0000702421,1980,M09,1.621
APU0000702421,1980,M10,1.665
APU0000702421,1980,M11,1.696
APU0000702421,1980,M12,1.703
APU0000702421,1981,M01,1.760
APU0000702421,1981,M02,1.761
APU0000702421,1981,M03,1.718
APU0000702421,1981,M04,1.671
APU0000702421,1981,M05,1.667
APU0000702421,1981,M06,1.711
APU0000702421,1981,M07,1.709
APU0000702421,1981,M08,1.723
APU0000702421,1981,M09,1.732
APU0000702421,1981,M10,1.770
APU0000702421,1981,M11,1.740
APU0000702421,1981,M12,1.768
APU0000702421,1982,M01,1.775
APU0000702421,1982,M02,1.796
APU0000702421,1982,M03,1.731
APU0000702421,1982,M04,1.787
APU0000702421,1982,M05,1.759
APU0000702421,1982,M06,1.768
APU0000702421,1982,M07,1.750
APU0000702421,1982,M08,1.732
APU0000702421,1982,M09,1.761
APU0000702421,1982,M10,1.789
APU0000702421,1982,M11,1.820
APU0000702421,1982,M12,1.797
APU0000702421,1983,M01,1.823
APU0000702421,1983,M02,1.818
APU0000702421,1983,M03,1.822
APU0000702421,1983,M04,1.870
APU0000702421,1983,M05,1.852
APU0000702421,1983,M06,1.820
APU0000702421,1983,M07,1.856
APU0000702421,1983,M08,1.836
APU0000702421,1983,M09,1.789
APU0000702421,1983,M10,1.718
APU0000702421,1983,M11,1.792
APU0000702421,1983,M12,1.815
APU0000702421,1984,M01,1.868
APU0000702421,1984,M02,1.872
APU0000702421,1984,M03,1.833
APU0000702421,1984,M04,1.844
APU0000702421,1984,M05,1.865
APU0000702421,1984,M06,1.863
APU0000702421,1984,M07,1.869
APU0000702421,1984,M08,1.882
APU0000702421,1984,M09,1.861
APU0000702421,1984,M10,1.901
APU0000702421,1984,M11,1.900
APU0000702421,1984,M12,1.933
APU0000702421,1985,M01,1.921
APU0000702421,1985,M02,1.906
APU0000702421,1985,M03,1.915
APU0000702421,1985,M04,1.938
