Series Id,Year,Period,Value
APU0000708111,1980,M02,-0.105
APU0000708111,1980,M03,0.038
APU0000708111,1980,M04,-0.015
APU0000708111,1980,M05,-0.060
APU0000708111,1980,M06,-0.006
APU0000708111,1980,M07,0.045
APU0000708111,1980,M08,0.131
APU0000708111,1980,M09,-0.009
APU0000708111,1980,M10,-0.031
APU0000708111,1980,M11,0.050
APU0000708111,1980,M12,0.114
APU0000708111,1981,M01,-0.088
APU0000708111,1981,M02,-0.019
APU0000708111,1981,M03,-0.049
APU0000708111,1981,M04,0.029
APU0000708111,1981,M05,-0.068
APU0000708111,1981,M06,0.016
APU0000708111,1981,M07,0.008
APU0000708111,1981,M08,0.008
APU0000708111,1981,M09,0.047
APU0000708111,1981,M10,-0.017
APU0000708111,1981,M11,0.045
APU0000708111,1981,M12,0.023
APU0000708111,1982,M01,-0.041
APU0000708111,1982,M02,0.082
APU0000708111,1982,M03,-0.055
APU0000708111,1982,M04,-0.056
APU0000708111,1982,M05,-0.054
APU0000708111,1982,M06,-0.059
APU0000708111,1982,M07,0.068
APU0000708111,1982,M08,-0.073
APU0000708111,1982,M09,0.074
APU0000708111,1982,M10,0.002
APU0000708111,1982,M11,-0.005
APU0000708111,1982,M12,-0.036
APU0000708111,1983,M01,0.008
APU0000708111,1983,M02,-0.027
APU0000708111,1983,M03,0.042
APU0000708111,1983,M04,-0.011
APU0000708111,1983,M05,0.040
APU0000708111,1983,M06,-0.040
APU0000708111,1983,M07,0.022
APU0000708111,1983,M08,0.037
APU0000708111,1983,M09,0.054
APU0000708111,1983,M10,0.024
APU0000708111,1983,M11,0.034
APU0000708111,1983,M12,0.135
APU0000708111,1984,M01,0.170
APU0000708111,1984,M02,0.023
APU0000708111,1984,M03,-0.171
APU0000708111,1984,M04,0.046
APU0000708111,1984,M05,-0.145
APU0000708111,1984,M06,-0.151
APU0000708111,1984,M07,-0.027
APU0000708111,1984,M08,-0.016
APU0000708111,1984,M09,-0.006
APU0000708111,1984,M10,-0.012
APU0000708111,1984,M11,-0.019
APU0000708111,1984,M12,0.044
APU0000708111,1985,M01,-0.121
APU0000708111,1985,M02,0.038
APU0000708111,1985,M03,0.006
APU0000708111,1985,M04,-0.007
APU0000708111,1985,M05,-0.038
APU0000708111,1985,M06,-0.021
APU0000708111,1985,M07,0.063
APU0000708111,1985,M08,0.002
APU0000708111,1985,M09,0.068
APU0000708111,1985,M10,0.003
APU0000708111,1985,M11,0.012
APU0000708111,1985,M12,0.034
APU0000708111,1986,M01,-0.005
APU0000708111,1986,M02,-0.035
APU0000708111,1986,M03,0.021
APU0000708111,1986,M04,0.003
APU0000708111,1986,M05,-0.070
APU0000708111,1986,M06,-0.025
APU0000708111,1986,M07,0.038
APU0000708111,1986,M08,0.080
APU0000708111,1986,M09,-0.045
APU0000708111,1986,M10,-0.013
APU0000708111,1986,M11,0.042
APU0000708111,1986,M12,0.013
APU0000708111,1987,M01,-0.048
APU0000708111,1987,M02,-0.039
APU0000708111,1987,M03,-0.023
APU0000708111,1987,M04,-0.014
APU0000708111,1987,M05,-0.023
APU0000708111,1987,M06,-0.052
APU0000708111,1987,M07,0.052
APU0000708111,1987,M08,-0.033
APU0000708111,1987,M09,0.107
APU0000708111,1987,M10,-0.059
APU0000708111,1987,M11,0.027
APU0000708111,1987,M12,-0.072
APU0000708111,1988,M01,0.027
APU0000708111,1988,M02,-0.042
APU0000708111,1988,M03,0.022
APU0000708111,1988,M04,-0.021
APU0000708111,1988,M05,-0.041
APU0000708111,1988,M06,0.027
APU0000708111,1988,M07,0.098
APU0000708111,1988,M08,0.106
APU0000708111,1988,M09,-0.035
APU0000708111,1988,M10,0.022
APU0000708111,1988,M11,-0.057
APU0000708111,1988,M12,-0.006
APU0000708111,1989,M01,0.108
APU0000708111,1989,M02,-0.051
APU0000708111,1989,M03,0.141
APU0000708111,1989,M04,-0.034
APU0000708111,1989,M05,-0.041
APU0000708111,1989,M06,-0.019
APU0000708111,1989,M07,0.024
APU0000708111,1989,M08,0.022
APU0000708111,1989,M09,0.055
APU0000708111,1989,M10,-0.015
APU0000708111,1989,M11,0.057
APU0000708111,1989,M12,0.057
APU0000708111,1990,M01,0.086
APU0000708111,1990,M02,-0.182
APU0000708111,1990,M03,0.070
APU0000708111,1990,M04,-0.019
APU0000708111,1990,M05,-0.152
APU0000708111,1990,M06,-0.010
APU0000708111,1990,M07,-0.031
APU0000708111,1990,M08,0.055
APU0000708111,1990,M09,-0.008
APU0000708111,1990,M10,0.066
APU0000708111,1990,M11,0.006
APU0000708111,1990,M12,-0.017
APU0000708111,1991,M01,0.105
APU0000708111,1991,M02,-0.119
APU0000708111,1991,M03,0.082
