Series Id,Year,Period,Value
APU000072610,1978,M11,0.046
APU000072610,1978,M12,0.046
APU000072610,1979,M01,0.046
APU000072610,1979,M02,0.047
APU000072610,1979,M03,0.047
APU000072610,1979,M04,0.048
APU000072610,1979,M05,0.049
APU000072610,1979,M06,0.052
APU000072610,1979,M07,0.053
APU000072610,1979,M08,0.053
APU000072610,1979,M09,0.053
APU000072610,1979,M10,0.053
APU000072610,1979,M11,0.051
APU000072610,1979,M12,0.052
APU000072610,1980,M01,0.053
APU000072610,1980,M02,0.055
APU000072610,1980,M03,0.056
APU000072610,1980,M04,0.056
APU000072610,1980,M05,0.058
APU000072610,1980,M06,0.063
APU000072610,1980,M07,0.064
APU000072610,1980,M08,0.064
APU000072610,1980,M09,0.065
APU000072610,1980,M10,0.063
APU000072610,1980,M11,0.061
APU000072610,1980,M12,0.062
APU000072610,1981,M01,0.063
APU000072610,1981,M02,0.064
APU000072610,1981,M03,0.065
APU000072610,1981,M04,0.066
APU000072610,1981,M05,0.067
APU000072610,1981,M06,0.071
APU000072610,1981,M07,0.073
APU000072610,1981,M08,0.075
APU000072610,1981,M09,0.074
APU000072610,1981,M10,0.072
APU000072610,1981,M11,0.071
APU000072610,1981,M12,0.071
APU000072610,1982,M01,0.073
APU000072610,1982,M02,0.073
APU000072610,1982,M03,0.075
APU000072610,1982,M04,0.075
APU000072610,1982,M05,0.075
APU000072610,1982,M06,0.079
APU000072610,1982,M07,0.079
APU000072610,1982,M08,0.079
APU000072610,1982,M09,0.079
APU000072610,1982,M10,0.077
APU000072610,1982,M11,0.074
APU000072610,1982,M12,0.075
APU000072610,1983,M01,0.075
APU000072610,1983,M02,0.075
APU000072610,1983,M03,0.076
APU000072610,1983,M04,0.075
APU000072610,1983,M05,0.077
APU000072610,1983,M06,0.081
APU000072610,1983,M07,0.082
APU000072610,1983,M08,0.082
APU000072610,1983,M09,0.082
APU000072610,1983,M10,0.080
APU000072610,1983,M11,0.077
APU000072610,1983,M12,0.077
APU000072610,1984,M01,0.078
APU000072610,1984,M02,0.079
APU000072610,1984,M03,0.079
APU000072610,1984,M04,0.080
APU000072610,1984,M05,0.081
APU000072610,1984,M06,0.086
APU000072610,1984,M07,0.087
APU000072610,1984,M08,0.089
APU000072610,1984,M09,0.084
APU000072610,1984,M10,0.081
APU000072610,1984,M11,0.079
APU000072610,1984,M12,0.078
APU000072610,1985,M01,0.079
APU000072610,1985,M02,0.079
APU000072610,1985,M03,0.079
APU000072610,1985,M04,0.080
APU000072610,1985,M05,0.080
APU000072610,1985,M06,0.085
APU000072610,1985,M07,0.085
APU000072610,1985,M08,0.085
APU000072610,1985,M10,0.082
APU000072610,1985,M11,0.080
APU000072610,1985,M12,0.080
APU000072610,1986,M01,0.081
APU000072610,1986,M02,0.075
APU000072610,1986,M03,0.075
APU000072610,1986,M04,0.074
APU000072610,1986,M05,0.074
APU000072610,1986,M06,0.080
APU000072610,1986,M07,0.080
APU000072610,1986,M08,0.080
APU000072610,1986,M09,0.080
APU000072610,1986,M10,0.074
APU000072610,1986,M11,0.073
APU000072610,1986,M12,0.073
APU000072610,1987,M01,0.075
APU000072610,1987,M02,0.076
APU000072610,1987,M03,0.076
APU000072610,1987,M04,0.076
APU000072610,1987,M05,0.076
APU000072610,1987,M06,0.084
APU000072610,1987,M07,0.084
APU000072610,1987,M08,0.085
APU000072610,1987,M09,0.084
APU000072610,1987,M10,0.078
APU000072610,1987,M11,0.077
APU000072610,1987,M12,0.077
APU000072610,1988,M01,0.078
APU000072610,1988,M02,0.078
APU000072610,1988,M03,0.078
APU000072610,1988,M04,0.077
APU000072610,1988,M05,0.077
APU000072610,1988,M06,0.084
APU000072610,1988,M07,0.084
APU000072610,1988,M08,0.084
APU000072610,1988,M09,0.084
APU000072610,1988,M10,0.080
APU000072610,1988,M11,0.078
APU000072610,1988,M12,0.078
APU000072610,1989,M01,0.079
APU000072610,1989,M02,0.079
APU000072610,1989,M03,0.079
APU000072610,1989,M04,0.079
APU000072610,1989,M05,0.080
APU000072610,1989,M06,0.086
APU000072610,1989,M07,0.086
APU000072610,1989,M08,0.086
APU000072610,1989,M09,0.086
APU000072610,1989,M10,0.081
