Series Id,Year,Period,Value
APU0000705111,1980,M01,1.678
APU0000705111,1980,M02,1.712
APU0000705111,1980,M03,1.718
APU0000705111,1980,M04,1.687
APU0000705111,1980,M05,1.640
APU0000705111,1980,M06,1.615
APU0000705111,1980,M07,1.600
APU0000705111,1980,M08,1.711
APU0000705111,1980,M09,1.789
APU0000705111,1980,M10,1.825
APU0000705111,1980,M11,1.836
APU0000705111,1980,M12,1.836
APU0000705111,1981,M01,1.818
APU0000705111,1981,M02,1.807
APU0000705111,1981,M03,1.770
APU0000705111,1981,M04,1.740
APU0000705111,1981,M05,1.693
APU0000705111,1981,M06,1.723
APU0000705111,1981,M07,1.743
APU0000705111,1981,M08,1.795
APU0000705111,1981,M09,1.771
APU0000705111,1981,M10,1.782
APU0000705111,1981,M11,1.789
APU0000705111,1981,M12,1.780
APU0000705111,1982,M01,1.755
APU0000705111,1982,M02,1.759
APU0000705111,1982,M03,1.743
APU0000705111,1982,M04,1.751
APU0000705111,1982,M05,1.777
APU0000705111,1982,M06,1.832
APU0000705111,1982,M07,1.861
APU0000705111,1982,M08,1.871
APU0000705111,1982,M09,1.870
APU0000705111,1982,M10,1.883
APU0000705111,1982,M11,1.864
APU0000705111,1982,M12,1.839
APU0000705111,1983,M01,1.844
APU0000705111,1983,M02,1.840
APU0000705111,1983,M03,1.862
APU0000705111,1983,M04,1.837
APU0000705111,1983,M05,1.834
APU0000705111,1983,M06,1.802
APU0000705111,1983,M07,1.808
APU0000705111,1983,M08,1.811
APU0000705111,1983,M09,1.761
APU0000705111,1983,M10,1.771
APU0000705111,1983,M11,1.761
APU0000705111,1983,M12,1.764
APU0000705111,1984,M01,1.765
APU0000705111,1984,M02,1.805
APU0000705111,1984,M03,1.806
APU0000705111,1984,M04,1.784
APU0000705111,1984,M05,1.802
APU0000705111,1984,M06,1.812
APU0000705111,1984,M07,1.798
APU0000705111,1984,M08,1.811
APU0000705111,1984,M09,1.812
APU0000705111,1984,M10,1.815
APU0000705111,1984,M11,1.777
APU0000705111,1984,M12,1.801
APU0000705111,1985,M01,1.811
APU0000705111,1985,M02,1.830
APU0000705111,1985,M03,1.815
APU0000705111,1985,M04,1.803
APU0000705111,1985,M05,1.811
APU0000705111,1985,M06,1.811
APU0000705111,1985,M07,1.772
APU0000705111,1985,M08,1.769
APU0000705111,1985,M09,1.832
APU0000705111,1985,M10,1.859
APU0000705111,1985,M11,1.820
APU0000705111,1985,M12,1.834
APU0000705111,1986,M01,1.910
APU0000705111,1986,M02,1.924
APU0000705111,1986,M03,1.875
APU0000705111,1986,M04,1.847
APU0000705111,1986,M05,1.869
APU0000705111,1986,M06,1.893
APU0000705111,1986,M07,1.909
APU0000705111,1986,M08,1.957
APU0000705111,1986,M09,1.998
APU0000705111,1986,M10,1.986
APU0000705111,1986,M11,1.983
APU0000705111,1986,M12,2.020
APU0000705111,1987,M01,1.981
APU0000705111,1987,M02,1.992
APU0000705111,1987,M03,1.959
APU0000705111,1987,M04,1.980
APU0000705111,1987,M05,1.959
APU0000705111,1987,M06,1.998
APU0000705111,1987,M07,1.906
APU0000705111,1987,M08,2.011
APU0000705111,1987,M09,1.983
APU0000705111,1987,M10,2.037
APU0000705111,1987,M11,2.041
APU0000705111,1987,M12,2.016
APU0000705111,1988,M01,2.017
APU0000705111,1988,M02,2.047
APU0000705111,1988,M03,2.048
APU0000705111,1988,M04,2.009
