Series Id,Year,Period,Value
APU00007471A,1978,M01,0.631
APU00007471A,1978,M02,0.629
APU00007471A,1978,M03,0.629
APU00007471A,1978,M04,0.631
APU00007471A,1978,M05,0.637
APU00007471A,1978,M06,0.645
APU00007471A,1978,M07,0.655
APU00007471A,1978,M08,0.663
APU00007471A,1978,M09,0.669
APU00007471A,1978,M10,0.671
APU00007471A,1978,M11,0.676
APU00007471A,1978,M12,0.685
APU00007471A,1979,M01,0.695
APU00007471A,1979,M02,0.707
APU00007471A,1979,M03,0.733
APU00007471A,1979,M04,0.780
APU00007471A,1979,M05,0.823
APU00007471A,1979,M06,0.880
APU00007471A,1979,M07,0.930
APU00007471A,1979,M08,0.967
APU00007471A,1979,M09,0.998
APU00007471A,1979,M10,1.006
APU00007471A,1979,M11,1.019
APU00007471A,1979,M12,1.042
APU00007471A,1980,M01,1.110
APU00007471A,1980,M02,1.186
APU00007471A,1980,M03,1.230
APU00007471A,1980,M04,1.242
APU00007471A,1980,M05,1.244
APU00007471A,1980,M06,1.246
APU00007471A,1980,M07,1.247
APU00007471A,1980,M08,1.243
APU00007471A,1980,M09,1.231
APU00007471A,1980,M10,1.223
APU00007471A,1980,M11,1.222
APU00007471A,1980,M12,1.231
APU00007471A,1981,M01,1.269
APU00007471A,1981,M02,1.353
APU00007471A,1981,M03,1.388
APU00007471A,1981,M04,1.381
APU00007471A,1981,M05,1.370
APU00007471A,1981,M06,1.362
APU00007471A,1981,M07,1.353
APU00007471A,1981,M08,1.348
APU00007471A,1981,M09,1.358
APU00007471A,1981,M10,1.353
APU00007471A,1981,M11,1.351
APU00007471A,1981,M12,1.348
APU00007471A,1982,M01,1.341
APU00007471A,1982,M02,1.318
APU00007471A,1982,M03,1.268
APU00007471A,1982,M04,1.210
APU00007471A,1982,M05,1.224
APU00007471A,1982,M06,1.296
APU00007471A,1982,M07,1.318
APU00007471A,1982,M08,1.310
APU00007471A,1982,M09,1.292
APU00007471A,1982,M10,1.280
APU00007471A,1982,M11,1.268
APU00007471A,1982,M12,1.244
APU00007471A,1983,M01,1.214
APU00007471A,1983,M02,1.170
APU00007471A,1983,M03,1.135
APU00007471A,1983,M04,1.198
APU00007471A,1983,M05,1.243
APU00007471A,1983,M06,1.261
APU00007471A,1983,M07,1.272
APU00007471A,1983,M08,1.269
APU00007471A,1983,M09,1.257
APU00007471A,1983,M10,1.239
APU00007471A,1983,M11,1.224
APU00007471A,1983,M12,1.215
APU00007471A,1984,M01,1.200
APU00007471A,1984,M02,1.193
APU00007471A,1984,M03,1.194
APU00007471A,1984,M04,1.211
APU00007471A,1984,M05,1.221
APU00007471A,1984,M06,1.214
APU00007471A,1984,M07,1.197
APU00007471A,1984,M08,1.184
APU00007471A,1984,M09,1.189
APU00007471A,1984,M10,1.195
APU00007471A,1984,M11,1.193
APU00007471A,1984,M12,1.179
APU00007471A,1985,M01,1.145
APU00007471A,1985,M02,1.128
APU00007471A,1985,M03,1.155
APU00007471A,1985,M04,1.199
APU00007471A,1985,M05,1.223
APU00007471A,1985,M06,1.233
APU00007471A,1985,M07,1.233
APU00007471A,1985,M08,1.222
APU00007471A,1985,M09,1.209
APU00007471A,1985,M10,1.198
APU00007471A,1985,M11,1.201
APU00007471A,1985,M12,1.203
APU00007471A,1986,M01,1.190
APU00007471A,1986,M02,1.119
APU00007471A,1986,M03,0.983
APU00007471A,1986,M04,0.895
APU00007471A,1986,M05,0.927
APU00007471A,1986,M06,0.958
APU00007471A,1986,M07,0.895
APU00007471A,1986,M08,0.848
APU00007471A,1986,M09,0.864
APU00007471A,1986,M10,0.837
APU00007471A,1986,M11,0.827
APU00007471A,1986,M12,0.830
APU00007471A,1987,M01,0.868
APU00007471A,1987,M02,0.911
APU00007471A,1987,M03,0.918
APU00007471A,1987,M04,0.940
APU00007471A,1987,M05,0.948
APU00007471A,1987,M06,0.966
APU00007471A,1987,M07,0.980
APU00007471A,1987,M08,1.004
APU00007471A,1987,M09,1.000
APU00007471A,1987,M10,0.988
APU00007471A,1987,M11,0.987
APU00007471A,1987,M12,0.975
APU00007471A,1988,M01,0.947
APU00007471A,1988,M02,0.928
APU00007471A,1988,M03,0.920
APU00007471A,1988,M04,0.946
APU00007471A,1988,M05,0.970
APU00007471A,1988,M06,0.971
APU00007471A,1988,M07,0.984
APU00007471A,1988,M08,1.004
APU00007471A,1988,M09,0.992
APU00007471A,1988,M10,0.976
APU00007471A,1988,M11,0.972
APU00007471A,1988,M12,0.953
APU00007471A,1989,M01,0.944
APU00007471A,1989,M02,0.955
APU00007471A,1989,M03,0.974
APU00007471A,1989,M04,1.098
APU00007471A,1989,M05,1.152
APU00007471A,1989,M06,1.150
APU00007471A,1989,M07,1.132
APU00007471A,1989,M08,1.096
APU00007471A,1989,M09,1.073
APU00007471A,1989,M10,1.071
APU00007471A,1989,M11,1.046
APU00007471A,1989,M12,1.030
APU00007471A,1990,M01,1.090
APU00007471A,1990,M02,1.086
APU00007471A,1990,M03,1.076
APU00007471A,1990,M04,1.096
APU00007471A,1990,M05,1.114
APU00007471A,1990,M06,1.140
APU00007471A,1990,M07,1.139
APU00007471A,1990,M08,1.246
APU00007471A,1990,M09,1.347
APU00007471A,1990,M10,1.431
APU00007471A,1990,M11,1.432
APU00007471A,1990,M12,1.410
APU00007471A,1991,M01,1.304
APU00007471A,1991,M02,1.198
APU00007471A,1991,M03,1.138
APU00007471A,1991,M04,1.159
APU00007471A,1991,M05,1.209
APU00007471A,1991,M06,1.214
APU00007471A,1991,M07,1.185
APU00007471A,1991,M08,1.196
APU00007471A,1991,M09,1.199
APU00007471A,1991,M10,1.180
APU00007471A,1991,M11,1.193
APU00007471A,1991,M12,1.182
APU00007471A,1992,M01,1.135
APU00007471A,1992,M02,1.117
APU00007471A,1992,M03,1.122
APU00007471A,1992,M04,1.143
APU00007471A,1992,M05,1.197
APU00007471A,1992,M06,1.239
APU00007471A,1992,M07,1.237
APU00007471A,1992,M08,1.221
APU00007471A,1992,M09,1.222
APU00007471A,1992,M10,1.219
APU00007471A,1992,M11,1.223
APU00007471A,1992,M12,1.201
APU00007471A,1993,M01,1.182
APU00007471A,1993,M02,1.172
APU00007471A,1993,M03,1.163
APU00007471A,1993,M04,1.175
APU00007471A,1993,M05,1.193
APU00007471A,1993,M06,1.194
APU00007471A,1993,M07,1.174
APU00007471A,1993,M08,1.163
APU00007471A,1993,M09,1.151
APU00007471A,1993,M10,1.193
APU00007471A,1993,M11,1.178
APU00007471A,1993,M12,1.136
APU00007471A,1994,M01,1.109
APU00007471A,1994,M02,1.114
APU00007471A,1994,M03,1.109
APU00007471A,1994,M04,1.128
APU00007471A,1994,M05,1.143
APU00007471A,1994,M06,1.169
APU00007471A,1994,M07,1.199
APU00007471A,1994,M08,1.243
APU00007471A,1994,M09,1.237
APU00007471A,1994,M10,1.212
APU00007471A,1994,M11,1.222
APU00007471A,1994,M12,1.203
APU00007471A,1995,M01,1.190
APU00007471A,1995,M02,1.181
APU00007471A,1995,M03,1.173
APU00007471A,1995,M04,1.197
APU00007471A,1995,M05,1.256
APU00007471A,1995,M06,1.281
APU00007471A,1995,M07,1.252
APU00007471A,1995,M08,1.222
APU00007471A,1995,M09,1.206
APU00007471A,1995,M10,1.185
APU00007471A,1995,M11,1.161
APU00007471A,1995,M12,1.160
APU00007471A,1996,M01,1.186
APU00007471A,1996,M02,1.181
APU00007471A,1996,M03,1.219
APU00007471A,1996,M04,1.305
APU00007471A,1996,M05,1.378
APU00007471A,1996,M06,1.354
APU00007471A,1996,M07,1.328
APU00007471A,1996,M08,1.298
APU00007471A,1996,M09,1.293
APU00007471A,1996,M10,1.287
APU00007471A,1996,M11,1.308
APU00007471A,1996,M12,1.318
APU00007471A,1997,M01,1.318
APU00007471A,1997,M02,1.312
APU00007471A,1997,M03,1.293
APU00007471A,1997,M04,1.288
APU00007471A,1997,M05,1.284
APU00007471A,1997,M06,1.286
APU00007471A,1997,M07,1.263
APU00007471A,1997,M08,1.310
APU00007471A,1997,M09,1.334
APU00007471A,1997,M10,1.300
APU00007471A,1997,M11,1.271
APU00007471A,1997,M12,1.236
APU00007471A,1998,M01,1.186
APU00007471A,1998,M02,1.137
APU00007471A,1998,M03,1.097
APU00007471A,1998,M04,1.106
APU00007471A,1998,M05,1.146
APU00007471A,1998,M06,1.148
APU00007471A,1998,M07,1.134
APU00007471A,1998,M08,1.108
APU00007471A,1998,M09,1.091
APU00007471A,1998,M10,1.099
APU00007471A,1998,M11,1.086
APU00007471A,1998,M12,1.046
APU00007471A,1999,M01,1.031
APU00007471A,1999,M02,1.014
APU00007471A,1999,M03,1.048
APU00007471A,1999,M04,1.232
APU00007471A,1999,M05,1.233
APU00007471A,1999,M06,1.204
APU00007471A,1999,M07,1.244
APU00007471A,1999,M08,1.309
APU00007471A,1999,M09,1.334
APU00007471A,1999,M10,1.329
APU00007471A,1999,M11,1.319
APU00007471A,1999,M12,1.353
APU00007471A,2000,M01,1.356
APU00007471A,2000,M02,1.422
APU00007471A,2000,M03,1.594
APU00007471A,2000,M04,1.561
APU00007471A,2000,M05,1.552
APU00007471A,2000,M06,1.666
APU00007471A,2000,M07,1.642
APU00007471A,2000,M08,1.559
APU00007471A,2000,M09,1.635
APU00007471A,2000,M10,1.613
APU00007471A,2000,M11,1.608
APU00007471A,2000,M12,1.544
APU00007471A,2001,M01,1.525
APU00007471A,2001,M02,1.538
APU00007471A,2001,M03,1.503
APU00007471A,2001,M04,1.617
APU00007471A,2001,M05,1.812
