Series Id,Year,Period,Value
APU0000711411,1980,M01,0.327
APU0000711411,1980,M02,0.309
APU0000711411,1980,M03,0.296
APU0000711411,1980,M04,0.307
APU0000711411,1980,M05,0.313
APU0000711411,1980,M06,0.339
APU0000711411,1980,M07,0.377
APU0000711411,1980,M08,0.415
APU0000711411,1980,M09,0.440
APU0000711411,1980,M10,0.440
APU0000711411,1980,M11,0.354
APU0000711411,1980,M12,0.330
APU0000711411,1981,M01,0.323
APU0000711411,1981,M02,0.351
APU0000711411,1981,M03,0.350
APU0000711411,1981,M04,0.357
APU0000711411,1981,M05,0.369
APU0000711411,1981,M06,0.405
APU0000711411,1981,M07,0.468
APU0000711411,1981,M08,0.488
APU0000711411,1981,M09,0.517
APU0000711411,1981,M10,0.428
APU0000711411,1981,M11,0.352
APU0000711411,1981,M12,0.333
APU0000711411,1982,M01,0.337
APU0000711411,1982,M02,0.373
APU0000711411,1982,M03,0.352
APU0000711411,1982,M04,0.331
APU0000711411,1982,M05,0.339
APU0000711411,1982,M06,0.362
APU0000711411,1982,M07,0.396
APU0000711411,1982,M08,0.411
APU0000711411,1982,M09,0.383
APU0000711411,1982,M10,0.344
APU0000711411,1982,M11,0.307
APU0000711411,1982,M12,0.310
APU0000711411,1983,M01,0.303
APU0000711411,1983,M02,0.296
APU0000711411,1983,M03,0.303
APU0000711411,1983,M04,0.295
APU0000711411,1983,M05,0.307
APU0000711411,1983,M06,0.372
APU0000711411,1983,M07,0.438
APU0000711411,1983,M08,0.483
APU0000711411,1983,M09,0.469
APU0000711411,1983,M10,0.458
APU0000711411,1983,M11,0.347
APU0000711411,1983,M12,0.311
APU0000711411,1984,M01,0.350
APU0000711411,1984,M02,0.349
APU0000711411,1984,M03,0.342
APU0000711411,1984,M04,0.358
APU0000711411,1984,M05,0.363
APU0000711411,1984,M06,0.413
APU0000711411,1984,M07,0.426
APU0000711411,1984,M08,0.455
APU0000711411,1984,M09,0.478
APU0000711411,1984,M10,0.443
APU0000711411,1984,M11,0.405
APU0000711411,1984,M12,0.395
APU0000711411,1985,M01,0.408
APU0000711411,1985,M02,0.449
APU0000711411,1985,M03,0.425
APU0000711411,1985,M04,0.407
APU0000711411,1985,M05,0.429
APU0000711411,1985,M06,0.514
APU0000711411,1985,M07,0.542
APU0000711411,1985,M08,0.542
APU0000711411,1985,M09,0.552
APU0000711411,1985,M10,0.513
APU0000711411,1985,M11,0.429
APU0000711411,1985,M12,0.431
APU0000711411,1986,M01,0.427
APU0000711411,1986,M02,0.423
APU0000711411,1986,M03,0.419
APU0000711411,1986,M04,0.433
APU0000711411,1986,M05,0.434
APU0000711411,1986,M06,0.496
APU0000711411,1986,M07,0.566
APU0000711411,1986,M08,0.604
APU0000711411,1986,M09,0.632
APU0000711411,1986,M10,0.647
APU0000711411,1986,M11,0.535
APU0000711411,1986,M12,0.488
APU0000711411,1987,M01,0.423
APU0000711411,1987,M02,0.417
APU0000711411,1987,M03,0.421
APU0000711411,1987,M04,0.426
APU0000711411,1987,M05,0.460
APU0000711411,1987,M06,0.517
APU0000711411,1987,M07,0.593
APU0000711411,1987,M08,0.613
APU0000711411,1987,M09,0.634
APU0000711411,1987,M10,0.690
APU0000711411,1987,M11,0.528
APU0000711411,1987,M12,0.497
APU0000711411,1988,M01,0.447
APU0000711411,1988,M02,0.448
APU0000711411,1988,M03,0.440
APU0000711411,1988,M04,0.441
APU0000711411,1988,M05,0.438
APU0000711411,1988,M06,0.469
APU0000711411,1988,M07,0.570
APU0000711411,1988,M08,0.640
APU0000711411,1988,M09,0.691
APU0000711411,1988,M10,0.664
APU0000711411,1988,M11,0.520
APU0000711411,1988,M12,0.446
APU0000711411,1989,M01,0.443
APU0000711411,1989,M02,0.423
APU0000711411,1989,M03,0.411
APU0000711411,1989,M04,0.417
APU0000711411,1989,M05,0.467
APU0000711411,1989,M06,0.520
APU0000711411,1989,M07,0.587
APU0000711411,1989,M08,0.664
APU0000711411,1989,M09,0.728
APU0000711411,1989,M10,0.638
APU0000711411,1989,M11,0.532
APU0000711411,1989,M12,0.473
APU0000711411,1990,M01,0.532
APU0000711411,1990,M02,0.579
APU0000711411,1990,M03,0.626
APU0000711411,1990,M04,0.690
APU0000711411,1990,M05,0.737
APU0000711411,1990,M06,0.778
APU0000711411,1990,M07,0.828
APU0000711411,1990,M08,0.755
APU0000711411,1990,M09,0.664
APU0000711411,1990,M10,0.575
APU0000711411,1990,M11,0.551
APU0000711411,1990,M12,0.564
APU0000711411,1991,M01,0.611
APU0000711411,1991,M02,0.595
APU0000711411,1991,M03,0.603
APU0000711411,1991,M04,0.615
APU0000711411,1991,M05,0.625
APU0000711411,1991,M06,0.686
APU0000711411,1991,M07,0.695
APU0000711411,1991,M08,0.676
APU0000711411,1991,M09,0.662
APU0000711411,1991,M10,0.580
APU0000711411,1991,M11,0.544
APU0000711411,1991,M12,0.529
APU0000711411,1992,M01,0.520
APU0000711411,1992,M02,0.513
APU0000711411,1992,M03,0.524
APU0000711411,1992,M04,0.552
APU0000711411,1992,M05,0.625
APU0000711411,1992,M06,0.648
APU0000711411,1992,M07,0.671
APU0000711411,1992,M08,0.701
APU0000711411,1992,M09,0.731
APU0000711411,1992,M10,0.731
APU0000711411,1992,M11,0.549
APU0000711411,1992,M12,0.524
APU0000711411,1993,M01,0.518
APU0000711411,1993,M02,0.505
APU0000711411,1993,M03,0.495
APU0000711411,1993,M04,0.468
APU0000711411,1993,M05,0.447
APU0000711411,1993,M06,0.475
APU0000711411,1993,M07,0.529
APU0000711411,1993,M08,0.611
APU0000711411,1993,M09,0.628
APU0000711411,1993,M10,0.629
APU0000711411,1993,M11,0.544
APU0000711411,1993,M12,0.499
APU0000711411,1994,M01,0.473
APU0000711411,1994,M02,0.462
APU0000711411,1994,M03,0.470
APU0000711411,1994,M04,0.452
APU0000711411,1994,M05,0.461
APU0000711411,1994,M06,0.479
APU0000711411,1994,M07,0.552
APU0000711411,1994,M08,0.609
APU0000711411,1994,M09,0.647
APU0000711411,1994,M10,0.586
APU0000711411,1994,M11,0.488
APU0000711411,1994,M12,0.473
APU0000711411,1995,M01,0.450
APU0000711411,1995,M02,0.448
APU0000711411,1995,M03,0.443
APU0000711411,1995,M04,0.458
APU0000711411,1995,M05,0.476
APU0000711411,1995,M06,0.578
APU0000711411,1995,M07,0.629
APU0000711411,1995,M08,0.677
APU0000711411,1995,M09,0.709
APU0000711411,1995,M10,0.654
APU0000711411,1995,M11,0.561
APU0000711411,1995,M12,0.490
APU0000711411,1996,M01,0.463
APU0000711411,1996,M02,0.460
APU0000711411,1996,M03,0.464
APU0000711411,1996,M04,0.468
APU0000711411,1996,M05,0.493
APU0000711411,1996,M06,0.592
APU0000711411,1996,M07,0.648
APU0000711411,1996,M08,0.670
APU0000711411,1996,M09,0.775
APU0000711411,1996,M10,0.716
APU0000711411,1996,M11,0.587
APU0000711411,1996,M12,0.550
APU0000711411,1997,M01,0.515
APU0000711411,1997,M02,0.489
APU0000711411,1997,M03,0.496
APU0000711411,1997,M04,0.512
APU0000711411,1997,M05,0.518
APU0000711411,1997,M06,0.520
APU0000711411,1997,M07,0.592
APU0000711411,1997,M08,0.646
APU0000711411,1997,M09,0.681
