Series Id,Year,Period,Value
APU0000711417,1980,M07,1.241
APU0000711417,1980,M08,1.163
APU0000711417,1980,M09,0.932
APU0000711417,1980,M10,0.919
APU0000711417,1981,M07,1.374
APU0000711417,1981,M08,1.007
APU0000711417,1981,M09,1.048
APU0000711417,1982,M07,1.216
APU0000711417,1982,M08,1.023
APU0000711417,1982,M09,0.854
APU0000711417,1982,M10,0.962
APU0000711417,1983,M07,1.231
APU0000711417,1983,M08,0.956
APU0000711417,1983,M09,0.906
APU0000711417,1983,M10,1.189
APU0000711417,1984,M07,1.284
APU0000711417,1984,M08,0.908
APU0000711417,1984,M09,1.023
APU0000711417,1984,M10,1.186
APU0000711417,1985,M07,1.117
APU0000711417,1985,M08,0.899
APU0000711417,1985,M09,0.829
APU0000711417,1985,M10,0.935
APU0000711417,1986,M06,1.303
APU0000711417,1986,M07,1.135
APU0000711417,1986,M08,0.997
APU0000711417,1986,M09,0.984
APU0000711417,1986,M10,1.158
APU0000711417,1986,M11,1.263
APU0000711417,1987,M02,1.609
APU0000711417,1987,M03,1.155
APU0000711417,1987,M04,1.314
APU0000711417,1987,M07,0.992
APU0000711417,1987,M08,0.861
APU0000711417,1987,M09,0.971
APU0000711417,1987,M10,1.168
APU0000711417,1987,M11,1.311
APU0000711417,1988,M02,1.297
APU0000711417,1988,M03,1.116
APU0000711417,1988,M04,1.409
APU0000711417,1988,M07,1.383
APU0000711417,1988,M08,1.065
APU0000711417,1988,M09,0.917
APU0000711417,1988,M10,1.003
APU0000711417,1988,M11,1.117
APU0000711417,1989,M02,1.381
APU0000711417,1989,M04,1.144
APU0000711417,1989,M05,1.337
APU0000711417,1989,M06,1.272
APU0000711417,1989,M07,1.121
APU0000711417,1989,M08,0.958
APU0000711417,1989,M09,0.970
APU0000711417,1989,M10,1.166
APU0000711417,1989,M11,1.494
APU0000711417,1990,M02,1.380
APU0000711417,1990,M03,1.144
APU0000711417,1990,M04,1.108
APU0000711417,1990,M05,1.455
APU0000711417,1990,M06,1.369
APU0000711417,1990,M07,1.238
APU0000711417,1990,M08,0.993
APU0000711417,1990,M09,1.064
APU0000711417,1990,M10,1.266
APU0000711417,1990,M11,1.544
APU0000711417,1991,M01,1.942
APU0000711417,1991,M02,1.483
APU0000711417,1991,M03,1.432
APU0000711417,1991,M04,1.502
APU0000711417,1991,M07,1.376
APU0000711417,1991,M08,1.073
APU0000711417,1991,M09,1.019
APU0000711417,1991,M10,1.110
APU0000711417,1991,M11,1.406
APU0000711417,1991,M12,1.653
APU0000711417,1992,M01,1.782
APU0000711417,1992,M02,1.323
APU0000711417,1992,M03,1.302
APU0000711417,1992,M04,1.409
APU0000711417,1992,M06,1.370
APU0000711417,1992,M07,1.014
APU0000711417,1992,M08,0.928
APU0000711417,1992,M09,0.992
APU0000711417,1992,M10,1.162
APU0000711417,1992,M11,1.595
APU0000711417,1993,M01,1.831
APU0000711417,1993,M02,1.480
APU0000711417,1993,M03,1.330
APU0000711417,1993,M04,1.467
APU0000711417,1993,M06,1.406
APU0000711417,1993,M07,1.338
APU0000711417,1993,M08,1.210
