Series Id,Year,Period,Value
APU0000710411,1980,M01,1.755
APU0000710411,1980,M02,1.775
APU0000710411,1980,M03,1.718
APU0000710411,1980,M04,1.769
APU0000710411,1980,M05,1.822
APU0000710411,1980,M06,1.832
APU0000710411,1980,M07,1.831
APU0000710411,1980,M08,1.873
APU0000710411,1980,M09,1.825
APU0000710411,1980,M10,1.879
APU0000710411,1980,M11,1.878
APU0000710411,1980,M12,1.920
APU0000710411,1981,M01,1.938
APU0000710411,1981,M02,2.019
APU0000710411,1981,M03,1.992
APU0000710411,1981,M04,2.024
APU0000710411,1981,M05,2.008
APU0000710411,1981,M06,2.006
APU0000710411,1981,M07,2.024
APU0000710411,1981,M08,2.014
APU0000710411,1981,M09,2.042
APU0000710411,1981,M10,2.032
APU0000710411,1981,M11,2.028
APU0000710411,1981,M12,2.064
APU0000710411,1982,M01,2.128
APU0000710411,1982,M02,2.075
APU0000710411,1982,M03,2.061
APU0000710411,1982,M04,2.089
APU0000710411,1982,M05,2.043
APU0000710411,1982,M06,2.060
APU0000710411,1982,M07,2.092
APU0000710411,1982,M08,2.095
APU0000710411,1982,M09,2.105
APU0000710411,1982,M10,2.136
APU0000710411,1982,M11,2.187
APU0000710411,1982,M12,2.163
APU0000710411,1983,M01,2.179
APU0000710411,1983,M02,2.139
APU0000710411,1983,M03,2.091
APU0000710411,1983,M04,2.107
APU0000710411,1983,M05,2.140
APU0000710411,1983,M06,2.141
APU0000710411,1983,M07,2.122
APU0000710411,1983,M08,2.135
APU0000710411,1983,M09,2.193
APU0000710411,1983,M10,2.249
APU0000710411,1983,M11,2.214
APU0000710411,1983,M12,2.184
APU0000710411,1984,M01,2.189
APU0000710411,1984,M02,2.191
APU0000710411,1984,M03,2.171
APU0000710411,1984,M04,2.210
APU0000710411,1984,M05,2.203
APU0000710411,1984,M06,2.193
APU0000710411,1984,M07,2.212
APU0000710411,1984,M08,2.232
APU0000710411,1984,M09,2.301
APU0000710411,1984,M10,2.259
APU0000710411,1984,M11,2.223
APU0000710411,1984,M12,2.231
APU0000710411,1985,M01,2.284
APU0000710411,1985,M02,2.291
APU0000710411,1985,M03,2.290
APU0000710411,1985,M04,2.291
APU0000710411,1985,M05,2.312
APU0000710411,1985,M06,2.276
APU0000710411,1985,M07,2.293
APU0000710411,1985,M08,2.273
APU0000710411,1985,M09,2.345
APU0000710411,1985,M10,2.347
APU0000710411,1985,M11,2.290
APU0000710411,1985,M12,2.294
APU0000710411,1986,M01,2.317
APU0000710411,1986,M02,2.346
APU0000710411,1986,M03,2.331
APU0000710411,1986,M04,2.382
APU0000710411,1986,M05,2.368
APU0000710411,1986,M06,2.325
APU0000710411,1986,M07,2.369
APU0000710411,1986,M08,2.319
APU0000710411,1986,M09,2.360
APU0000710411,1986,M10,2.377
APU0000710411,1986,M11,2.397
APU0000710411,1986,M12,2.405
APU0000710411,1987,M02,2.468
APU0000710411,1987,M03,2.447
APU0000710411,1987,M04,2.438
APU0000710411,1987,M05,2.481
APU0000710411,1987,M06,2.428
APU0000710411,1987,M07,2.467
APU0000710411,1987,M08,2.482
APU0000710411,1987,M09,2.470
APU0000710411,1987,M10,2.492
APU0000710411,1987,M11,2.449
APU0000710411,1987,M12,2.438
APU0000710411,1988,M01,2.495
APU0000710411,1988,M02,2.475
APU0000710411,1988,M03,2.406
APU0000710411,1988,M04,2.430
APU0000710411,1988,M05,2.457
APU0000710411,1988,M06,2.432
APU0000710411,1988,M07,2.443
APU0000710411,1988,M08,2.442
APU0000710411,1988,M09,2.446
APU0000710411,1988,M10,2.489
APU0000710411,1988,M11,2.471
APU0000710411,1988,M12,2.536
APU0000710411,1989,M01,2.547
APU0000710411,1989,M02,2.560
APU0000710411,1989,M03,2.595
APU0000710411,1989,M04,2.607
APU0000710411,1989,M05,2.591
APU0000710411,1989,M06,2.589
APU0000710411,1989,M07,2.566
APU0000710411,1989,M08,2.614
APU0000710411,1989,M09,2.595
APU0000710411,1989,M10,2.639
APU0000710411,1989,M11,2.629
APU0000710411,1989,M12,2.667
APU0000710411,1990,M01,2.719
APU0000710411,1990,M02,2.656
APU0000710411,1990,M03,2.569
APU0000710411,1990,M04,2.589
APU0000710411,1990,M05,2.585
APU0000710411,1990,M06,2.586
APU0000710411,1990,M07,2.576
APU0000710411,1990,M08,2.634
APU0000710411,1990,M09,2.614
APU0000710411,1990,M10,2.613
APU0000710411,1990,M11,2.574
APU0000710411,1990,M12,2.540
APU0000710411,1991,M01,2.546
APU0000710411,1991,M02,2.522
APU0000710411,1991,M03,2.561
APU0000710411,1991,M04,2.521
APU0000710411,1991,M05,2.561
APU0000710411,1991,M06,2.585
APU0000710411,1991,M07,2.592
APU0000710411,1991,M08,2.605
APU0000710411,1991,M09,2.621
APU0000710411,1991,M10,2.594
APU0000710411,1991,M11,2.588
APU0000710411,1991,M12,2.632
APU0000710411,1992,M01,2.631
APU0000710411,1992,M02,2.638
APU0000710411,1992,M03,2.546
APU0000710411,1992,M04,2.628
APU0000710411,1992,M05,2.577
APU0000710411,1992,M06,2.599
APU0000710411,1992,M07,2.562
APU0000710411,1992,M08,2.615
APU0000710411,1992,M09,2.583
APU0000710411,1992,M10,2.603
APU0000710411,1992,M11,2.531
APU0000710411,1992,M12,2.489
APU0000710411,1993,M01,2.567
APU0000710411,1993,M02,2.551
APU0000710411,1993,M03,2.563
APU0000710411,1993,M04,2.509
APU0000710411,1993,M05,2.411
APU0000710411,1993,M06,2.528
APU0000710411,1993,M07,2.432
APU0000710411,1993,M08,2.548
APU0000710411,1993,M09,2.497
APU0000710411,1993,M10,2.610
APU0000710411,1993,M11,2.596
APU0000710411,1993,M12,2.591
APU0000710411,1994,M01,2.532
APU0000710411,1994,M02,2.515
APU0000710411,1994,M03,2.581
APU0000710411,1994,M04,2.636
APU0000710411,1994,M05,2.638
APU0000710411,1994,M06,2.624
APU0000710411,1994,M07,2.665
APU0000710411,1994,M08,2.646
APU0000710411,1994,M09,2.663
APU0000710411,1994,M10,2.709
APU0000710411,1994,M11,2.683
APU0000710411,1994,M12,2.617
APU0000710411,1995,M01,2.659
APU0000710411,1995,M02,2.550
APU0000710411,1995,M03,2.686
APU0000710411,1995,M04,2.629
APU0000710411,1995,M05,2.634
APU0000710411,1995,M06,2.649
APU0000710411,1995,M07,2.665
APU0000710411,1995,M08,2.667
APU0000710411,1995,M09,2.683
APU0000710411,1995,M10,2.735
APU0000710411,1995,M11,2.610
APU0000710411,1995,M12,2.675
APU0000710411,1996,M01,2.665
APU0000710411,1996,M02,2.673
APU0000710411,1996,M03,2.752
APU0000710411,1996,M04,2.728
APU0000710411,1996,M05,2.825
APU0000710411,1996,M06,2.827
APU0000710411,1996,M07,2.851
APU0000710411,1996,M08,2.966
APU0000710411,1996,M09,3.041
APU0000710411,1996,M10,3.077
APU0000710411,1996,M11,2.978
APU0000710411,1996,M12,2.940
APU0000710411,1997,M01,2.947
APU0000710411,1997,M02,2.928
APU0000710411,1997,M03,2.920
APU0000710411,1997,M04,2.903
APU0000710411,1997,M05,2.876
APU0000710411,1997,M06,2.877
APU0000710411,1997,M07,2.844
APU0000710411,1997,M08,2.927
APU0000710411,1997,M09,2.895
APU0000710411,1997,M10,2.925
APU0000710411,1997,M11,2.928
APU0000710411,1997,M12,3.022
APU0000710411,1998,M01,3.041
APU0000710411,1998,M02,2.996
APU0000710411,1998,M03,2.969
APU0000710411,1998,M04,3.060
APU0000710411,1998,M05,2.995
APU0000710411,1998,M06,3.051
APU0000710411,1998,M07,3.133
APU0000710411,1998,M08,3.147
APU0000710411,1998,M09,3.184
APU0000710411,1998,M10,3.272
APU0000710411,1998,M11,3.373
APU0000710411,1998,M12,3.301
APU0000710411,1999,M01,3.379
APU0000710411,1999,M02,3.291
APU0000710411,1999,M03,3.231
APU0000710411,1999,M04,3.266
APU0000710411,1999,M05,3.195
APU0000710411,1999,M06,3.306
APU0000710411,1999,M07,3.238
APU0000710411,1999,M08,3.250
APU0000710411,1999,M09,3.280
APU0000710411,1999,M10,3.380
APU0000710411,1999,M11,3.336
APU0000710411,1999,M12,3.404
APU0000710411,2000,M01,3.324
APU0000710411,2000,M02,3.340
APU0000710411,2000,M03,3.275
APU0000710411,2000,M04,3.338
APU0000710411,2000,M05,3.347
APU0000710411,2000,M06,3.546
APU0000710411,2000,M07,3.461
APU0000710411,2000,M08,3.542
APU0000710411,2000,M09,3.586
APU0000710411,2000,M10,3.620
APU0000710411,2000,M11,3.320
APU0000710411,2000,M12,3.660
APU0000710411,2001,M01,3.673
APU0000710411,2001,M02,3.609
APU0000710411,2001,M03,3.660
APU0000710411,2001,M04,3.651
APU0000710411,2001,M05,3.633
APU0000710411,2001,M06,3.703
APU0000710411,2001,M07,3.720
APU0000710411,2001,M08,3.841
APU0000710411,2001,M09,3.815
APU0000710411,2001,M10,3.824
APU0000710411,2001,M11,3.463
APU0000710411,2001,M12,3.836
APU0000710411,2002,M01,3.425
APU0000710411,2002,M02,3.810
APU0000710411,2002,M03,3.819
APU0000710411,2002,M04,3.723
APU0000710411,2002,M05,3.800
APU0000710411,2002,M06,3.752
APU0000710411,2002,M07,3.883
APU0000710411,2002,M08,3.783
APU0000710411,2002,M09,3.896
APU0000710411,2002,M10,3.336
APU0000710411,2002,M11,3.816
APU0000710411,2002,M12,3.757
APU0000710411,2003,M01,3.752
APU0000710411,2003,M02,3.788
APU0000710411,2003,M03,3.852
APU0000710411,2003,M04,3.296
APU0000710411,2003,M05,3.739
APU0000710411,2003,M06,3.806
APU0000710411,2003,M07,3.965
APU0000710411,2003,M08,3.976
APU0000710411,2003,M09,3.892
APU0000710411,2003,M10,3.878
APU0000710411,2003,M11,3.858
APU0000710411,2003,M12,3.898
APU0000710411,2004,M01,3.692
APU0000710411,2004,M02,3.808
APU0000710411,2004,M03,3.648
APU0000710411,2004,M04,3.815
APU0000710411,2004,M05,3.744
APU0000710411,2004,M06,3.877
APU0000710411,2004,M07,4.026
APU0000710411,2004,M08,4.051
APU0000710411,2004,M09,3.968
APU0000710411,2004,M10,3.790
APU0000710411,2004,M11,3.777
APU0000710411,2004,M12,3.849
APU0000710411,2005,M01,3.873
APU0000710411,2005,M02,3.790
APU0000710411,2005,M03,3.654
APU0000710411,2005,M04,3.772
APU0000710411,2005,M05,3.948
APU0000710411,2005,M06,3.619
APU0000710411,2005,M07,3.773
APU0000710411,2005,M08,3.796
APU0000710411,2005,M09,3.784
APU0000710411,2005,M10,3.705
APU0000710411,2005,M11,3.514
APU0000710411,2005,M12,3.691
APU0000710411,2006,M01,3.703
APU0000710411,2006,M02,3.766
APU0000710411,2006,M03,3.782
APU0000710411,2006,M04,3.622
APU0000710411,2006,M05,3.674
APU0000710411,2006,M06,3.861
APU0000710411,2006,M07,3.627
APU0000710411,2006,M08,3.602
APU0000710411,2006,M09,3.717
APU0000710411,2006,M10,3.855
APU0000710411,2006,M11,3.875
APU0000710411,2006,M12,3.901
APU0000710411,2007,M01,4.032
APU0000710411,2007,M02,4.019
APU0000710411,2007,M03,3.969
APU0000710411,2007,M04,3.794
APU0000710411,2007,M05,3.876
APU0000710411,2007,M06,3.879
APU0000710411,2007,M07,3.825
APU0000710411,2007,M08,3.895
APU0000710411,2007,M09,3.897
APU0000710411,2007,M10,3.942
APU0000710411,2007,M11,4.225
APU0000710411,2007,M12,4.081
APU0000710411,2008,M01,4.140
APU0000710411,2008,M02,4.041
APU0000710411,2008,M03,4.095
APU0000710411,2008,M04,4.204
APU0000710411,2008,M05,4.076
APU0000710411,2008,M06,4.068
APU0000710411,2008,M07,4.169
APU0000710411,2008,M08,4.249
APU0000710411,2008,M09,4.418
APU0000710411,2008,M10,4.401
APU0000710411,2008,M11,4.397
APU0000710411,2008,M12,4.281
APU0000710411,2009,M01,4.441
APU0000710411,2009,M02,4.349
APU0000710411,2009,M03,4.165
APU0000710411,2009,M04,4.368
APU0000710411,2009,M05,4.282
APU0000710411,2009,M06,4.250
APU0000710411,2009,M07,4.193
APU0000710411,2009,M08,4.279
APU0000710411,2009,M09,4.244
APU0000710411,2009,M10,4.623
APU0000710411,2009,M11,4.431
APU0000710411,2009,M12,4.234
APU0000710411,2010,M01,4.483
APU0000710411,2010,M02,4.388
APU0000710411,2010,M03,4.313
APU0000710411,2010,M04,4.445
APU0000710411,2010,M05,4.563
APU0000710411,2010,M06,4.528
APU0000710411,2010,M07,4.432
APU0000710411,2010,M08,4.421
APU0000710411,2010,M09,4.325
APU0000710411,2010,M10,4.602
APU0000710411,2010,M11,4.490
APU0000710411,2010,M12,4.584
APU0000710411,2011,M01,4.740
