Series Id,Year,Period,Value
APU0000713111,1980,M01,1.243
APU0000713111,1980,M02,1.271
APU0000713111,1980,M03,1.201
APU0000713111,1980,M04,1.199
APU0000713111,1980,M05,1.162
APU0000713111,1980,M06,1.190
APU0000713111,1980,M07,1.153
APU0000713111,1980,M08,1.158
APU0000713111,1980,M09,1.170
APU0000713111,1980,M10,1.134
APU0000713111,1980,M11,1.147
APU0000713111,1980,M12,1.122
APU0000713111,1981,M01,1.141
APU0000713111,1981,M02,1.241
APU0000713111,1981,M03,1.332
APU0000713111,1981,M04,1.416
APU0000713111,1981,M05,1.430
APU0000713111,1981,M06,1.455
APU0000713111,1981,M07,1.428
APU0000713111,1981,M08,1.457
APU0000713111,1981,M09,1.443
APU0000713111,1981,M10,1.470
APU0000713111,1981,M11,1.459
APU0000713111,1981,M12,1.413
APU0000713111,1982,M01,1.465
APU0000713111,1982,M02,1.537
APU0000713111,1982,M03,1.552
APU0000713111,1982,M04,1.511
APU0000713111,1982,M05,1.489
APU0000713111,1982,M06,1.483
APU0000713111,1982,M07,1.442
APU0000713111,1982,M08,1.454
APU0000713111,1982,M09,1.429
APU0000713111,1982,M10,1.435
APU0000713111,1982,M11,1.434
APU0000713111,1982,M12,1.410
APU0000713111,1983,M01,1.418
APU0000713111,1983,M02,1.390
APU0000713111,1983,M03,1.396
APU0000713111,1983,M04,1.387
APU0000713111,1983,M05,1.360
APU0000713111,1983,M06,1.343
APU0000713111,1983,M07,1.339
APU0000713111,1983,M08,1.367
APU0000713111,1983,M09,1.352
APU0000713111,1983,M10,1.370
APU0000713111,1983,M11,1.379
APU0000713111,1983,M12,1.379
APU0000713111,1984,M01,1.408
APU0000713111,1984,M02,1.521
APU0000713111,1984,M03,1.565
APU0000713111,1984,M04,1.630
APU0000713111,1984,M05,1.670
APU0000713111,1984,M06,1.660
APU0000713111,1984,M07,1.664
APU0000713111,1984,M08,1.687
APU0000713111,1984,M09,1.651
APU0000713111,1984,M10,1.674
APU0000713111,1984,M11,1.664
APU0000713111,1984,M12,1.646
APU0000713111,1985,M01,1.685
APU0000713111,1985,M02,1.694
APU0000713111,1985,M03,1.732
APU0000713111,1985,M04,1.751
APU0000713111,1985,M05,1.771
APU0000713111,1985,M06,1.751
APU0000713111,1985,M07,1.758
APU0000713111,1985,M08,1.778
APU0000713111,1985,M09,1.766
APU0000713111,1985,M10,1.766
APU0000713111,1985,M11,1.773
APU0000713111,1985,M12,1.818
APU0000713111,1986,M01,1.756
APU0000713111,1986,M02,1.651
APU0000713111,1986,M03,1.635
APU0000713111,1986,M04,1.579
APU0000713111,1986,M05,1.535
APU0000713111,1986,M06,1.501
APU0000713111,1986,M07,1.488
APU0000713111,1986,M08,1.493
APU0000713111,1986,M09,1.458
APU0000713111,1986,M10,1.449
APU0000713111,1986,M11,1.482
APU0000713111,1986,M12,1.467
APU0000713111,1987,M01,1.512
APU0000713111,1987,M02,1.499
APU0000713111,1987,M03,1.476
APU0000713111,1987,M04,1.490
APU0000713111,1987,M05,1.550
