Series Id,Year,Period,Value
APU0000711412,1980,M01,0.679
APU0000711412,1980,M02,0.584
APU0000711412,1980,M03,0.586
APU0000711412,1980,M04,0.603
APU0000711412,1980,M05,0.595
APU0000711412,1980,M06,0.653
APU0000711412,1980,M07,0.707
APU0000711412,1980,M08,0.860
APU0000711412,1980,M09,0.839
APU0000711412,1980,M10,0.796
APU0000711412,1980,M11,0.793
APU0000711412,1980,M12,0.729
APU0000711412,1981,M01,0.647
APU0000711412,1981,M02,0.626
APU0000711412,1981,M03,0.597
APU0000711412,1981,M04,0.609
APU0000711412,1981,M05,0.589
APU0000711412,1981,M06,0.634
APU0000711412,1981,M07,0.730
APU0000711412,1981,M08,0.861
APU0000711412,1981,M09,0.866
APU0000711412,1981,M10,0.835
APU0000711412,1981,M11,0.719
APU0000711412,1981,M12,0.681
APU0000711412,1982,M01,0.677
APU0000711412,1982,M02,0.651
APU0000711412,1982,M03,0.620
APU0000711412,1982,M04,0.666
APU0000711412,1982,M05,0.733
APU0000711412,1982,M06,0.846
APU0000711412,1982,M07,0.883
APU0000711412,1982,M08,0.893
APU0000711412,1982,M09,0.880
APU0000711412,1982,M10,0.858
APU0000711412,1982,M11,0.785
APU0000711412,1982,M12,0.754
APU0000711412,1983,M01,0.682
APU0000711412,1983,M02,0.636
APU0000711412,1983,M03,0.623
APU0000711412,1983,M04,0.656
APU0000711412,1983,M05,0.630
APU0000711412,1983,M06,0.690
APU0000711412,1983,M07,0.852
APU0000711412,1983,M08,0.890
APU0000711412,1983,M09,0.895
APU0000711412,1983,M10,0.890
APU0000711412,1983,M11,0.791
APU0000711412,1983,M12,0.738
APU0000711412,1984,M01,0.676
APU0000711412,1984,M02,0.636
APU0000711412,1984,M03,0.634
APU0000711412,1984,M04,0.690
APU0000711412,1984,M05,0.752
APU0000711412,1984,M06,0.825
APU0000711412,1984,M07,0.842
APU0000711412,1984,M08,0.829
APU0000711412,1984,M09,0.843
APU0000711412,1984,M10,0.809
APU0000711412,1984,M11,0.770
APU0000711412,1984,M12,0.719
APU0000711412,1985,M01,0.743
APU0000711412,1985,M02,0.729
APU0000711412,1985,M03,0.764
APU0000711412,1985,M04,0.743
APU0000711412,1985,M05,0.783
APU0000711412,1985,M06,0.910
APU0000711412,1985,M07,0.964
APU0000711412,1985,M08,1.114
APU0000711412,1985,M09,1.212
APU0000711412,1985,M10,1.253
APU0000711412,1985,M11,1.025
APU0000711412,1985,M12,0.903
APU0000711412,1986,M01,0.906
APU0000711412,1986,M02,0.811
APU0000711412,1986,M03,0.749
APU0000711412,1986,M04,0.799
APU0000711412,1986,M05,0.775
APU0000711412,1986,M06,0.814
APU0000711412,1986,M07,0.899
APU0000711412,1986,M08,0.918
APU0000711412,1986,M09,0.850
APU0000711412,1986,M10,0.794
APU0000711412,1986,M11,0.782
APU0000711412,1986,M12,0.758
APU0000711412,1987,M01,0.740
APU0000711412,1987,M02,0.744
APU0000711412,1987,M03,0.759
APU0000711412,1987,M04,0.827
APU0000711412,1987,M05,0.847
APU0000711412,1987,M06,0.892
