Series Id,Year,Period,Value
APU0000712211,1980,M01,0.354
APU0000712211,1980,M02,0.369
APU0000712211,1980,M03,0.385
APU0000712211,1980,M04,0.565
APU0000712211,1980,M05,0.561
APU0000712211,1980,M06,0.462
APU0000712211,1980,M07,0.387
APU0000712211,1980,M08,0.397
APU0000712211,1980,M09,0.500
APU0000712211,1980,M10,0.441
APU0000712211,1980,M11,0.522
APU0000712211,1980,M12,0.483
APU0000712211,1981,M01,0.441
APU0000712211,1981,M02,0.429
APU0000712211,1981,M03,0.423
APU0000712211,1981,M04,0.441
APU0000712211,1981,M05,0.486
APU0000712211,1981,M06,0.454
APU0000712211,1981,M07,0.499
APU0000712211,1981,M08,0.553
APU0000712211,1981,M09,0.544
APU0000712211,1981,M10,0.477
APU0000712211,1981,M11,0.456
APU0000712211,1981,M12,0.646
APU0000712211,1982,M01,0.968
APU0000712211,1982,M02,0.709
APU0000712211,1982,M03,0.500
APU0000712211,1982,M04,0.700
APU0000712211,1982,M05,0.518
APU0000712211,1982,M06,0.503
APU0000712211,1982,M07,0.487
APU0000712211,1982,M08,0.473
APU0000712211,1982,M09,0.437
APU0000712211,1982,M10,0.472
APU0000712211,1982,M11,0.476
APU0000712211,1982,M12,0.634
APU0000712211,1983,M01,0.560
APU0000712211,1983,M02,0.438
APU0000712211,1983,M03,0.430
APU0000712211,1983,M04,0.516
APU0000712211,1983,M05,0.580
APU0000712211,1983,M06,0.649
APU0000712211,1983,M07,0.479
APU0000712211,1983,M08,0.523
APU0000712211,1983,M09,0.571
APU0000712211,1983,M10,0.657
APU0000712211,1983,M11,0.578
APU0000712211,1983,M12,0.666
APU0000712211,1984,M01,0.541
APU0000712211,1984,M02,0.455
APU0000712211,1984,M03,0.523
APU0000712211,1984,M04,0.424
APU0000712211,1984,M05,0.403
APU0000712211,1984,M06,0.475
APU0000712211,1984,M07,0.436
APU0000712211,1984,M08,0.577
APU0000712211,1984,M09,0.594
APU0000712211,1984,M10,0.665
APU0000712211,1984,M11,0.609
APU0000712211,1984,M12,0.449
APU0000712211,1985,M01,0.684
APU0000712211,1985,M02,0.563
APU0000712211,1985,M03,0.502
APU0000712211,1985,M04,0.428
APU0000712211,1985,M05,0.511
APU0000712211,1985,M06,0.403
APU0000712211,1985,M07,0.508
APU0000712211,1985,M08,0.571
APU0000712211,1985,M09,0.556
APU0000712211,1985,M10,0.529
APU0000712211,1985,M11,0.498
APU0000712211,1985,M12,0.707
APU0000712211,1986,M01,0.691
APU0000712211,1986,M02,0.443
APU0000712211,1986,M03,0.438
APU0000712211,1986,M04,0.562
APU0000712211,1986,M05,0.659
APU0000712211,1986,M06,0.512
APU0000712211,1986,M07,0.460
APU0000712211,1986,M08,0.470
APU0000712211,1986,M09,0.531
APU0000712211,1986,M10,0.509
APU0000712211,1986,M11,0.501
APU0000712211,1986,M12,0.559
APU0000712211,1987,M03,0.519
APU0000712211,1987,M04,0.507
APU0000712211,1987,M05,0.433
APU0000712211,1987,M06,0.428
APU0000712211,1987,M07,0.518
APU0000712211,1987,M08,0.604
APU0000712211,1987,M09,0.646
APU0000712211,1987,M10,0.540
APU0000712211,1987,M11,0.738
APU0000712211,1987,M12,1.250
APU0000712211,1988,M01,1.248
APU0000712211,1988,M02,0.835
APU0000712211,1988,M03,0.647
APU0000712211,1988,M04,0.471
APU0000712211,1988,M05,0.506
APU0000712211,1988,M06,0.486
APU0000712211,1988,M07,0.472
APU0000712211,1988,M08,0.493
APU0000712211,1988,M09,0.553
APU0000712211,1988,M10,0.545
APU0000712211,1988,M11,0.514
APU0000712211,1988,M12,0.768
APU0000712211,1989,M01,0.794
APU0000712211,1989,M02,0.686
APU0000712211,1989,M03,0.602
APU0000712211,1989,M04,0.538
APU0000712211,1989,M05,0.505
APU0000712211,1989,M06,0.566
APU0000712211,1989,M07,0.582
APU0000712211,1989,M08,0.598
APU0000712211,1989,M09,0.593
APU0000712211,1989,M10,0.623
APU0000712211,1989,M11,0.652
APU0000712211,1989,M12,0.519
APU0000712211,1990,M01,0.605
APU0000712211,1990,M02,0.511
APU0000712211,1990,M03,0.480
APU0000712211,1990,M04,0.500
APU0000712211,1990,M05,0.513
APU0000712211,1990,M06,0.441
APU0000712211,1990,M07,0.569
APU0000712211,1990,M08,0.562
APU0000712211,1990,M09,0.646
APU0000712211,1990,M10,0.746
APU0000712211,1990,M11,0.783
APU0000712211,1990,M12,0.579
APU0000712211,1991,M01,0.680
APU0000712211,1991,M02,0.548
APU0000712211,1991,M03,0.512
APU0000712211,1991,M04,0.563
APU0000712211,1991,M05,0.620
APU0000712211,1991,M06,0.730
APU0000712211,1991,M07,0.528
APU0000712211,1991,M08,0.495
APU0000712211,1991,M09,0.509
APU0000712211,1991,M10,0.517
APU0000712211,1991,M11,0.868
APU0000712211,1991,M12,0.686
APU0000712211,1992,M01,0.573
APU0000712211,1992,M02,0.501
APU0000712211,1992,M03,0.524
APU0000712211,1992,M04,0.546
APU0000712211,1992,M05,0.532
APU0000712211,1992,M06,0.498
APU0000712211,1992,M07,0.508
APU0000712211,1992,M08,0.638
APU0000712211,1992,M09,0.709
APU0000712211,1992,M10,0.657
APU0000712211,1992,M11,0.578
APU0000712211,1992,M12,0.657
APU0000712211,1993,M01,0.625
APU0000712211,1993,M02,0.579
APU0000712211,1993,M03,0.843
APU0000712211,1993,M04,0.854
APU0000712211,1993,M05,0.779
APU0000712211,1993,M06,0.531
APU0000712211,1993,M07,0.648
APU0000712211,1993,M08,0.654
APU0000712211,1993,M09,0.640
APU0000712211,1993,M10,0.587
APU0000712211,1993,M11,0.606
APU0000712211,1993,M12,0.525
APU0000712211,1994,M01,0.506
APU0000712211,1994,M02,0.542
APU0000712211,1994,M03,0.613
APU0000712211,1994,M04,0.532
APU0000712211,1994,M05,0.535
APU0000712211,1994,M06,0.519
APU0000712211,1994,M07,0.564
APU0000712211,1994,M08,0.531
APU0000712211,1994,M09,0.617
APU0000712211,1994,M10,0.652
APU0000712211,1994,M11,0.776
APU0000712211,1994,M12,0.905
APU0000712211,1995,M01,0.821
APU0000712211,1995,M02,0.602
APU0000712211,1995,M03,0.607
APU0000712211,1995,M04,1.343
APU0000712211,1995,M05,1.346
APU0000712211,1995,M06,0.804
APU0000712211,1995,M07,0.609
APU0000712211,1995,M08,0.658
APU0000712211,1995,M09,0.859
APU0000712211,1995,M10,0.700
APU0000712211,1995,M11,0.652
APU0000712211,1995,M12,0.614
APU0000712211,1996,M01,0.769
APU0000712211,1996,M02,0.587
APU0000712211,1996,M03,0.647
APU0000712211,1996,M04,0.646
APU0000712211,1996,M05,0.613
APU0000712211,1996,M06,0.672
APU0000712211,1996,M07,0.627
APU0000712211,1996,M08,0.615
APU0000712211,1996,M09,0.595
APU0000712211,1996,M10,0.634
APU0000712211,1996,M11,0.746
APU0000712211,1996,M12,0.622
APU0000712211,1997,M01,0.651
APU0000712211,1997,M02,0.594
APU0000712211,1997,M03,0.614
APU0000712211,1997,M04,0.666
APU0000712211,1997,M05,0.598
APU0000712211,1997,M06,0.593
APU0000712211,1997,M07,0.649
APU0000712211,1997,M08,0.694
APU0000712211,1997,M09,0.737
APU0000712211,1997,M10,0.823
APU0000712211,1997,M11,1.010
APU0000712211,1997,M12,0.699
APU0000712211,1998,M01,1.072
APU0000712211,1998,M02,0.643
APU0000712211,1998,M03,0.695
APU0000712211,1998,M04,0.837
APU0000712211,1998,M05,0.877
APU0000712211,1998,M06,0.711
APU0000712211,1998,M07,0.692
APU0000712211,1998,M08,0.686
APU0000712211,1998,M09,0.710
APU0000712211,1998,M10,0.757
APU0000712211,1998,M11,0.765
APU0000712211,1998,M12,0.635
APU0000712211,1999,M01,0.649
APU0000712211,1999,M02,0.658
APU0000712211,1999,M03,0.774
APU0000712211,1999,M04,0.753
APU0000712211,1999,M05,0.691
APU0000712211,1999,M06,0.652
APU0000712211,1999,M07,0.627
APU0000712211,1999,M08,0.652
APU0000712211,1999,M09,0.623
APU0000712211,1999,M10,0.669
APU0000712211,1999,M11,0.677
APU0000712211,1999,M12,0.668
APU0000712211,2000,M01,0.748
APU0000712211,2000,M02,0.650
APU0000712211,2000,M03,0.671
APU0000712211,2000,M04,0.650
APU0000712211,2000,M05,0.803
APU0000712211,2000,M06,0.686
APU0000712211,2000,M07,0.656
APU0000712211,2000,M08,0.673
APU0000712211,2000,M09,0.897
APU0000712211,2000,M10,0.772
APU0000712211,2000,M11,0.774
APU0000712211,2000,M12,0.851
APU0000712211,2001,M01,0.736
APU0000712211,2001,M02,0.847
APU0000712211,2001,M03,0.895
APU0000712211,2001,M04,0.767
APU0000712211,2001,M05,0.870
APU0000712211,2001,M06,0.722
APU0000712211,2001,M07,0.663
APU0000712211,2001,M08,0.784
APU0000712211,2001,M09,0.897
APU0000712211,2001,M10,0.811
APU0000712211,2001,M11,0.734
APU0000712211,2001,M12,0.788
APU0000712211,2002,M01,1.003
APU0000712211,2002,M02,1.061
APU0000712211,2002,M03,1.542
APU0000712211,2002,M04,1.147
APU0000712211,2002,M05,0.720
APU0000712211,2002,M06,0.675
APU0000712211,2002,M07,0.674
APU0000712211,2002,M08,0.689
APU0000712211,2002,M09,0.702
APU0000712211,2002,M10,0.687
APU0000712211,2002,M11,0.754
APU0000712211,2002,M12,0.680
APU0000712211,2003,M01,0.734
APU0000712211,2003,M02,0.682
APU0000712211,2003,M03,0.655
APU0000712211,2003,M04,0.723
APU0000712211,2003,M05,0.795
APU0000712211,2003,M06,0.832
APU0000712211,2003,M07,0.808
APU0000712211,2003,M08,0.709
APU0000712211,2003,M09,0.898
APU0000712211,2003,M10,0.858
APU0000712211,2003,M11,0.927
APU0000712211,2003,M12,1.255
APU0000712211,2004,M01,0.876
APU0000712211,2004,M02,0.805
APU0000712211,2004,M03,0.813
APU0000712211,2004,M04,0.801
APU0000712211,2004,M05,0.710
APU0000712211,2004,M06,0.751
APU0000712211,2004,M07,0.737
APU0000712211,2004,M08,0.808
APU0000712211,2004,M09,0.771
APU0000712211,2004,M10,0.830
APU0000712211,2004,M11,0.849
APU0000712211,2004,M12,0.823
APU0000712211,2005,M01,0.817
APU0000712211,2005,M02,0.730
APU0000712211,2005,M03,0.829
APU0000712211,2005,M04,1.004
APU0000712211,2005,M05,0.926
APU0000712211,2005,M06,0.895
APU0000712211,2005,M07,0.885
APU0000712211,2005,M08,0.855
APU0000712211,2005,M09,0.848
APU0000712211,2005,M10,0.926
APU0000712211,2005,M11,0.873
APU0000712211,2005,M12,0.854
