Series Id,Year,Period,Value
APU0000716116,1984,M01,0.969
APU0000716116,1984,M02,0.982
APU0000716116,1984,M03,0.992
APU0000716116,1984,M04,0.987
APU0000716116,1984,M05,0.999
APU0000716116,1984,M06,1.009
APU0000716116,1984,M07,1.019
APU0000716116,1984,M08,1.033
APU0000716116,1984,M09,1.042
APU0000716116,1984,M10,1.039
APU0000716116,1984,M11,1.035
APU0000716116,1984,M12,1.036
APU0000716116,1985,M01,1.041
APU0000716116,1985,M02,1.010
APU0000716116,1985,M03,1.025
APU0000716116,1985,M04,1.017
APU0000716116,1985,M05,1.028
APU0000716116,1985,M06,1.036
APU0000716116,1985,M07,1.033
APU0000716116,1985,M08,1.037
APU0000716116,1985,M09,1.032
APU0000716116,1985,M10,1.016
APU0000716116,1985,M11,1.000
APU0000716116,1985,M12,0.996
APU0000716116,1986,M01,1.005
APU0000716116,1986,M02,1.019
APU0000716116,1986,M03,1.026
APU0000716116,1986,M04,1.021
APU0000716116,1986,M05,1.022
APU0000716116,1986,M06,1.019
APU0000716116,1986,M07,1.018
APU0000716116,1986,M08,1.006
APU0000716116,1986,M09,1.018
APU0000716116,1986,M10,1.037
APU0000716116,1986,M11,1.034
APU0000716116,1986,M12,1.033
APU0000716116,1987,M01,0.975
APU0000716116,1987,M02,0.978
APU0000716116,1987,M03,0.975
APU0000716116,1987,M04,0.983
APU0000716116,1987,M05,0.989
APU0000716116,1987,M06,0.981
APU0000716116,1987,M07,0.966
APU0000716116,1987,M08,0.960
APU0000716116,1987,M09,0.969
APU0000716116,1987,M10,0.972
APU0000716116,1987,M11,0.978
APU0000716116,1987,M12,0.956
APU0000716116,1988,M01,0.970
APU0000716116,1988,M02,0.958
APU0000716116,1988,M03,0.966
APU0000716116,1988,M04,1.003
APU0000716116,1988,M05,1.011
APU0000716116,1988,M06,1.039
APU0000716116,1988,M07,1.034
APU0000716116,1988,M08,1.065
APU0000716116,1988,M09,1.086
APU0000716116,1988,M10,1.103
APU0000716116,1988,M11,1.135
APU0000716116,1988,M12,1.151
APU0000716116,1989,M01,1.160
APU0000716116,1989,M02,1.163
APU0000716116,1989,M03,1.166
APU0000716116,1989,M04,1.184
APU0000716116,1989,M05,1.180
APU0000716116,1989,M06,1.183
APU0000716116,1989,M07,1.181
APU0000716116,1989,M08,1.174
APU0000716116,1989,M09,1.178
APU0000716116,1989,M10,1.163
APU0000716116,1989,M11,1.176
APU0000716116,1989,M12,1.180
APU0000716116,1990,M01,1.175
APU0000716116,1990,M02,1.198
