Series Id,Year,Period,Value
APU0000709112,1995,M08,0.005
APU0000709112,1995,M09,-0.023
APU0000709112,1995,M10,0.014
APU0000709112,1995,M11,0.020
APU0000709112,1995,M12,0.025
APU0000709112,1996,M01,0.028
APU0000709112,1996,M02,-0.005
APU0000709112,1996,M03,-0.002
APU0000709112,1996,M04,-0.002
APU0000709112,1996,M05,-0.005
APU0000709112,1996,M06,0.067
APU0000709112,1996,M07,0.050
APU0000709112,1996,M08,0.017
APU0000709112,1996,M09,0.000
APU0000709112,1996,M10,0.064
APU0000709112,1996,M11,0.016
APU0000709112,1996,M12,-0.019
APU0000709112,1997,M01,-0.050
APU0000709112,1997,M02,-0.045
APU0000709112,1997,M03,0.000
APU0000709112,1997,M04,-0.026
APU0000709112,1997,M05,0.002
APU0000709112,1997,M06,-0.021
APU0000709112,1997,M07,-0.030
APU0000709112,1997,M08,-0.006
APU0000709112,1997,M09,-0.018
APU0000709112,1997,M10,0.102
APU0000709112,1997,M11,0.043
APU0000709112,1997,M12,-0.006
APU0000709112,1998,M01,-0.040
APU0000709112,1998,M02,0.021
APU0000709112,1998,M03,0.005
APU0000709112,1998,M04,0.010
APU0000709112,1998,M05,-0.002
APU0000709112,1998,M06,-0.044
APU0000709112,1998,M07,0.006
APU0000709112,1998,M08,0.089
APU0000709112,1998,M09,0.040
APU0000709112,1998,M10,0.028
APU0000709112,1998,M11,0.015
APU0000709112,1998,M12,0.059
APU0000709112,1999,M01,0.081
APU0000709112,1999,M02,0.064
APU0000709112,1999,M03,-0.001
APU0000709112,1999,M04,-0.296
APU0000709112,1999,M05,0.009
APU0000709112,1999,M06,-0.012
APU0000709112,1999,M07,0.002
APU0000709112,1999,M08,0.013
APU0000709112,1999,M09,0.075
APU0000709112,1999,M10,0.170
APU0000709112,1999,M11,0.017
APU0000709112,1999,M12,-0.106
APU0000709112,2000,M01,-0.090
APU0000709112,2000,M02,-0.008
APU0000709112,2000,M03,-0.029
APU0000709112,2000,M04,0.025
APU0000709112,2000,M05,0.009
APU0000709112,2000,M06,-0.019
APU0000709112,2000,M07,0.018
APU0000709112,2000,M08,0.026
APU0000709112,2000,M09,0.002
APU0000709112,2000,M10,-0.004
APU0000709112,2000,M11,-0.052
APU0000709112,2000,M12,0.032
APU0000709112,2001,M01,0.067
APU0000709112,2001,M02,-0.005
APU0000709112,2001,M03,-0.087
APU0000709112,2001,M04,0.085
APU0000709112,2001,M05,0.048
APU0000709112,2001,M06,0.018
APU0000709112,2001,M07,0.022
APU0000709112,2001,M08,-0.043
APU0000709112,2001,M09,0.051
APU0000709112,2001,M10,0.013
APU0000709112,2001,M11,-0.064
APU0000709112,2001,M12,0.005
APU0000709112,2002,M01,-0.083
APU0000709112,2002,M02,-0.005
APU0000709112,2002,M03,0.009
APU0000709112,2002,M04,-0.037
APU0000709112,2002,M05,0.003
APU0000709112,2002,M06,-0.014
APU0000709112,2002,M07,-0.021
APU0000709112,2002,M08,-0.027
APU0000709112,2002,M09,0.008
APU0000709112,2002,M10,-0.001
APU0000709112,2002,M11,-0.008
APU0000709112,2002,M12,-0.037
APU0000709112,2003,M01,0.004
APU0000709112,2003,M02,0.003
APU0000709112,2003,M03,-0.033
APU0000709112,2003,M04,0.018
