Series Id,Year,Period,Value
APU0000711311,1980,M02,-0.002
APU0000711311,1980,M03,0.015
APU0000711311,1980,M04,-0.003
APU0000711311,1980,M05,0.011
APU0000711311,1981,M01,-0.051
APU0000711311,1981,M02,-0.001
APU0000711311,1981,M03,-0.007
APU0000711311,1981,M04,0.006
APU0000711311,1981,M05,-0.030
APU0000711311,1981,M06,0.019
APU0000711311,1982,M01,0.012
APU0000711311,1982,M02,0.023
APU0000711311,1982,M03,0.008
APU0000711311,1982,M04,0.014
APU0000711311,1983,M01,-0.068
APU0000711311,1983,M02,-0.006
APU0000711311,1983,M03,0.002
APU0000711311,1983,M04,0.009
APU0000711311,1983,M05,-0.008
APU0000711311,1983,M06,0.013
APU0000711311,1984,M01,0.000
APU0000711311,1984,M02,-0.019
APU0000711311,1984,M03,0.015
APU0000711311,1984,M04,0.007
APU0000711311,1984,M05,0.046
APU0000711311,1984,M12,-0.049
APU0000711311,1985,M01,0.003
APU0000711311,1985,M02,-0.001
APU0000711311,1985,M03,-0.020
APU0000711311,1985,M04,0.023
APU0000711311,1985,M05,0.086
APU0000711311,1986,M01,-0.016
APU0000711311,1986,M02,-0.031
APU0000711311,1986,M03,-0.001
APU0000711311,1986,M04,0.012
APU0000711311,1986,M05,0.036
APU0000711311,1986,M12,-0.021
APU0000711311,1987,M04,-0.008
APU0000711311,1987,M05,0.038
APU0000711311,1987,M12,-0.159
APU0000711311,1988,M01,-0.018
APU0000711311,1988,M02,-0.005
APU0000711311,1988,M03,0.000
APU0000711311,1988,M04,0.008
APU0000711311,1988,M05,0.095
APU0000711311,1989,M01,-0.041
APU0000711311,1989,M02,-0.057
APU0000711311,1989,M03,0.007
APU0000711311,1989,M04,0.040
APU0000711311,1989,M05,0.023
APU0000711311,1989,M12,-0.057
APU0000711311,1990,M01,-0.027
APU0000711311,1990,M02,0.079
APU0000711311,1990,M03,-0.010
APU0000711311,1990,M04,-0.010
APU0000711311,1990,M05,0.018
APU0000711311,1990,M06,0.043
APU0000711311,1990,M12,-0.022
APU0000711311,1991,M01,0.260
APU0000711311,1991,M02,0.107
APU0000711311,1991,M12,-0.079
APU0000711311,1992,M01,-0.009
APU0000711311,1992,M02,-0.027
APU0000711311,1992,M03,-0.053
APU0000711311,1992,M04,-0.026
APU0000711311,1992,M05,0.036
APU0000711311,1992,M12,-0.055
APU0000711311,1993,M01,-0.002
APU0000711311,1993,M02,-0.008
