Series Id,Year,Period,Value
APU0000711414,1980,M06,0.581
APU0000711414,1980,M07,0.453
APU0000711414,1980,M08,0.514
APU0000711414,1980,M09,0.505
APU0000711414,1981,M06,0.603
APU0000711414,1981,M07,0.503
APU0000711414,1981,M08,0.472
APU0000711414,1981,M09,0.630
APU0000711414,1982,M06,0.703
APU0000711414,1982,M07,0.612
APU0000711414,1982,M08,0.725
APU0000711414,1982,M09,0.668
APU0000711414,1983,M06,0.749
APU0000711414,1983,M07,0.707
APU0000711414,1983,M08,0.657
APU0000711414,1983,M09,0.608
APU0000711414,1984,M06,0.637
APU0000711414,1984,M07,0.498
APU0000711414,1984,M08,0.507
APU0000711414,1984,M09,0.651
APU0000711414,1985,M06,0.767
APU0000711414,1985,M07,0.584
APU0000711414,1985,M08,0.685
APU0000711414,1985,M09,0.706
APU0000711414,1986,M06,0.752
APU0000711414,1986,M07,0.672
APU0000711414,1986,M08,0.645
APU0000711414,1986,M09,0.668
APU0000711414,1987,M06,0.874
APU0000711414,1987,M07,0.604
APU0000711414,1987,M08,0.570
APU0000711414,1987,M09,0.642
APU0000711414,1988,M06,0.738
APU0000711414,1988,M07,0.641
APU0000711414,1988,M08,0.634
APU0000711414,1988,M09,0.702
APU0000711414,1989,M06,0.915
APU0000711414,1989,M07,0.756
APU0000711414,1989,M08,0.746
APU0000711414,1989,M09,0.923
APU0000711414,1990,M02,1.313
APU0000711414,1990,M03,1.284
APU0000711414,1990,M06,0.811
APU0000711414,1990,M07,0.895
APU0000711414,1990,M08,0.924
APU0000711414,1990,M09,0.940
APU0000711414,1991,M02,1.243
APU0000711414,1991,M03,1.273
APU0000711414,1991,M06,0.999
APU0000711414,1991,M07,0.786
APU0000711414,1991,M08,0.693
APU0000711414,1991,M09,0.788
APU0000711414,1992,M02,0.962
APU0000711414,1992,M06,0.933
APU0000711414,1992,M07,0.776
APU0000711414,1992,M08,0.851
APU0000711414,1992,M09,0.945
APU0000711414,1993,M02,1.201
APU0000711414,1993,M06,0.959
APU0000711414,1993,M07,0.829
APU0000711414,1993,M08,0.854
APU0000711414,1993,M09,0.899
APU0000711414,1994,M02,1.210
APU0000711414,1994,M06,0.889
APU0000711414,1994,M07,0.872
APU0000711414,1994,M08,0.857
APU0000711414,1994,M09,0.915
APU0000711414,1995,M02,1.356
APU0000711414,1995,M06,1.098
APU0000711414,1995,M07,0.892
APU0000711414,1995,M08,0.930
APU0000711414,1995,M09,1.174
APU0000711414,1996,M06,1.142
APU0000711414,1996,M07,1.218
APU0000711414,1996,M08,1.101
APU0000711414,1996,M09,1.244
APU0000711414,1997,M06,1.122
APU0000711414,1997,M07,0.951
APU0000711414,1997,M08,0.973
APU0000711414,1997,M09,1.143
APU0000711414,1998,M02,1.894
APU0000711414,1998,M06,1.425
APU0000711414,1998,M07,1.179
APU0000711414,1998,M08,1.065
APU0000711414,1998,M09,1.221
APU0000711414,1999,M02,1.856
APU0000711414,1999,M03,1.941
APU0000711414,1999,M06,1.413
APU0000711414,1999,M07,1.160
APU0000711414,1999,M08,1.098
APU0000711414,1999,M09,1.100
APU0000711414,2000,M02,1.773
APU0000711414,2000,M06,1.211
APU0000711414,2000,M07,1.180
APU0000711414,2000,M08,1.143
APU0000711414,2000,M09,1.282
APU0000711414,2001,M02,1.774
APU0000711414,2001,M06,1.752
APU0000711414,2001,M07,1.350
APU0000711414,2001,M08,1.204
APU0000711414,2001,M09,1.349
APU0000711414,2002,M06,1.848
APU0000711414,2002,M07,1.360
APU0000711414,2002,M08,1.431
APU0000711414,2002,M09,1.427
APU0000711414,2003,M06,1.726
APU0000711414,2003,M07,1.362
APU0000711414,2003,M08,1.346
APU0000711414,2003,M09,1.444
APU0000711414,2004,M06,1.567
APU0000711414,2004,M07,1.348
APU0000711414,2004,M08,1.281
APU0000711414,2004,M09,1.492
APU0000711414,2005,M02,1.757
APU0000711414,2005,M03,1.774
APU0000711414,2005,M06,1.601
APU0000711414,2005,M07,1.364
APU0000711414,2005,M08,1.454
APU0000711414,2005,M09,1.553
APU0000711414,2006,M02,1.963
APU0000711414,2006,M03,2.049
APU0000711414,2006,M06,1.609
APU0000711414,2006,M07,1.388
APU0000711414,2006,M08,1.326
APU0000711414,2006,M09,1.485
APU0000711414,2007,M02,1.685
APU0000711414,2007,M03,1.774
APU0000711414,2007,M06,1.714
APU0000711414,2007,M07,1.450
APU0000711414,2007,M08,1.303
APU0000711414,2007,M09,1.450
APU0000711414,2008,M02,1.825
APU0000711414,2008,M03,1.847
APU0000711414,2008,M06,1.707
APU0000711414,2008,M07,1.506
APU0000711414,2008,M08,1.476
APU0000711414,2008,M09,1.487
APU0000711414,2009,M02,1.719
APU0000711414,2009,M06,1.711
APU0000711414,2009,M07,1.652
APU0000711414,2009,M08,1.505
APU0000711414,2009,M09,1.570
APU0000711414,2010,M02,1.976
APU0000711414,2010,M06,1.949
APU0000711414,2010,M07,1.682
APU0000711414,2010,M08,1.562
APU0000711414,2010,M09,1.591
APU0000711414,2011,M06,1.767
APU0000711414,2011,M07,1.578
APU0000711414,2011,M08,1.569
APU0000711414,2011,M09,1.657
APU0000711414,2012,M06,1.870
APU0000711414,2012,M07,1.633
APU0000711414,2012,M08,1.599
APU0000711414,2012,M09,1.683
APU0000711414,2013,M06,1.928
APU0000711414,2013,M07,1.600
APU0000711414,2013,M08,1.551
APU0000711414,2013,M09,1.616
APU0000711414,2014,M06,2.238
APU0000711414,2014,M07,1.971
APU0000711414,2014,M08,1.799
APU0000711414,2014,M09,1.760
APU0000711414,2015,M06,2.069
APU0000711414,2015,M07,1.701
APU0000711414,2015,M08,1.701
APU0000711414,2015,M09,1.762
APU0000711414,2016,M06,1.908
APU0000711414,2016,M07,1.711
APU0000711414,2016,M08,1.712
APU0000711414,2016,M09,1.797
APU0000711414,2017,M06,2.058
APU0000711414,2017,M07,2.084
APU0000711414,2017,M08,1.952
APU0000711414,2017,M09,1.986
APU0000711414,2018,M06,2.167
APU0000711414,2018,M07,2.080
APU0000711414,2018,M08,2.060
APU0000711414,2018,M09,2.008
APU0000711414,2019,M06,2.134
APU0000711414,2019,M07,2.143
APU0000711414,2019,M08,1.943
APU0000711414,2019,M09,2.050
APU0000711414,2020,M08,2.088
