Series Id,Year,Period,Value
APU0000711413,1980,M01,0.541
APU0000711413,1980,M02,0.572
APU0000711413,1980,M03,0.621
APU0000711413,1980,M04,0.684
APU0000711413,1980,M05,0.685
APU0000711413,1980,M12,0.550
APU0000711413,1981,M01,0.541
APU0000711413,1981,M02,0.542
APU0000711413,1981,M03,0.576
APU0000711413,1981,M04,0.607
APU0000711413,1981,M05,0.635
APU0000711413,1981,M06,0.667
APU0000711413,1981,M12,0.561
APU0000711413,1982,M01,0.556
APU0000711413,1982,M02,0.584
APU0000711413,1982,M03,0.594
APU0000711413,1982,M04,0.626
APU0000711413,1982,M05,0.649
APU0000711413,1982,M12,0.628
APU0000711413,1983,M01,0.612
APU0000711413,1983,M02,0.577
APU0000711413,1983,M03,0.617
APU0000711413,1983,M04,0.635
APU0000711413,1983,M05,0.649
APU0000711413,1983,M06,0.668
APU0000711413,1983,M12,0.576
APU0000711413,1984,M01,0.558
APU0000711413,1984,M02,0.543
APU0000711413,1984,M03,0.536
APU0000711413,1984,M04,0.503
APU0000711413,1984,M05,0.470
APU0000711413,1984,M06,0.491
APU0000711413,1984,M07,0.529
APU0000711413,1984,M11,0.618
APU0000711413,1984,M12,0.619
APU0000711413,1985,M01,0.629
APU0000711413,1985,M02,0.665
APU0000711413,1985,M03,0.673
APU0000711413,1985,M04,0.699
APU0000711413,1985,M05,0.738
APU0000711413,1985,M06,0.830
APU0000711413,1985,M12,0.685
APU0000711413,1986,M01,0.706
APU0000711413,1986,M02,0.709
APU0000711413,1986,M03,0.735
APU0000711413,1986,M04,0.770
APU0000711413,1986,M05,0.827
APU0000711413,1986,M06,0.894
APU0000711413,1986,M12,0.717
APU0000711413,1987,M01,0.754
APU0000711413,1987,M02,0.772
APU0000711413,1987,M03,0.773
APU0000711413,1987,M04,0.770
APU0000711413,1987,M05,0.751
APU0000711413,1987,M06,0.821
APU0000711413,1987,M12,0.573
APU0000711413,1988,M01,0.571
APU0000711413,1988,M02,0.573
APU0000711413,1988,M03,0.575
APU0000711413,1988,M04,0.627
APU0000711413,1988,M05,0.682
APU0000711413,1988,M06,0.729
APU0000711413,1988,M12,0.642
APU0000711413,1989,M01,0.677
APU0000711413,1989,M02,0.668
APU0000711413,1989,M03,0.710
APU0000711413,1989,M04,0.743
APU0000711413,1989,M05,0.774
APU0000711413,1989,M06,0.797
APU0000711413,1989,M12,0.759
APU0000711413,1990,M01,0.675
APU0000711413,1990,M02,0.736
APU0000711413,1990,M03,0.757
APU0000711413,1990,M04,0.787
APU0000711413,1990,M05,0.783
APU0000711413,1990,M06,0.814
APU0000711413,1990,M12,0.789
APU0000711413,1991,M01,0.739
APU0000711413,1991,M02,0.795
APU0000711413,1991,M03,0.812
APU0000711413,1991,M04,0.827
APU0000711413,1991,M05,0.849
APU0000711413,1991,M06,0.976
APU0000711413,1991,M12,0.881
APU0000711413,1992,M01,0.830
APU0000711413,1992,M02,0.793
APU0000711413,1992,M03,0.855
APU0000711413,1992,M04,0.834
APU0000711413,1992,M05,0.839
APU0000711413,1992,M06,0.830
APU0000711413,1992,M12,0.803
APU0000711413,1993,M01,0.777
APU0000711413,1993,M02,0.805
APU0000711413,1993,M03,0.855
APU0000711413,1993,M04,0.866
APU0000711413,1993,M05,0.881
APU0000711413,1993,M06,0.933
APU0000711413,1993,M12,0.891
APU0000711413,1994,M01,0.827
APU0000711413,1994,M02,0.815
APU0000711413,1994,M03,0.790
APU0000711413,1994,M04,0.773
APU0000711413,1994,M05,0.736
APU0000711413,1994,M06,0.783
APU0000711413,1994,M07,0.858
APU0000711413,1995,M02,0.774
APU0000711413,1996,M03,0.860
APU0000711413,1996,M04,0.895
APU0000711413,1996,M05,0.878
APU0000711413,1996,M06,0.886
APU0000711413,1996,M12,1.059
APU0000711413,1997,M01,1.017
APU0000711413,1997,M02,1.001
APU0000711413,1997,M03,1.003
APU0000711413,1997,M04,1.011
APU0000711413,1997,M05,1.026
APU0000711413,1997,M12,0.854
APU0000711413,1998,M01,0.863
APU0000711413,1998,M02,0.931
APU0000711413,1998,M03,0.878
APU0000711413,1998,M04,0.918
APU0000711413,1998,M05,0.962
APU0000711413,1998,M06,0.996
APU0000711413,1998,M12,0.983
APU0000711413,1999,M01,0.923
APU0000711413,1999,M02,0.925
APU0000711413,1999,M03,0.942
APU0000711413,1999,M04,0.953
APU0000711413,1999,M05,0.960
APU0000711413,1999,M06,0.913
APU0000711413,1999,M12,1.034
APU0000711413,2000,M01,1.017
APU0000711413,2000,M02,1.011
APU0000711413,2000,M03,1.003
APU0000711413,2000,M04,1.015
APU0000711413,2000,M05,0.999
APU0000711413,2000,M06,0.871
APU0000711413,2000,M07,0.835
APU0000711413,2001,M01,0.945
APU0000711413,2001,M02,0.950
APU0000711413,2001,M03,0.950
APU0000711413,2001,M04,0.914
APU0000711413,2001,M05,0.978
APU0000711413,2001,M06,1.039
APU0000711413,2001,M12,0.984
APU0000711413,2002,M01,1.024
APU0000711413,2002,M02,0.988
APU0000711413,2002,M03,0.971
APU0000711413,2002,M05,1.040
APU0000711413,2002,M06,0.960
APU0000711413,2003,M01,0.990
APU0000711413,2004,M12,1.168
APU0000711413,2005,M01,1.144
APU0000711413,2005,M02,1.101
APU0000711413,2005,M03,1.102
APU0000711413,2005,M04,1.156
APU0000711413,2005,M05,1.183
APU0000711413,2005,M06,1.057
APU0000711413,2005,M07,1.116
APU0000711413,2005,M11,1.171
APU0000711413,2005,M12,0.998
APU0000711413,2006,M01,1.009
APU0000711413,2006,M02,1.077
APU0000711413,2006,M03,1.052
APU0000711413,2006,M04,1.089
APU0000711413,2006,M05,1.163
APU0000711413,2006,M06,1.213
APU0000711413,2006,M11,1.224
APU0000711413,2006,M12,1.238
APU0000711413,2007,M01,1.240
APU0000711413,2007,M02,1.232
APU0000711413,2007,M03,1.245
APU0000711413,2007,M04,1.283
APU0000711413,2007,M05,1.339
APU0000711413,2007,M06,1.327
APU0000711413,2007,M11,1.246
APU0000711413,2007,M12,1.272
APU0000711413,2008,M01,1.272
APU0000711413,2008,M02,1.246
APU0000711413,2008,M03,1.319
APU0000711413,2008,M04,1.359
APU0000711413,2008,M05,1.282
