Series Id,Year,Period,Value
APU0000712406,1980,M01,0.815
APU0000712406,1980,M02,0.736
APU0000712406,1980,M03,0.716
APU0000712406,1980,M04,0.820
APU0000712406,1980,M05,0.921
APU0000712406,1980,M06,0.792
APU0000712406,1980,M07,0.772
APU0000712406,1980,M08,0.708
APU0000712406,1980,M09,0.623
APU0000712406,1980,M10,0.647
APU0000712406,1980,M11,0.977
APU0000712406,1980,M12,0.970
APU0000712406,1981,M01,0.974
APU0000712406,1981,M02,1.245
APU0000712406,1981,M03,1.838
APU0000712406,1981,M04,1.673
APU0000712406,1981,M05,0.891
APU0000712406,1981,M06,0.793
APU0000712406,1981,M07,0.907
APU0000712406,1981,M08,0.712
APU0000712406,1981,M09,0.589
APU0000712406,1981,M10,0.632
APU0000712406,1981,M11,0.795
APU0000712406,1981,M12,0.796
APU0000712406,1982,M01,0.852
APU0000712406,1982,M02,0.972
APU0000712406,1982,M03,1.114
APU0000712406,1982,M04,0.940
APU0000712406,1982,M05,1.062
APU0000712406,1982,M06,1.058
APU0000712406,1982,M07,0.805
APU0000712406,1982,M08,0.651
APU0000712406,1982,M09,0.624
APU0000712406,1982,M10,0.683
APU0000712406,1982,M11,0.818
APU0000712406,1982,M12,0.774
APU0000712406,1983,M01,0.881
APU0000712406,1983,M02,1.312
APU0000712406,1983,M03,1.477
APU0000712406,1983,M04,1.253
APU0000712406,1983,M05,1.252
APU0000712406,1983,M06,0.945
APU0000712406,1983,M07,0.912
APU0000712406,1983,M08,0.775
APU0000712406,1983,M09,0.614
APU0000712406,1983,M10,0.732
APU0000712406,1983,M11,0.854
APU0000712406,1983,M12,0.776
APU0000712406,1984,M01,0.946
APU0000712406,1984,M02,1.122
APU0000712406,1984,M03,1.263
APU0000712406,1984,M04,0.973
APU0000712406,1984,M05,0.884
APU0000712406,1984,M06,0.881
APU0000712406,1984,M07,0.787
APU0000712406,1984,M08,0.690
APU0000712406,1984,M09,0.621
APU0000712406,1984,M10,0.750
APU0000712406,1984,M11,0.899
APU0000712406,1984,M12,0.811
APU0000712406,1985,M01,0.820
APU0000712406,1985,M02,1.120
APU0000712406,1985,M03,1.338
APU0000712406,1985,M04,1.327
APU0000712406,1985,M05,0.910
APU0000712406,1985,M06,0.849
APU0000712406,1985,M07,0.831
APU0000712406,1985,M08,0.782
APU0000712406,1985,M09,0.656
APU0000712406,1985,M10,0.754
APU0000712406,1985,M11,0.890
APU0000712406,1985,M12,0.958
APU0000712406,1986,M01,0.902
APU0000712406,1986,M02,0.848
APU0000712406,1986,M03,0.998
APU0000712406,1986,M04,1.165
APU0000712406,1986,M05,1.119
APU0000712406,1986,M06,0.804
APU0000712406,1986,M07,0.867
APU0000712406,1986,M08,0.803
APU0000712406,1986,M09,0.702
APU0000712406,1986,M10,0.793
APU0000712406,1986,M11,0.901
APU0000712406,1986,M12,0.849
APU0000712406,1987,M01,0.757
APU0000712406,1987,M02,0.738
APU0000712406,1987,M03,0.727
APU0000712406,1987,M04,1.076
APU0000712406,1987,M05,1.152
APU0000712406,1987,M06,1.686
APU0000712406,1987,M07,0.806
APU0000712406,1987,M08,0.724
APU0000712406,1987,M09,0.700
APU0000712406,1987,M10,0.829
APU0000712406,1987,M11,0.828
APU0000712406,1987,M12,0.818
APU0000712406,1988,M01,0.774
APU0000712406,1988,M02,0.701
APU0000712406,1988,M03,0.710
APU0000712406,1988,M04,0.905
APU0000712406,1988,M05,0.920
APU0000712406,1988,M06,0.795
APU0000712406,1988,M07,0.812
APU0000712406,1988,M08,0.797
APU0000712406,1988,M09,0.759
APU0000712406,1988,M10,0.702
APU0000712406,1988,M11,0.777
APU0000712406,1988,M12,0.803
APU0000712406,1989,M01,0.732
APU0000712406,1989,M02,0.839
APU0000712406,1989,M03,0.906
APU0000712406,1989,M04,0.941
APU0000712406,1989,M05,1.234
APU0000712406,1989,M06,1.059
APU0000712406,1989,M07,0.999
APU0000712406,1989,M08,0.977
APU0000712406,1989,M09,0.810
APU0000712406,1989,M10,0.959
APU0000712406,1989,M11,1.166
APU0000712406,1989,M12,0.923
APU0000712406,1990,M01,1.551
APU0000712406,1990,M02,1.776
APU0000712406,1990,M03,1.595
APU0000712406,1990,M04,0.893
APU0000712406,1990,M05,0.782
APU0000712406,1990,M06,0.864
APU0000712406,1990,M07,1.021
APU0000712406,1990,M08,0.990
APU0000712406,1990,M09,0.704
APU0000712406,1991,M01,1.101
APU0000712406,1991,M02,1.071
APU0000712406,1991,M03,1.113
APU0000712406,1991,M04,1.390
APU0000712406,1991,M05,1.415
APU0000712406,1991,M06,1.410
APU0000712406,1991,M07,1.153
APU0000712406,1991,M08,1.088
APU0000712406,1991,M09,0.929
APU0000712406,1991,M10,0.908
APU0000712406,1991,M11,0.926
APU0000712406,1991,M12,0.824
APU0000712406,1992,M01,0.954
APU0000712406,1992,M02,1.383
APU0000712406,1992,M03,1.541
APU0000712406,1992,M04,1.312
APU0000712406,1992,M05,0.948
APU0000712406,1992,M06,0.899
APU0000712406,1992,M07,0.861
APU0000712406,1992,M08,0.790
APU0000712406,1992,M09,0.855
APU0000712406,1992,M10,0.948
APU0000712406,1992,M11,1.120
APU0000712406,1992,M12,1.148
APU0000712406,1993,M01,1.068
APU0000712406,1993,M02,1.010
APU0000712406,1993,M03,1.117
APU0000712406,1993,M04,1.342
APU0000712406,1993,M05,1.754
APU0000712406,1993,M06,1.207
APU0000712406,1993,M07,0.970
APU0000712406,1993,M08,0.922
APU0000712406,1993,M09,0.930
APU0000712406,1993,M10,1.048
APU0000712406,1993,M11,1.226
APU0000712406,1993,M12,1.257
APU0000712406,1994,M01,1.281
APU0000712406,1994,M02,1.091
APU0000712406,1994,M03,1.035
APU0000712406,1994,M04,1.034
APU0000712406,1994,M05,1.102
APU0000712406,1994,M06,1.041
APU0000712406,1994,M07,1.048
APU0000712406,1994,M08,0.993
APU0000712406,1994,M09,0.938
APU0000712406,1994,M10,1.136
APU0000712406,1994,M11,1.369
APU0000712406,1994,M12,1.521
APU0000712406,1995,M01,1.564
APU0000712406,1995,M02,1.634
APU0000712406,1995,M03,1.562
APU0000712406,1995,M04,1.723
APU0000712406,1995,M05,1.180
APU0000712406,1995,M06,1.492
APU0000712406,1995,M07,1.193
APU0000712406,1995,M08,1.091
APU0000712406,1995,M09,1.233
APU0000712406,1995,M10,1.094
APU0000712406,1995,M11,1.367
APU0000712406,1995,M12,1.322
APU0000712406,1996,M01,1.126
APU0000712406,1996,M02,1.294
APU0000712406,1996,M03,1.470
APU0000712406,1996,M04,1.418
APU0000712406,1996,M05,1.119
APU0000712406,1996,M06,1.367
APU0000712406,1996,M07,1.345
APU0000712406,1996,M08,1.195
APU0000712406,1996,M09,1.086
APU0000712406,1996,M10,1.138
APU0000712406,1996,M11,1.424
APU0000712406,1996,M12,1.339
APU0000712406,1997,M01,1.191
APU0000712406,1997,M02,1.437
APU0000712406,1997,M03,1.397
