Series Id,Year,Period,Value
APU0000704211,1980,M01,1.962
APU0000704211,1980,M02,1.906
APU0000704211,1980,M03,1.881
APU0000704211,1980,M04,1.870
APU0000704211,1980,M05,1.802
APU0000704211,1980,M06,1.823
APU0000704211,1980,M07,1.931
APU0000704211,1980,M08,2.006
APU0000704211,1980,M09,2.072
APU0000704211,1980,M10,2.057
APU0000704211,1980,M11,2.057
APU0000704211,1980,M12,2.070
APU0000704211,1981,M01,2.106
APU0000704211,1981,M02,2.081
APU0000704211,1981,M03,2.069
APU0000704211,1981,M04,2.056
APU0000704211,1981,M05,2.006
APU0000704211,1981,M06,2.076
APU0000704211,1981,M07,2.197
APU0000704211,1981,M08,2.225
APU0000704211,1981,M09,2.219
APU0000704211,1981,M10,2.218
APU0000704211,1981,M11,2.159
APU0000704211,1981,M12,2.131
APU0000704211,1982,M01,2.195
APU0000704211,1982,M02,2.209
APU0000704211,1982,M03,2.179
APU0000704211,1982,M04,2.247
APU0000704211,1982,M05,2.326
APU0000704211,1982,M06,2.427
APU0000704211,1982,M07,2.503
APU0000704211,1982,M08,2.509
APU0000704211,1982,M09,2.542
APU0000704211,1982,M10,2.531
APU0000704211,1982,M11,2.521
APU0000704211,1982,M12,2.431
APU0000704211,1983,M01,2.475
APU0000704211,1983,M02,2.534
APU0000704211,1983,M03,2.459
APU0000704211,1983,M04,2.432
APU0000704211,1983,M05,2.417
APU0000704211,1983,M06,2.332
APU0000704211,1983,M07,2.358
APU0000704211,1983,M08,2.347
APU0000704211,1983,M09,2.315
APU0000704211,1983,M10,2.302
APU0000704211,1983,M11,2.277
APU0000704211,1983,M12,2.239
APU0000704211,1984,M01,2.409
APU0000704211,1984,M02,2.355
APU0000704211,1984,M03,2.335
APU0000704211,1984,M04,2.349
APU0000704211,1984,M05,2.285
APU0000704211,1984,M06,2.368
APU0000704211,1984,M07,2.434
APU0000704211,1984,M08,2.515
APU0000704211,1984,M09,2.402
APU0000704211,1984,M10,2.369
APU0000704211,1984,M11,2.346
APU0000704211,1984,M12,2.371
APU0000704211,1985,M01,2.369
APU0000704211,1985,M02,2.411
APU0000704211,1985,M03,2.346
APU0000704211,1985,M04,2.269
APU0000704211,1985,M05,2.235
APU0000704211,1985,M06,2.307
APU0000704211,1985,M07,2.349
APU0000704211,1985,M08,2.341
APU0000704211,1985,M09,2.344
APU0000704211,1985,M10,2.303
APU0000704211,1985,M11,2.383
APU0000704211,1985,M12,2.390
APU0000704211,1986,M01,2.473
APU0000704211,1986,M02,2.417
APU0000704211,1986,M03,2.379
APU0000704211,1986,M04,2.363
APU0000704211,1986,M05,2.395
APU0000704211,1986,M06,2.481
APU0000704211,1986,M07,2.757
APU0000704211,1986,M08,2.806
APU0000704211,1986,M09,2.815
APU0000704211,1986,M10,2.738
APU0000704211,1986,M11,2.722
APU0000704211,1986,M12,2.750
APU0000704211,1987,M01,2.722
APU0000704211,1987,M02,2.697
APU0000704211,1987,M03,2.640
APU0000704211,1987,M04,2.739
APU0000704211,1987,M05,2.777
APU0000704211,1987,M06,2.968
APU0000704211,1987,M07,3.009
APU0000704211,1987,M08,2.998
APU0000704211,1987,M09,2.984
APU0000704211,1987,M10,2.922
APU0000704211,1987,M11,2.739
APU0000704211,1987,M12,2.666
APU0000704211,1988,M01,2.663
APU0000704211,1988,M02,2.716
APU0000704211,1988,M03,2.681
APU0000704211,1988,M04,2.708
APU0000704211,1988,M05,2.781
APU0000704211,1988,M06,2.932
APU0000704211,1988,M07,2.895
APU0000704211,1988,M08,2.870
APU0000704211,1988,M09,2.896
APU0000704211,1988,M10,2.769
APU0000704211,1988,M11,2.671
APU0000704211,1988,M12,2.651
APU0000704211,1989,M01,2.781
APU0000704211,1989,M02,2.748
APU0000704211,1989,M03,2.795
APU0000704211,1989,M04,2.798
APU0000704211,1989,M05,2.763
APU0000704211,1989,M06,2.815
APU0000704211,1989,M07,2.909
APU0000704211,1989,M08,2.917
APU0000704211,1989,M09,2.946
APU0000704211,1989,M10,2.894
APU0000704211,1989,M11,2.971
APU0000704211,1989,M12,2.847
APU0000704211,1990,M01,3.025
APU0000704211,1990,M02,2.959
APU0000704211,1990,M03,3.006
APU0000704211,1990,M04,3.155
APU0000704211,1990,M05,3.198
APU0000704211,1990,M06,3.438
APU0000704211,1990,M07,3.473
APU0000704211,1990,M08,3.508
APU0000704211,1990,M09,3.356
APU0000704211,1990,M10,3.368
APU0000704211,1990,M11,3.369
APU0000704211,1990,M12,3.322
APU0000704211,1991,M01,3.245
APU0000704211,1991,M02,3.257
APU0000704211,1991,M03,3.265
APU0000704211,1991,M04,3.272
APU0000704211,1991,M05,3.279
APU0000704211,1991,M06,3.410
APU0000704211,1991,M07,3.418
APU0000704211,1991,M08,3.327
APU0000704211,1991,M09,3.285
APU0000704211,1991,M10,3.179
APU0000704211,1991,M11,3.110
APU0000704211,1991,M12,3.124
APU0000704211,1992,M01,3.081
APU0000704211,1992,M02,3.152
APU0000704211,1992,M03,3.080
APU0000704211,1992,M04,3.093
APU0000704211,1992,M05,3.138
APU0000704211,1992,M06,3.189
APU0000704211,1992,M07,3.232
APU0000704211,1992,M08,3.177
APU0000704211,1992,M09,3.184
APU0000704211,1992,M10,3.156
APU0000704211,1992,M11,3.146
APU0000704211,1992,M12,3.147
APU0000704211,1993,M01,3.143
APU0000704211,1993,M02,3.157
APU0000704211,1993,M03,3.222
APU0000704211,1993,M04,3.220
APU0000704211,1993,M05,3.219
APU0000704211,1993,M06,3.255
APU0000704211,1993,M07,3.343
APU0000704211,1993,M08,3.267
APU0000704211,1993,M09,3.324
APU0000704211,1993,M10,3.263
APU0000704211,1993,M11,3.222
APU0000704211,1993,M12,3.243
APU0000704211,1994,M01,3.256
APU0000704211,1994,M02,3.266
APU0000704211,1994,M03,3.258
APU0000704211,1994,M04,3.249
APU0000704211,1994,M05,3.269
APU0000704211,1994,M06,3.217
APU0000704211,1994,M07,3.246
APU0000704211,1994,M08,3.231
APU0000704211,1994,M09,3.175
APU0000704211,1994,M10,3.185
APU0000704211,1994,M11,3.248
APU0000704211,1994,M12,3.028
APU0000704211,1995,M01,3.160
APU0000704211,1995,M02,3.144
APU0000704211,1995,M03,3.134
APU0000704211,1995,M04,3.184
APU0000704211,1995,M05,3.122
APU0000704211,1995,M06,3.137
APU0000704211,1995,M07,3.212
APU0000704211,1995,M08,3.256
APU0000704211,1995,M09,3.306
APU0000704211,1995,M10,3.287
APU0000704211,1995,M11,3.265
APU0000704211,1995,M12,3.292
APU0000704211,1996,M01,3.347
APU0000704211,1996,M02,3.268
APU0000704211,1996,M03,3.317
APU0000704211,1996,M04,3.338
APU0000704211,1996,M05,3.342
APU0000704211,1996,M06,3.533
APU0000704211,1996,M07,3.481
APU0000704211,1996,M08,3.502
APU0000704211,1996,M09,3.505
APU0000704211,1996,M10,3.474
APU0000704211,1996,M11,3.421
APU0000704211,1996,M12,3.441
APU0000704211,1997,M01,3.465
APU0000704211,1997,M02,3.485
APU0000704211,1997,M03,3.422
APU0000704211,1997,M04,3.445
APU0000704211,1997,M05,3.454
APU0000704211,1997,M06,3.573
APU0000704211,1997,M07,3.502
APU0000704211,1997,M08,3.558
APU0000704211,1997,M09,3.525
APU0000704211,1997,M10,3.487
APU0000704211,1997,M11,3.477
APU0000704211,1997,M12,3.394
APU0000704211,1998,M01,3.342
APU0000704211,1998,M02,3.300
APU0000704211,1998,M03,3.151
APU0000704211,1998,M04,3.243
APU0000704211,1998,M05,3.260
APU0000704211,1998,M06,3.294
APU0000704211,1998,M07,3.311
APU0000704211,1998,M08,3.274
APU0000704211,1998,M09,3.226
APU0000704211,1998,M10,3.177
APU0000704211,1998,M11,3.095
APU0000704211,1998,M12,3.028
APU0000704211,1999,M01,2.951
APU0000704211,1999,M02,3.149
APU0000704211,1999,M03,3.105
APU0000704211,1999,M04,3.122
APU0000704211,1999,M05,3.174
APU0000704211,1999,M06,3.214
APU0000704211,1999,M07,3.187
APU0000704211,1999,M08,3.214
APU0000704211,1999,M09,3.309
APU0000704211,1999,M10,3.199
APU0000704211,1999,M11,3.220
APU0000704211,1999,M12,3.214
APU0000704211,2000,M01,3.211
APU0000704211,2000,M02,3.244
APU0000704211,2000,M03,3.288
APU0000704211,2000,M04,3.330
APU0000704211,2000,M05,3.367
APU0000704211,2000,M06,3.328
APU0000704211,2000,M07,3.406
APU0000704211,2000,M08,3.482
APU0000704211,2000,M09,3.456
APU0000704211,2000,M10,3.439
APU0000704211,2000,M11,3.397
APU0000704211,2000,M12,3.463
APU0000704211,2001,M01,3.416
APU0000704211,2001,M02,3.444
APU0000704211,2001,M03,3.452
APU0000704211,2001,M04,3.486
APU0000704211,2001,M05,3.499
APU0000704211,2001,M06,3.546
APU0000704211,2001,M07,3.592
APU0000704211,2001,M08,3.601
APU0000704211,2001,M09,3.558
APU0000704211,2001,M10,3.571
APU0000704211,2001,M11,3.556
APU0000704211,2001,M12,3.531
APU0000704211,2002,M01,3.554
APU0000704211,2002,M02,3.485
APU0000704211,2002,M03,3.548
APU0000704211,2002,M04,3.475
APU0000704211,2002,M05,3.490
APU0000704211,2002,M06,3.407
APU0000704211,2002,M07,3.420
APU0000704211,2002,M08,3.429
APU0000704211,2002,M09,3.259
APU0000704211,2002,M10,3.272
APU0000704211,2002,M11,3.176
APU0000704211,2002,M12,3.323
APU0000704211,2003,M01,3.228
APU0000704211,2003,M02,3.302
APU0000704211,2003,M03,3.287
APU0000704211,2003,M04,3.393
APU0000704211,2003,M05,3.042
APU0000704211,2003,M06,3.058
APU0000704211,2003,M07,3.085
APU0000704211,2003,M08,3.036
APU0000704211,2003,M09,3.088
APU0000704211,2003,M10,3.080
APU0000704211,2003,M11,3.011
APU0000704211,2003,M12,2.907
APU0000704211,2004,M01,3.008
APU0000704211,2004,M02,3.037
APU0000704211,2004,M03,3.056
APU0000704211,2004,M04,3.047
APU0000704211,2004,M05,3.045
APU0000704211,2004,M06,3.167
APU0000704211,2004,M07,3.289
APU0000704211,2004,M08,3.155
APU0000704211,2004,M09,3.226
APU0000704211,2004,M10,3.011
APU0000704211,2004,M11,3.005
APU0000704211,2004,M12,2.885
APU0000704211,2005,M01,2.975
APU0000704211,2005,M02,2.952
APU0000704211,2005,M03,3.034
APU0000704211,2005,M04,3.046
APU0000704211,2005,M05,3.406
APU0000704211,2005,M06,3.454
APU0000704211,2005,M07,3.437
APU0000704211,2005,M08,3.428
APU0000704211,2005,M09,3.355
APU0000704211,2005,M10,3.300
APU0000704211,2005,M11,3.332
APU0000704211,2005,M12,3.279
APU0000704211,2006,M01,3.150
APU0000704211,2006,M02,3.327
APU0000704211,2006,M03,3.433
APU0000704211,2006,M04,3.348
APU0000704211,2006,M05,3.288
APU0000704211,2006,M06,3.305
APU0000704211,2006,M07,3.310
APU0000704211,2006,M08,3.312
APU0000704211,2006,M09,3.383
APU0000704211,2006,M10,3.216
APU0000704211,2006,M11,3.168
APU0000704211,2006,M12,3.153
APU0000704211,2007,M01,3.172
APU0000704211,2007,M02,3.141
APU0000704211,2007,M03,3.265
APU0000704211,2007,M04,3.226
APU0000704211,2007,M05,3.277
APU0000704211,2007,M06,3.333
APU0000704211,2007,M07,3.511
APU0000704211,2007,M08,3.348
APU0000704211,2007,M09,3.311
APU0000704211,2007,M10,3.231
APU0000704211,2007,M11,3.314
APU0000704211,2007,M12,3.378
APU0000704211,2008,M01,3.314
APU0000704211,2008,M02,3.358
APU0000704211,2008,M03,3.326
APU0000704211,2008,M04,3.307
APU0000704211,2008,M05,3.460
APU0000704211,2008,M06,3.483
APU0000704211,2008,M07,3.638
APU0000704211,2008,M08,3.485
APU0000704211,2008,M09,3.567
APU0000704211,2008,M10,3.478
APU0000704211,2008,M11,3.526
APU0000704211,2008,M12,3.538
APU0000704211,2009,M01,3.392
APU0000704211,2009,M02,3.455
APU0000704211,2009,M03,3.423
APU0000704211,2009,M04,3.417
APU0000704211,2009,M05,3.321
APU0000704211,2009,M06,3.404
APU0000704211,2009,M07,3.382
APU0000704211,2009,M08,3.314
APU0000704211,2009,M09,3.296
APU0000704211,2009,M10,3.246
APU0000704211,2009,M11,3.202
APU0000704211,2009,M12,3.294
APU0000704211,2010,M01,3.228
APU0000704211,2010,M02,3.464
APU0000704211,2010,M03,3.323
APU0000704211,2010,M04,3.292
APU0000704211,2010,M05,3.452
APU0000704211,2010,M06,3.348
APU0000704211,2010,M07,3.552
APU0000704211,2010,M08,3.528
APU0000704211,2010,M09,3.536
APU0000704211,2010,M10,3.586
APU0000704211,2010,M11,3.556
APU0000704211,2010,M12,3.579
APU0000704211,2011,M01,3.673
APU0000704211,2011,M02,3.751
APU0000704211,2011,M03,3.749
APU0000704211,2011,M04,3.628
APU0000704211,2011,M05,3.717
APU0000704211,2011,M06,3.737
APU0000704211,2011,M07,3.654
APU0000704211,2011,M08,3.745
APU0000704211,2011,M09,3.831
APU0000704211,2011,M10,3.814
APU0000704211,2011,M11,3.748
APU0000704211,2011,M12,3.658
APU0000704211,2012,M01,3.850
APU0000704211,2012,M02,3.734
APU0000704211,2012,M03,3.709
APU0000704211,2012,M04,3.724
APU0000704211,2012,M05,3.761
APU0000704211,2012,M06,3.662
APU0000704211,2012,M07,3.787
APU0000704211,2012,M08,3.825
APU0000704211,2012,M09,3.794
APU0000704211,2012,M10,3.655
APU0000704211,2012,M11,3.690
APU0000704211,2012,M12,3.572
APU0000704211,2013,M01,3.576
APU0000704211,2013,M02,3.726
APU0000704211,2013,M03,3.651
APU0000704211,2013,M04,3.655
APU0000704211,2013,M05,3.631
APU0000704211,2013,M06,3.502
APU0000704211,2013,M07,3.637
APU0000704211,2013,M08,3.584
APU0000704211,2013,M09,3.801
APU0000704211,2013,M10,3.693
APU0000704211,2013,M11,3.823
APU0000704211,2013,M12,3.921
APU0000704211,2014,M01,3.831
APU0000704211,2014,M02,3.669
APU0000704211,2014,M03,4.095
APU0000704211,2014,M04,4.200
APU0000704211,2014,M05,4.308
APU0000704211,2014,M06,4.165
APU0000704211,2014,M07,4.270
APU0000704211,2014,M08,4.353
APU0000704211,2014,M09,4.414
APU0000704211,2014,M10,4.308
APU0000704211,2014,M11,4.389
APU0000704211,2014,M12,4.261
APU0000704211,2015,M01,4.167
APU0000704211,2015,M02,4.138
APU0000704211,2015,M03,4.224
APU0000704211,2015,M04,4.141
APU0000704211,2015,M05,4.132
APU0000704211,2015,M06,3.965
APU0000704211,2015,M07,4.062
APU0000704211,2015,M08,4.042
APU0000704211,2015,M09,4.107
APU0000704211,2015,M10,4.106
APU0000704211,2015,M11,4.104
APU0000704211,2015,M12,4.089
APU0000704211,2016,M01,3.714
APU0000704211,2016,M02,3.841
APU0000704211,2016,M03,3.901
APU0000704211,2016,M04,4.028
APU0000704211,2016,M05,3.968
APU0000704211,2016,M06,3.940
APU0000704211,2016,M07,3.986
APU0000704211,2016,M08,3.926
APU0000704211,2016,M09,3.890
APU0000704211,2016,M10,3.920
APU0000704211,2016,M11,3.703
APU0000704211,2016,M12,3.633
APU0000704211,2017,M01,3.639
APU0000704211,2017,M02,3.625
APU0000704211,2017,M03,3.699
APU0000704211,2017,M04,3.639
APU0000704211,2017,M05,3.746
APU0000704211,2017,M06,3.625
APU0000704211,2017,M07,3.793
APU0000704211,2017,M08,3.760
APU0000704211,2017,M09,3.896
APU0000704211,2017,M10,3.708
APU0000704211,2017,M11,3.870
APU0000704211,2017,M12,3.809
APU0000704211,2018,M01,3.814
APU0000704211,2018,M02,3.718
APU0000704211,2018,M03,3.702
APU0000704211,2018,M04,4.004
APU0000704211,2018,M05,3.829
APU0000704211,2018,M06,3.811
APU0000704211,2018,M07,3.558
APU0000704211,2018,M08,3.843
APU0000704211,2018,M09,3.799
APU0000704211,2018,M10,3.889
APU0000704211,2018,M11,3.736
APU0000704211,2018,M12,3.947
APU0000704211,2019,M01,3.576
APU0000704211,2019,M02,3.852
APU0000704211,2019,M03,3.648
APU0000704211,2019,M04,3.779
APU0000704211,2019,M05,4.019
APU0000704211,2019,M06,3.941
APU0000704211,2019,M07,4.041
APU0000704211,2019,M08,3.982
APU0000704211,2019,M09,3.841
APU0000704211,2019,M10,3.773
APU0000704211,2019,M11,3.850
APU0000704211,2019,M12,3.772
APU0000704211,2020,M01,3.781
APU0000704211,2020,M02,3.920
APU0000704211,2020,M03,3.907
APU0000704211,2020,M04,4.148
APU0000704211,2020,M05,4.371
APU0000704211,2020,M06,4.544
APU0000704211,2020,M07,4.351
APU0000704211,2020,M08,4.060
APU0000704211,2020,M09,4.066
APU0000704211,2020,M10,3.947
APU0000704211,2020,M11,4.054
APU0000704211,2020,M12,4.248
APU0000704211,2021,M01,3.943
APU0000704211,2021,M02,3.963
APU0000704211,2021,M03,4.067
APU0000704211,2021,M04,4.161
APU0000704211,2021,M05,4.162
APU0000704211,2021,M06,4.351
APU0000704211,2021,M07,4.322
APU0000704211,2021,M08,4.326
APU0000704211,2021,M09,4.233
APU0000704211,2021,M10,4.394
APU0000704211,2021,M11,4.356
APU0000704211,2021,M12,4.357
APU0000704211,2022,M01,4.392
APU0000704211,2022,M02,4.367
APU0000704211,2022,M03,4.679
APU0000704211,2022,M04,4.587
APU0000704211,2022,M05,4.463
APU0000704211,2022,M06,4.468
APU0000704211,2022,M07,4.620
