Series Id,Year,Period,Value
APU0000712112,1986,M03,0.207
APU0000712112,1986,M04,0.215
APU0000712112,1986,M05,0.225
APU0000712112,1986,M06,0.256
APU0000712112,1986,M07,0.288
APU0000712112,1986,M08,0.291
APU0000712112,1986,M09,0.266
APU0000712112,1986,M10,0.256
APU0000712112,1986,M11,0.257
APU0000712112,1986,M12,0.262
APU0000712112,1987,M03,0.264
APU0000712112,1987,M04,0.276
APU0000712112,1987,M05,0.300
APU0000712112,1987,M06,0.320
APU0000712112,1987,M07,0.323
APU0000712112,1987,M08,0.288
APU0000712112,1987,M09,0.256
APU0000712112,1987,M10,0.244
APU0000712112,1987,M11,0.245
APU0000712112,1987,M12,0.247
APU0000712112,1988,M01,0.244
APU0000712112,1988,M02,0.243
APU0000712112,1988,M03,0.240
APU0000712112,1988,M04,0.244
APU0000712112,1988,M05,0.247
APU0000712112,1988,M06,0.256
APU0000712112,1988,M07,0.257
APU0000712112,1988,M08,0.268
APU0000712112,1988,M09,0.268
APU0000712112,1988,M10,0.279
APU0000712112,1988,M11,0.287
APU0000712112,1988,M12,0.295
APU0000712112,1989,M01,0.294
APU0000712112,1989,M02,0.312
APU0000712112,1989,M03,0.335
APU0000712112,1989,M04,0.360
APU0000712112,1989,M05,0.368
APU0000712112,1989,M06,0.374
APU0000712112,1989,M07,0.392
APU0000712112,1989,M08,0.391
APU0000712112,1989,M09,0.341
APU0000712112,1989,M10,0.313
APU0000712112,1989,M11,0.307
APU0000712112,1989,M12,0.313
APU0000712112,1990,M01,0.333
APU0000712112,1990,M02,0.355
APU0000712112,1990,M03,0.387
APU0000712112,1990,M04,0.434
APU0000712112,1990,M05,0.427
APU0000712112,1990,M06,0.422
APU0000712112,1990,M07,0.405
APU0000712112,1990,M08,0.381
APU0000712112,1990,M09,0.348
APU0000712112,1990,M10,0.322
APU0000712112,1990,M11,0.315
APU0000712112,1990,M12,0.318
APU0000712112,1991,M01,0.332
APU0000712112,1991,M02,0.330
APU0000712112,1991,M03,0.327
APU0000712112,1991,M04,0.339
APU0000712112,1991,M05,0.343
APU0000712112,1991,M06,0.386
APU0000712112,1991,M07,0.376
APU0000712112,1991,M08,0.350
APU0000712112,1991,M09,0.314
APU0000712112,1991,M10,0.290
APU0000712112,1991,M11,0.287
APU0000712112,1991,M12,0.283
APU0000712112,1992,M01,0.286
APU0000712112,1992,M02,0.285
APU0000712112,1992,M03,0.280
APU0000712112,1992,M04,0.285
APU0000712112,1992,M05,0.292
APU0000712112,1992,M06,0.294
APU0000712112,1992,M07,0.328
APU0000712112,1992,M08,0.352
APU0000712112,1992,M09,0.330
APU0000712112,1992,M10,0.313
APU0000712112,1992,M11,0.301
APU0000712112,1992,M12,0.308
APU0000712112,1993,M01,0.311
APU0000712112,1993,M02,0.311
APU0000712112,1993,M03,0.327
APU0000712112,1993,M04,0.354
APU0000712112,1993,M05,0.360
APU0000712112,1993,M06,0.379
APU0000712112,1993,M07,0.376
APU0000712112,1993,M08,0.370
APU0000712112,1993,M09,0.341
APU0000712112,1993,M10,0.341
APU0000712112,1993,M11,0.347
APU0000712112,1993,M12,0.364
APU0000712112,1994,M01,0.369
APU0000712112,1994,M02,0.373
APU0000712112,1994,M03,0.395
APU0000712112,1994,M04,0.413
APU0000712112,1994,M05,0.389
APU0000712112,1994,M06,0.390
APU0000712112,1994,M07,0.401
APU0000712112,1994,M08,0.389
APU0000712112,1994,M09,0.355
APU0000712112,1994,M10,0.340
APU0000712112,1994,M11,0.339
APU0000712112,1994,M12,0.335
APU0000712112,1995,M01,0.339
APU0000712112,1995,M02,0.337
APU0000712112,1995,M03,0.348
APU0000712112,1995,M04,0.359
APU0000712112,1995,M05,0.357
APU0000712112,1995,M06,0.396
APU0000712112,1995,M07,0.439
APU0000712112,1995,M08,0.425
APU0000712112,1995,M09,0.399
APU0000712112,1995,M10,0.396
APU0000712112,1995,M11,0.377
APU0000712112,1995,M12,0.380
APU0000712112,1996,M01,0.385
APU0000712112,1996,M02,0.385
APU0000712112,1996,M03,0.392
APU0000712112,1996,M04,0.394
APU0000712112,1996,M05,0.392
APU0000712112,1996,M06,0.401
APU0000712112,1996,M07,0.408
APU0000712112,1996,M08,0.403
APU0000712112,1996,M09,0.375
APU0000712112,1996,M10,0.359
APU0000712112,1996,M11,0.343
APU0000712112,1996,M12,0.335
APU0000712112,1997,M01,0.335
APU0000712112,1997,M02,0.331
APU0000712112,1997,M03,0.330
APU0000712112,1997,M04,0.335
APU0000712112,1997,M05,0.338
APU0000712112,1997,M06,0.345
APU0000712112,1997,M07,0.367
APU0000712112,1997,M08,0.388
APU0000712112,1997,M09,0.388
APU0000712112,1997,M10,0.374
APU0000712112,1997,M11,0.366
APU0000712112,1997,M12,0.370
APU0000712112,1998,M01,0.362
APU0000712112,1998,M02,0.362
APU0000712112,1998,M03,0.368
APU0000712112,1998,M04,0.369
APU0000712112,1998,M05,0.381
APU0000712112,1998,M06,0.390
APU0000712112,1998,M07,0.392
APU0000712112,1998,M08,0.382
APU0000712112,1998,M09,0.376
APU0000712112,1998,M10,0.379
APU0000712112,1998,M11,0.370
APU0000712112,1998,M12,0.375
APU0000712112,1999,M01,0.381
APU0000712112,1999,M02,0.382
APU0000712112,1999,M03,0.384
APU0000712112,1999,M04,0.380
APU0000712112,1999,M05,0.388
APU0000712112,1999,M06,0.391
APU0000712112,1999,M07,0.411
APU0000712112,1999,M08,0.429
APU0000712112,1999,M09,0.413
APU0000712112,1999,M10,0.393
APU0000712112,1999,M11,0.384
APU0000712112,1999,M12,0.395
APU0000712112,2000,M01,0.392
APU0000712112,2000,M02,0.401
APU0000712112,2000,M03,0.393
APU0000712112,2000,M04,0.388
APU0000712112,2000,M05,0.379
APU0000712112,2000,M06,0.376
APU0000712112,2000,M07,0.390
APU0000712112,2000,M08,0.400
APU0000712112,2000,M09,0.374
APU0000712112,2000,M10,0.367
APU0000712112,2000,M11,0.351
APU0000712112,2000,M12,0.347
APU0000712112,2001,M01,0.355
APU0000712112,2001,M02,0.348
APU0000712112,2001,M03,0.356
APU0000712112,2001,M04,0.362
APU0000712112,2001,M05,0.363
APU0000712112,2001,M06,0.388
APU0000712112,2001,M07,0.409
APU0000712112,2001,M08,0.439
APU0000712112,2001,M09,0.422
APU0000712112,2001,M10,0.418
APU0000712112,2001,M11,0.410
APU0000712112,2001,M12,0.410
APU0000712112,2002,M01,0.426
APU0000712112,2002,M02,0.447
APU0000712112,2002,M03,0.465
APU0000712112,2002,M04,0.493
APU0000712112,2002,M05,0.508
APU0000712112,2002,M06,0.517
APU0000712112,2002,M07,0.549
APU0000712112,2002,M08,0.559
APU0000712112,2002,M09,0.511
APU0000712112,2002,M10,0.492
APU0000712112,2002,M11,0.473
APU0000712112,2002,M12,0.479
APU0000712112,2003,M01,0.483
APU0000712112,2003,M02,0.472
APU0000712112,2003,M03,0.463
APU0000712112,2003,M04,0.466
APU0000712112,2003,M05,0.466
APU0000712112,2003,M06,0.462
APU0000712112,2003,M07,0.464
APU0000712112,2003,M08,0.464
APU0000712112,2003,M09,0.444
APU0000712112,2003,M10,0.441
APU0000712112,2003,M11,0.438
APU0000712112,2003,M12,0.439
APU0000712112,2004,M01,0.457
APU0000712112,2004,M02,0.446
APU0000712112,2004,M03,0.459
APU0000712112,2004,M04,0.461
APU0000712112,2004,M05,0.435
APU0000712112,2004,M06,0.462
APU0000712112,2004,M07,0.471
APU0000712112,2004,M08,0.464
APU0000712112,2004,M09,0.446
APU0000712112,2004,M10,0.450
APU0000712112,2004,M11,0.443
APU0000712112,2004,M12,0.449
APU0000712112,2005,M01,0.458
APU0000712112,2005,M02,0.448
APU0000712112,2005,M03,0.440
APU0000712112,2005,M04,0.450
APU0000712112,2005,M05,0.452
APU0000712112,2005,M06,0.455
APU0000712112,2005,M07,0.477
APU0000712112,2005,M08,0.491
APU0000712112,2005,M09,0.482
APU0000712112,2005,M10,0.505
APU0000712112,2005,M11,0.499
APU0000712112,2005,M12,0.498
APU0000712112,2006,M01,0.504
APU0000712112,2006,M02,0.517
APU0000712112,2006,M03,0.517
APU0000712112,2006,M04,0.522
APU0000712112,2006,M05,0.533
APU0000712112,2006,M06,0.541
APU0000712112,2006,M07,0.556
APU0000712112,2006,M08,0.572
APU0000712112,2006,M09,0.563
APU0000712112,2006,M10,0.545
APU0000712112,2006,M11,0.517
APU0000712112,2006,M12,0.517
APU0000712112,2007,M01,0.517
APU0000712112,2007,M02,0.514
APU0000712112,2007,M03,0.518
APU0000712112,2007,M04,0.529
APU0000712112,2007,M05,0.530
APU0000712112,2007,M06,0.538
APU0000712112,2007,M07,0.545
APU0000712112,2007,M08,0.522
APU0000712112,2007,M09,0.520
APU0000712112,2007,M10,0.517
APU0000712112,2007,M11,0.527
APU0000712112,2007,M12,0.520
APU0000712112,2008,M01,0.525
APU0000712112,2008,M02,0.531
APU0000712112,2008,M03,0.542
APU0000712112,2008,M04,0.546
APU0000712112,2008,M05,0.562
APU0000712112,2008,M06,0.598
APU0000712112,2008,M07,0.672
APU0000712112,2008,M08,0.724
APU0000712112,2008,M09,0.763
APU0000712112,2008,M10,0.731
APU0000712112,2008,M11,0.699
APU0000712112,2008,M12,0.678
APU0000712112,2009,M01,0.676
APU0000712112,2009,M02,0.660
APU0000712112,2009,M03,0.652
APU0000712112,2009,M04,0.620
APU0000712112,2009,M05,0.616
APU0000712112,2009,M06,0.634
APU0000712112,2009,M07,0.641
APU0000712112,2009,M08,0.638
APU0000712112,2009,M09,0.612
APU0000712112,2009,M10,0.592
APU0000712112,2009,M11,0.561
APU0000712112,2009,M12,0.560
APU0000712112,2010,M01,0.563
APU0000712112,2010,M02,0.555
APU0000712112,2010,M03,0.557
APU0000712112,2010,M04,0.553
APU0000712112,2010,M05,0.571
APU0000712112,2010,M06,0.585
APU0000712112,2010,M07,0.593
APU0000712112,2010,M08,0.621
APU0000712112,2010,M09,0.597
APU0000712112,2010,M10,0.579
APU0000712112,2010,M11,0.568
APU0000712112,2010,M12,0.582
APU0000712112,2011,M01,0.603
