Series Id,Year,Period,Value
APU0000701312,1980,M01,0.484
APU0000701312,1980,M02,0.488
APU0000701312,1980,M03,0.489
APU0000701312,1980,M04,0.511
APU0000701312,1980,M05,0.510
APU0000701312,1980,M06,0.521
APU0000701312,1980,M07,0.523
APU0000701312,1980,M08,0.518
APU0000701312,1980,M09,0.517
APU0000701312,1980,M10,0.519
APU0000701312,1980,M11,0.520
APU0000701312,1980,M12,0.539
APU0000701312,1981,M01,0.551
APU0000701312,1981,M02,0.554
APU0000701312,1981,M03,0.563
APU0000701312,1981,M04,0.572
APU0000701312,1981,M05,0.575
APU0000701312,1981,M06,0.572
APU0000701312,1981,M07,0.574
APU0000701312,1981,M08,0.577
APU0000701312,1981,M09,0.567
APU0000701312,1981,M10,0.556
APU0000701312,1981,M11,0.550
APU0000701312,1981,M12,0.545
APU0000701312,1982,M01,0.545
APU0000701312,1982,M02,0.547
APU0000701312,1982,M03,0.516
APU0000701312,1982,M04,0.504
APU0000701312,1982,M05,0.508
APU0000701312,1982,M06,0.499
APU0000701312,1982,M07,0.496
APU0000701312,1982,M08,0.494
APU0000701312,1982,M09,0.491
APU0000701312,1982,M10,0.488
APU0000701312,1982,M11,0.487
APU0000701312,1982,M12,0.482
APU0000701312,1983,M01,0.486
APU0000701312,1983,M02,0.473
APU0000701312,1983,M03,0.468
APU0000701312,1983,M04,0.470
APU0000701312,1983,M05,0.468
APU0000701312,1983,M06,0.469
APU0000701312,1983,M07,0.475
APU0000701312,1983,M08,0.468
APU0000701312,1983,M09,0.475
APU0000701312,1983,M10,0.473
APU0000701312,1983,M11,0.474
APU0000701312,1983,M12,0.479
APU0000701312,1984,M01,0.484
APU0000701312,1984,M02,0.485
APU0000701312,1984,M03,0.476
APU0000701312,1984,M04,0.471
APU0000701312,1984,M05,0.471
APU0000701312,1984,M06,0.477
APU0000701312,1984,M07,0.484
APU0000701312,1984,M08,0.479
APU0000701312,1984,M09,0.478
APU0000701312,1984,M10,0.480
APU0000701312,1984,M11,0.479
APU0000701312,1984,M12,0.472
APU0000701312,1985,M01,0.475
APU0000701312,1985,M02,0.472
APU0000701312,1985,M03,0.476
APU0000701312,1985,M04,0.475
APU0000701312,1985,M05,0.472
APU0000701312,1985,M06,0.467
APU0000701312,1985,M07,0.471
APU0000701312,1985,M08,0.473
APU0000701312,1985,M09,0.473
APU0000701312,1985,M10,0.468
APU0000701312,1985,M11,0.466
APU0000701312,1985,M12,0.450
APU0000701312,1986,M01,0.456
APU0000701312,1986,M02,0.455
APU0000701312,1986,M03,0.453
APU0000701312,1986,M04,0.453
APU0000701312,1986,M05,0.451
APU0000701312,1986,M06,0.446
APU0000701312,1986,M07,0.453
APU0000701312,1986,M08,0.443
APU0000701312,1986,M09,0.434
APU0000701312,1986,M10,0.436
APU0000701312,1986,M11,0.432
APU0000701312,1986,M12,0.434
APU0000701312,1987,M01,0.416
APU0000701312,1987,M02,0.411
APU0000701312,1987,M03,0.394
APU0000701312,1987,M04,0.398
APU0000701312,1987,M05,0.395
APU0000701312,1987,M06,0.393
APU0000701312,1987,M07,0.391
APU0000701312,1987,M08,0.403
APU0000701312,1987,M09,0.395
APU0000701312,1987,M10,0.395
APU0000701312,1987,M11,0.405
APU0000701312,1987,M12,0.422
APU0000701312,1988,M01,0.446
APU0000701312,1988,M02,0.462
APU0000701312,1988,M03,0.468
APU0000701312,1988,M04,0.488
APU0000701312,1988,M05,0.497
APU0000701312,1988,M06,0.492
APU0000701312,1988,M07,0.507
APU0000701312,1988,M08,0.506
APU0000701312,1988,M09,0.503
APU0000701312,1988,M10,0.475
APU0000701312,1988,M11,0.485
APU0000701312,1988,M12,0.484
APU0000701312,1989,M01,0.489
APU0000701312,1989,M02,0.495
APU0000701312,1989,M03,0.488
APU0000701312,1989,M04,0.482
APU0000701312,1989,M05,0.485
APU0000701312,1989,M06,0.486
APU0000701312,1989,M07,0.514
APU0000701312,1989,M08,0.509
APU0000701312,1989,M09,0.520
APU0000701312,1989,M10,0.513
APU0000701312,1989,M11,0.497
APU0000701312,1989,M12,0.504
APU0000701312,1990,M01,0.501
APU0000701312,1990,M02,0.476
APU0000701312,1990,M03,0.502
APU0000701312,1990,M04,0.497
APU0000701312,1990,M05,0.496
APU0000701312,1990,M06,0.494
APU0000701312,1990,M07,0.494
APU0000701312,1990,M08,0.497
APU0000701312,1990,M09,0.505
APU0000701312,1990,M10,0.497
APU0000701312,1990,M11,0.507
APU0000701312,1990,M12,0.491
APU0000701312,1991,M01,0.494
APU0000701312,1991,M02,0.492
APU0000701312,1991,M03,0.498
APU0000701312,1991,M04,0.502
APU0000701312,1991,M05,0.502
APU0000701312,1991,M06,0.506
APU0000701312,1991,M07,0.503
APU0000701312,1991,M08,0.494
APU0000701312,1991,M09,0.506
APU0000701312,1991,M10,0.508
APU0000701312,1991,M11,0.517
APU0000701312,1991,M12,0.510
APU0000701312,1992,M01,0.516
APU0000701312,1992,M02,0.515
APU0000701312,1992,M03,0.515
APU0000701312,1992,M04,0.522
APU0000701312,1992,M05,0.524
APU0000701312,1992,M06,0.520
APU0000701312,1992,M07,0.540
APU0000701312,1992,M08,0.537
APU0000701312,1992,M09,0.542
APU0000701312,1992,M10,0.543
APU0000701312,1992,M11,0.536
APU0000701312,1992,M12,0.525
APU0000701312,1993,M01,0.526
APU0000701312,1993,M02,0.530
APU0000701312,1993,M03,0.525
APU0000701312,1993,M04,0.522
APU0000701312,1993,M05,0.518
APU0000701312,1993,M06,0.518
APU0000701312,1993,M07,0.527
APU0000701312,1993,M08,0.507
APU0000701312,1993,M09,0.494
APU0000701312,1993,M10,0.495
APU0000701312,1993,M11,0.490
APU0000701312,1993,M12,0.495
APU0000701312,1994,M01,0.515
APU0000701312,1994,M02,0.543
APU0000701312,1994,M03,0.556
APU0000701312,1994,M04,0.575
APU0000701312,1994,M05,0.562
APU0000701312,1994,M06,0.555
APU0000701312,1994,M07,0.566
APU0000701312,1994,M08,0.546
APU0000701312,1994,M09,0.534
APU0000701312,1994,M10,0.534
APU0000701312,1994,M11,0.541
APU0000701312,1994,M12,0.534
APU0000701312,1995,M01,0.523
APU0000701312,1995,M02,0.518
APU0000701312,1995,M03,0.511
APU0000701312,1995,M04,0.515
APU0000701312,1995,M05,0.518
APU0000701312,1995,M06,0.518
APU0000701312,1995,M07,0.519
APU0000701312,1995,M08,0.526
APU0000701312,1995,M09,0.523
APU0000701312,1995,M10,0.535
APU0000701312,1995,M11,0.535
APU0000701312,1995,M12,0.553
APU0000701312,1996,M01,0.552
APU0000701312,1996,M02,0.552
APU0000701312,1996,M03,0.556
APU0000701312,1996,M04,0.538
APU0000701312,1996,M05,0.548
APU0000701312,1996,M06,0.537
APU0000701312,1996,M07,0.537
APU0000701312,1996,M08,0.541
APU0000701312,1996,M09,0.540
APU0000701312,1996,M10,0.555
APU0000701312,1996,M11,0.552
APU0000701312,1996,M12,0.546
APU0000701312,1997,M01,0.560
APU0000701312,1997,M02,0.565
APU0000701312,1997,M03,0.564
APU0000701312,1997,M04,0.558
APU0000701312,1997,M05,0.563
APU0000701312,1997,M06,0.558
APU0000701312,1997,M07,0.564
APU0000701312,1997,M08,0.569
APU0000701312,1997,M09,0.564
APU0000701312,1997,M10,0.568
APU0000701312,1997,M11,0.572
APU0000701312,1997,M12,0.575
APU0000701312,1998,M01,0.546
APU0000701312,1998,M02,0.547
APU0000701312,1998,M03,0.545
APU0000701312,1998,M04,0.544
APU0000701312,1998,M05,0.541
APU0000701312,1998,M06,0.536
APU0000701312,1998,M07,0.540
APU0000701312,1998,M08,0.536
APU0000701312,1998,M09,0.544
APU0000701312,1998,M10,0.542
APU0000701312,1998,M11,0.539
APU0000701312,1998,M12,0.543
APU0000701312,1999,M01,0.551
APU0000701312,1999,M02,0.540
APU0000701312,1999,M03,0.544
APU0000701312,1999,M04,0.548
APU0000701312,1999,M05,0.551
APU0000701312,1999,M06,0.553
APU0000701312,1999,M07,0.550
APU0000701312,1999,M08,0.557
APU0000701312,1999,M09,0.547
APU0000701312,1999,M10,0.511
APU0000701312,1999,M11,0.488
APU0000701312,1999,M12,0.502
APU0000701312,2000,M01,0.499
APU0000701312,2000,M02,0.492
APU0000701312,2000,M03,0.481
APU0000701312,2000,M04,0.490
APU0000701312,2002,M05,0.472
APU0000701312,2002,M06,0.470
APU0000701312,2002,M07,0.475
APU0000701312,2002,M08,0.482
APU0000701312,2002,M09,0.471
APU0000701312,2002,M10,0.466
APU0000701312,2002,M11,0.461
APU0000701312,2002,M12,0.458
APU0000701312,2003,M01,0.441
APU0000701312,2003,M02,0.447
APU0000701312,2003,M03,0.440
APU0000701312,2003,M04,0.440
APU0000701312,2003,M05,0.429
APU0000701312,2003,M06,0.428
APU0000701312,2003,M07,0.451
APU0000701312,2003,M08,0.454
APU0000701312,2003,M09,0.461
APU0000701312,2003,M10,0.463
APU0000701312,2003,M11,0.490
APU0000701312,2003,M12,0.482
APU0000701312,2004,M01,0.482
APU0000701312,2004,M02,0.487
APU0000701312,2004,M03,0.504
APU0000701312,2004,M04,0.503
APU0000701312,2004,M05,0.528
APU0000701312,2004,M06,0.538
APU0000701312,2004,M07,0.560
APU0000701312,2004,M08,0.556
APU0000701312,2004,M09,0.565
APU0000701312,2004,M10,0.569
APU0000701312,2004,M11,0.572
APU0000701312,2004,M12,0.572
APU0000701312,2005,M01,0.597
APU0000701312,2005,M02,0.575
APU0000701312,2005,M03,0.570
APU0000701312,2005,M04,0.584
APU0000701312,2005,M05,0.552
APU0000701312,2005,M06,0.547
APU0000701312,2005,M07,0.553
APU0000701312,2005,M08,0.532
APU0000701312,2005,M09,0.544
APU0000701312,2005,M10,0.541
APU0000701312,2005,M11,0.530
APU0000701312,2005,M12,0.524
APU0000701312,2006,M01,0.532
APU0000701312,2006,M02,0.534
APU0000701312,2006,M03,0.534
APU0000701312,2006,M04,0.538
APU0000701312,2006,M05,0.549
APU0000701312,2006,M06,0.549
APU0000701312,2006,M07,0.561
APU0000701312,2006,M08,0.565
APU0000701312,2006,M09,0.550
APU0000701312,2006,M10,0.568
APU0000701312,2006,M11,0.555
APU0000701312,2006,M12,0.555
APU0000701312,2007,M01,0.563
APU0000701312,2007,M02,0.554
APU0000701312,2007,M03,0.548
APU0000701312,2007,M04,0.556
APU0000701312,2007,M05,0.544
APU0000701312,2007,M06,0.529
APU0000701312,2007,M07,0.547
APU0000701312,2007,M08,0.551
APU0000701312,2007,M09,0.546
APU0000701312,2007,M10,0.555
APU0000701312,2007,M11,0.544
APU0000701312,2007,M12,0.551
APU0000701312,2008,M01,0.568
APU0000701312,2008,M02,0.583
APU0000701312,2008,M03,0.584
APU0000701312,2008,M04,0.608
APU0000701312,2008,M05,0.704
APU0000701312,2008,M06,0.753
APU0000701312,2008,M07,0.795
APU0000701312,2008,M08,0.854
APU0000701312,2008,M09,0.853
APU0000701312,2008,M10,0.856
APU0000701312,2008,M11,0.820
APU0000701312,2008,M12,0.813
APU0000701312,2009,M01,0.797
APU0000701312,2009,M02,0.783
APU0000701312,2009,M03,0.774
APU0000701312,2009,M04,0.757
APU0000701312,2009,M05,0.773
APU0000701312,2009,M06,0.766
APU0000701312,2009,M07,0.756
APU0000701312,2009,M08,0.752
APU0000701312,2009,M09,0.760
APU0000701312,2009,M10,0.751
APU0000701312,2009,M11,0.768
APU0000701312,2009,M12,0.751
APU0000701312,2010,M01,0.754
APU0000701312,2010,M02,0.759
APU0000701312,2010,M03,0.764
APU0000701312,2010,M04,0.759
APU0000701312,2010,M05,0.746
APU0000701312,2010,M06,0.739
APU0000701312,2010,M07,0.749
APU0000701312,2010,M08,0.743
APU0000701312,2010,M09,0.723
APU0000701312,2010,M10,0.714
APU0000701312,2010,M11,0.710
APU0000701312,2010,M12,0.728
APU0000701312,2011,M01,0.742
APU0000701312,2011,M02,0.747
APU0000701312,2011,M03,0.745
APU0000701312,2011,M04,0.734
APU0000701312,2011,M05,0.767
APU0000701312,2011,M06,0.755
APU0000701312,2011,M07,0.716
APU0000701312,2011,M08,0.715
APU0000701312,2011,M09,0.719
APU0000701312,2011,M10,0.767
APU0000701312,2011,M11,0.752
APU0000701312,2011,M12,0.729
APU0000701312,2012,M01,0.739
APU0000701312,2012,M02,0.718
APU0000701312,2012,M03,0.700
APU0000701312,2012,M04,0.696
APU0000701312,2012,M05,0.677
APU0000701312,2012,M06,0.681
APU0000701312,2012,M07,0.681
APU0000701312,2012,M08,0.683
APU0000701312,2012,M09,0.684
APU0000701312,2012,M10,0.685
APU0000701312,2012,M11,0.704
APU0000701312,2012,M12,0.714
APU0000701312,2013,M01,0.715
APU0000701312,2013,M02,0.708
APU0000701312,2013,M03,0.714
APU0000701312,2013,M04,0.724
APU0000701312,2013,M05,0.702
APU0000701312,2013,M06,0.723
APU0000701312,2013,M07,0.721
APU0000701312,2013,M08,0.737
APU0000701312,2013,M09,0.741
APU0000701312,2013,M10,0.734
APU0000701312,2013,M11,0.729
APU0000701312,2013,M12,0.735
APU0000701312,2014,M01,0.731
APU0000701312,2014,M02,0.732
APU0000701312,2014,M03,0.733
APU0000701312,2014,M04,0.750
APU0000701312,2014,M05,0.739
APU0000701312,2014,M06,0.742
APU0000701312,2014,M07,0.758
APU0000701312,2014,M08,0.737
APU0000701312,2014,M09,0.746
APU0000701312,2014,M10,0.723
APU0000701312,2014,M11,0.717
APU0000701312,2014,M12,0.700
APU0000701312,2015,M01,0.692
APU0000701312,2015,M02,0.689
