Series Id,Year,Period,Value
APU0000701322,1984,M01,0.727
APU0000701322,1984,M02,0.717
APU0000701322,1984,M03,0.731
APU0000701322,1984,M04,0.738
APU0000701322,1984,M05,0.737
APU0000701322,1984,M06,0.734
APU0000701322,1984,M07,0.738
APU0000701322,1984,M08,0.748
APU0000701322,1984,M09,0.741
APU0000701322,1984,M10,0.724
APU0000701322,1984,M11,0.735
APU0000701322,1984,M12,0.736
APU0000701322,1985,M01,0.733
APU0000701322,1985,M02,0.730
APU0000701322,1985,M03,0.742
APU0000701322,1985,M04,0.746
APU0000701322,1985,M05,0.745
APU0000701322,1985,M06,0.742
APU0000701322,1985,M07,0.750
APU0000701322,1985,M08,0.732
APU0000701322,1985,M09,0.738
APU0000701322,1985,M10,0.726
APU0000701322,1985,M11,0.745
APU0000701322,1985,M12,0.743
APU0000701322,1986,M01,0.741
APU0000701322,1986,M02,0.740
APU0000701322,1986,M03,0.748
APU0000701322,1986,M04,0.743
APU0000701322,1986,M05,0.734
APU0000701322,1986,M06,0.748
APU0000701322,1986,M07,0.731
APU0000701322,1986,M08,0.737
APU0000701322,1986,M09,0.732
APU0000701322,1986,M10,0.727
APU0000701322,1986,M11,0.729
APU0000701322,1986,M12,0.747
APU0000701322,1987,M01,0.724
APU0000701322,1987,M02,0.723
APU0000701322,1987,M03,0.711
APU0000701322,1987,M04,0.723
APU0000701322,1987,M05,0.729
APU0000701322,1987,M06,0.742
APU0000701322,1987,M07,0.738
APU0000701322,1987,M08,0.741
APU0000701322,1987,M09,0.742
APU0000701322,1987,M10,0.722
APU0000701322,1987,M11,0.747
APU0000701322,1987,M12,0.747
APU0000701322,1988,M01,0.755
APU0000701322,1988,M02,0.759
APU0000701322,1988,M03,0.783
APU0000701322,1988,M04,0.765
APU0000701322,1988,M05,0.780
APU0000701322,1988,M06,0.784
APU0000701322,1988,M07,0.811
APU0000701322,1988,M08,0.827
APU0000701322,1988,M09,0.813
APU0000701322,1988,M10,0.852
APU0000701322,1988,M11,0.849
APU0000701322,1988,M12,0.850
APU0000701322,1989,M01,0.853
APU0000701322,1989,M02,0.852
APU0000701322,1989,M03,0.874
APU0000701322,1989,M04,0.875
APU0000701322,1989,M05,0.872
APU0000701322,1989,M06,0.869
APU0000701322,1989,M07,0.855
APU0000701322,1989,M08,0.863
APU0000701322,1989,M09,0.862
APU0000701322,1989,M10,0.855
APU0000701322,1989,M11,0.878
APU0000701322,1989,M12,0.873
APU0000701322,1990,M01,0.871
APU0000701322,1990,M02,0.864
APU0000701322,1990,M03,0.849
APU0000701322,1990,M04,0.864
APU0000701322,1990,M05,0.860
APU0000701322,1990,M06,0.843
APU0000701322,1990,M07,0.860
APU0000701322,1990,M08,0.842
APU0000701322,1990,M09,0.856
APU0000701322,1990,M10,0.845
APU0000701322,1990,M11,0.847
APU0000701322,1990,M12,0.850
APU0000701322,1991,M01,0.874
APU0000701322,1991,M02,0.868
APU0000701322,1991,M03,0.887
APU0000701322,1991,M04,0.876
APU0000701322,1991,M05,0.885
APU0000701322,1991,M06,0.880
APU0000701322,1991,M07,0.865
APU0000701322,1991,M08,0.859
APU0000701322,1991,M09,0.860
APU0000701322,1991,M10,0.852
APU0000701322,1991,M11,0.853
APU0000701322,1991,M12,0.857
APU0000701322,1992,M01,0.835
APU0000701322,1992,M02,0.867
APU0000701322,1992,M03,0.858
APU0000701322,1992,M04,0.855
APU0000701322,1992,M05,0.846
APU0000701322,1992,M06,0.859
APU0000701322,1992,M07,0.871
APU0000701322,1992,M08,0.881
APU0000701322,1992,M09,0.866
APU0000701322,1992,M10,0.843
APU0000701322,1992,M11,0.854
APU0000701322,1992,M12,0.859
APU0000701322,1993,M01,0.838
APU0000701322,1993,M02,0.848
APU0000701322,1993,M03,0.836
APU0000701322,1993,M04,0.804
APU0000701322,1993,M05,0.800
APU0000701322,1993,M06,0.809
APU0000701322,1993,M07,0.804
APU0000701322,1993,M08,0.831
APU0000701322,1993,M09,0.845
APU0000701322,1993,M10,0.817
APU0000701322,1993,M11,0.836
APU0000701322,1993,M12,0.843
APU0000701322,1994,M01,0.849
APU0000701322,1994,M02,0.854
APU0000701322,1994,M03,0.851
APU0000701322,1994,M04,0.877
APU0000701322,1994,M05,0.862
APU0000701322,1994,M06,0.864
APU0000701322,1994,M07,0.879
APU0000701322,1994,M08,0.875
APU0000701322,1994,M09,0.873
APU0000701322,1994,M10,0.869
APU0000701322,1994,M11,0.861
APU0000701322,1994,M12,0.867
APU0000701322,1995,M01,0.852
APU0000701322,1995,M02,0.868
APU0000701322,1995,M03,0.904
APU0000701322,1995,M04,0.859
APU0000701322,1995,M05,0.856
APU0000701322,1995,M06,0.870
APU0000701322,1995,M07,0.852
APU0000701322,1995,M08,0.847
APU0000701322,1995,M09,0.876
APU0000701322,1995,M10,0.824
APU0000701322,1995,M11,0.842
APU0000701322,1995,M12,0.878
APU0000701322,1996,M01,0.871
APU0000701322,1996,M02,0.854
APU0000701322,1996,M03,0.863
APU0000701322,1996,M04,0.866
APU0000701322,1996,M05,0.848
APU0000701322,1996,M06,0.887
APU0000701322,1996,M07,0.882
APU0000701322,1996,M08,0.877
APU0000701322,1996,M09,0.884
APU0000701322,1996,M10,0.850
APU0000701322,1996,M11,0.848
APU0000701322,1996,M12,0.845
APU0000701322,1997,M01,0.874
APU0000701322,1997,M02,0.849
APU0000701322,1997,M03,0.872
APU0000701322,1997,M04,0.883
APU0000701322,1997,M05,0.861
APU0000701322,1997,M06,0.863
APU0000701322,1997,M07,0.873
APU0000701322,1997,M08,0.878
APU0000701322,1997,M09,0.880
APU0000701322,1997,M10,0.887
APU0000701322,1997,M11,0.869
APU0000701322,1997,M12,0.883
APU0000701322,1998,M01,0.874
APU0000701322,1998,M02,0.878
APU0000701322,1998,M03,0.875
APU0000701322,1998,M04,0.873
APU0000701322,1998,M05,0.870
APU0000701322,1998,M06,0.895
APU0000701322,1998,M07,0.887
APU0000701322,1998,M08,0.890
APU0000701322,1998,M09,0.877
APU0000701322,1998,M10,0.895
APU0000701322,1998,M11,0.870
APU0000701322,1998,M12,0.877
APU0000701322,1999,M01,0.872
APU0000701322,1999,M02,0.880
APU0000701322,1999,M03,0.883
APU0000701322,1999,M04,0.888
APU0000701322,1999,M05,0.887
APU0000701322,1999,M06,0.882
APU0000701322,1999,M07,0.880
APU0000701322,1999,M08,0.877
APU0000701322,1999,M09,0.882
APU0000701322,1999,M10,0.849
APU0000701322,1999,M11,0.882
APU0000701322,1999,M12,0.881
APU0000701322,2000,M01,0.881
APU0000701322,2000,M02,0.843
APU0000701322,2000,M03,0.859
APU0000701322,2000,M04,0.866
APU0000701322,2000,M05,0.859
APU0000701322,2000,M06,0.830
APU0000701322,2000,M07,0.858
APU0000701322,2000,M08,0.858
APU0000701322,2000,M09,0.859
APU0000701322,2000,M10,0.877
APU0000701322,2000,M11,0.872
APU0000701322,2000,M12,0.884
APU0000701322,2001,M01,0.899
APU0000701322,2001,M02,0.882
APU0000701322,2001,M03,0.894
APU0000701322,2001,M04,0.889
APU0000701322,2001,M05,0.910
APU0000701322,2001,M06,0.912
APU0000701322,2001,M07,0.911
APU0000701322,2001,M08,0.931
APU0000701322,2001,M09,0.925
APU0000701322,2001,M10,0.918
APU0000701322,2001,M11,0.910
APU0000701322,2001,M12,0.909
APU0000701322,2002,M01,0.912
APU0000701322,2002,M02,0.902
APU0000701322,2002,M03,0.917
APU0000701322,2002,M04,0.927
APU0000701322,2002,M05,0.901
APU0000701322,2002,M06,0.935
APU0000701322,2002,M07,0.925
APU0000701322,2002,M08,0.916
APU0000701322,2002,M09,0.894
APU0000701322,2002,M10,0.924
APU0000701322,2002,M11,0.935
APU0000701322,2002,M12,0.933
APU0000701322,2003,M01,0.925
APU0000701322,2003,M02,0.956
APU0000701322,2003,M03,0.986
APU0000701322,2003,M04,0.950
APU0000701322,2003,M05,0.956
APU0000701322,2003,M06,0.953
APU0000701322,2003,M07,0.989
APU0000701322,2003,M08,0.897
APU0000701322,2003,M09,0.870
APU0000701322,2003,M10,0.862
APU0000701322,2003,M11,0.928
APU0000701322,2003,M12,0.920
APU0000701322,2004,M01,0.921
APU0000701322,2004,M02,0.919
APU0000701322,2004,M03,0.920
APU0000701322,2004,M04,0.918
APU0000701322,2004,M05,0.961
APU0000701322,2004,M06,0.969
APU0000701322,2004,M07,0.970
APU0000701322,2004,M08,0.966
APU0000701322,2004,M09,0.974
APU0000701322,2004,M10,0.934
APU0000701322,2004,M11,0.958
APU0000701322,2004,M12,0.948
APU0000701322,2005,M01,0.945
APU0000701322,2005,M02,0.938
APU0000701322,2005,M03,0.959
APU0000701322,2005,M04,0.958
APU0000701322,2005,M05,0.903
APU0000701322,2005,M06,0.869
APU0000701322,2005,M07,0.840
APU0000701322,2005,M08,0.902
APU0000701322,2005,M09,0.860
APU0000701322,2005,M10,0.893
APU0000701322,2005,M11,0.847
APU0000701322,2005,M12,0.870
APU0000701322,2006,M01,0.837
APU0000701322,2006,M02,0.848
APU0000701322,2006,M03,0.884
APU0000701322,2006,M04,0.837
APU0000701322,2006,M05,0.849
APU0000701322,2006,M06,0.837
APU0000701322,2006,M07,0.854
APU0000701322,2006,M08,0.863
APU0000701322,2006,M09,0.878
APU0000701322,2006,M10,0.860
APU0000701322,2006,M11,0.868
APU0000701322,2006,M12,0.887
APU0000701322,2007,M01,0.856
APU0000701322,2007,M02,0.895
APU0000701322,2007,M03,0.910
APU0000701322,2007,M04,0.928
APU0000701322,2007,M05,0.862
APU0000701322,2007,M06,0.878
APU0000701322,2007,M07,0.893
APU0000701322,2007,M08,0.868
APU0000701322,2007,M09,0.871
APU0000701322,2007,M10,0.849
APU0000701322,2007,M11,0.844
APU0000701322,2007,M12,0.846
APU0000701322,2008,M01,1.017
APU0000701322,2008,M02,1.104
APU0000701322,2008,M03,1.079
APU0000701322,2008,M04,1.118
APU0000701322,2008,M05,1.101
APU0000701322,2008,M06,1.117
APU0000701322,2008,M07,1.148
APU0000701322,2008,M08,1.139
APU0000701322,2008,M09,1.147
APU0000701322,2008,M10,1.189
APU0000701322,2008,M11,1.147
APU0000701322,2008,M12,1.134
APU0000701322,2009,M01,1.131
APU0000701322,2009,M02,1.133
APU0000701322,2009,M03,1.139
APU0000701322,2009,M04,1.122
APU0000701322,2009,M05,1.174
APU0000701322,2009,M06,1.178
APU0000701322,2009,M07,1.198
APU0000701322,2009,M08,1.226
APU0000701322,2009,M09,1.141
APU0000701322,2009,M10,1.168
APU0000701322,2009,M11,1.193
APU0000701322,2009,M12,1.169
APU0000701322,2010,M01,1.147
APU0000701322,2010,M02,1.163
APU0000701322,2010,M03,1.145
APU0000701322,2010,M04,1.132
APU0000701322,2010,M05,1.092
APU0000701322,2010,M06,1.117
APU0000701322,2010,M07,1.103
