Series Id,Year,Period,Value
APU0000711415,1980,M04,0.653
APU0000711415,1980,M05,0.608
APU0000711415,1980,M06,0.660
APU0000711415,1981,M03,0.886
APU0000711415,1981,M04,0.690
APU0000711415,1981,M05,0.637
APU0000711415,1981,M06,0.696
APU0000711415,1981,M07,0.770
APU0000711415,1982,M03,1.016
APU0000711415,1982,M04,0.914
APU0000711415,1982,M05,0.730
APU0000711415,1982,M06,0.778
APU0000711415,1982,M07,0.775
APU0000711415,1983,M04,0.728
APU0000711415,1983,M05,0.708
APU0000711415,1983,M06,0.752
APU0000711415,1983,M07,0.863
APU0000711415,1984,M03,0.912
APU0000711415,1984,M04,0.663
APU0000711415,1984,M05,0.648
APU0000711415,1984,M06,0.780
APU0000711415,1984,M07,0.827
APU0000711415,1984,M08,0.943
APU0000711415,1985,M03,1.016
APU0000711415,1985,M04,0.809
APU0000711415,1985,M05,0.646
APU0000711415,1985,M06,0.774
APU0000711415,1985,M07,0.913
APU0000711415,1986,M03,0.637
APU0000711415,1986,M04,0.797
APU0000711415,1986,M05,0.718
APU0000711415,1986,M06,0.840
APU0000711415,1986,M07,0.899
APU0000711415,1986,M08,1.081
APU0000711415,1987,M04,0.937
APU0000711415,1987,M05,0.824
APU0000711415,1987,M06,0.955
APU0000711415,1987,M07,1.071
APU0000711415,1987,M08,1.029
APU0000711415,1988,M03,1.181
APU0000711415,1988,M04,0.693
APU0000711415,1988,M05,0.919
APU0000711415,1988,M06,0.937
APU0000711415,1988,M07,1.059
APU0000711415,1988,M08,0.971
APU0000711415,1988,M09,1.216
APU0000711415,1989,M03,1.218
APU0000711415,1989,M04,0.966
APU0000711415,1989,M05,0.831
APU0000711415,1989,M06,1.055
APU0000711415,1989,M07,1.117
APU0000711415,1989,M08,0.986
APU0000711415,1989,M09,1.087
APU0000711415,1990,M02,1.638
APU0000711415,1990,M03,1.338
APU0000711415,1990,M04,1.109
APU0000711415,1990,M05,0.781
APU0000711415,1990,M06,0.987
APU0000711415,1990,M07,0.965
APU0000711415,1990,M08,1.081
APU0000711415,1990,M09,1.210
APU0000711415,1991,M02,1.467
APU0000711415,1991,M03,1.268
APU0000711415,1991,M04,1.112
APU0000711415,1991,M05,0.976
APU0000711415,1991,M06,0.924
APU0000711415,1991,M07,0.948
APU0000711415,1991,M08,0.961
APU0000711415,1991,M09,1.014
APU0000711415,1991,M10,1.035
APU0000711415,1992,M02,1.430
APU0000711415,1992,M03,1.173
APU0000711415,1992,M04,0.960
APU0000711415,1992,M05,0.831
APU0000711415,1992,M06,1.048
APU0000711415,1992,M07,0.988
APU0000711415,1992,M08,1.185
APU0000711415,1992,M09,1.473
APU0000711415,1992,M10,1.190
APU0000711415,1993,M02,1.467
APU0000711415,1993,M03,1.260
APU0000711415,1993,M04,0.908
APU0000711415,1993,M05,0.874
APU0000711415,1993,M06,1.066
APU0000711415,1993,M07,1.013
APU0000711415,1993,M08,1.069
APU0000711415,1993,M09,1.151
APU0000711415,1993,M10,1.261
APU0000711415,1994,M02,1.318
APU0000711415,1994,M03,1.262
APU0000711415,1994,M04,0.910
APU0000711415,1994,M05,0.983
APU0000711415,1994,M06,1.047
APU0000711415,1994,M07,1.085
APU0000711415,1994,M08,1.108
APU0000711415,1994,M09,1.209
APU0000711415,1994,M10,1.286
APU0000711415,1995,M02,1.926
APU0000711415,1995,M03,1.340
APU0000711415,1995,M04,1.001
APU0000711415,1995,M05,1.140
APU0000711415,1995,M06,1.180
APU0000711415,1995,M07,1.209
APU0000711415,1995,M08,1.398
APU0000711415,1995,M09,1.355
APU0000711415,1995,M10,1.316
APU0000711415,1996,M01,1.692
APU0000711415,1996,M02,1.505
APU0000711415,1996,M03,1.236
APU0000711415,1996,M04,1.082
APU0000711415,1996,M05,0.957
APU0000711415,1996,M06,1.226
APU0000711415,1996,M07,1.247
APU0000711415,1996,M08,1.164
APU0000711415,1996,M09,1.420
APU0000711415,1996,M10,1.409
APU0000711415,1997,M02,1.514
APU0000711415,1997,M03,1.317
APU0000711415,1997,M04,1.179
APU0000711415,1997,M05,1.073
APU0000711415,1997,M06,1.213
APU0000711415,1997,M07,1.383
APU0000711415,1997,M08,1.375
APU0000711415,1997,M09,1.488
APU0000711415,1997,M11,1.654
APU0000711415,1998,M01,2.135
APU0000711415,1998,M02,2.080
APU0000711415,1998,M03,1.751
APU0000711415,1998,M04,1.613
APU0000711415,1998,M05,1.386
APU0000711415,1998,M06,1.413
APU0000711415,1998,M07,1.346
APU0000711415,1998,M08,1.454
