Series Id,Year,Period,Value
APU0000715211,1980,M01,0.273
APU0000715211,1980,M02,0.301
APU0000715211,1980,M03,0.355
APU0000715211,1980,M04,0.368
APU0000715211,1980,M05,0.380
APU0000715211,1980,M06,0.430
APU0000715211,1980,M07,0.465
APU0000715211,1980,M08,0.462
APU0000715211,1980,M09,0.477
APU0000715211,1980,M10,0.503
APU0000715211,1980,M11,0.550
APU0000715211,1980,M12,0.565
APU0000715211,1981,M01,0.538
APU0000715211,1981,M02,0.523
APU0000715211,1981,M03,0.491
APU0000715211,1981,M04,0.446
APU0000715211,1981,M05,0.395
APU0000715211,1981,M06,0.369
APU0000715211,1981,M07,0.355
APU0000715211,1981,M08,0.351
APU0000715211,1981,M09,0.346
APU0000715211,1981,M10,0.335
APU0000715211,1981,M11,0.327
APU0000715211,1981,M12,0.325
APU0000715211,1982,M01,0.327
APU0000715211,1982,M02,0.339
APU0000715211,1982,M03,0.343
APU0000715211,1982,M04,0.338
APU0000715211,1982,M05,0.335
APU0000715211,1982,M06,0.341
APU0000715211,1982,M07,0.348
APU0000715211,1982,M08,0.352
APU0000715211,1982,M09,0.356
APU0000715211,1982,M10,0.355
APU0000715211,1982,M11,0.355
APU0000715211,1982,M12,0.352
APU0000715211,1983,M01,0.360
APU0000715211,1983,M02,0.355
APU0000715211,1983,M03,0.357
APU0000715211,1983,M04,0.358
APU0000715211,1983,M05,0.355
APU0000715211,1983,M06,0.359
APU0000715211,1983,M07,0.365
APU0000715211,1983,M08,0.365
APU0000715211,1983,M09,0.365
APU0000715211,1983,M10,0.365
APU0000715211,1983,M11,0.367
APU0000715211,1983,M12,0.370
APU0000715211,1984,M01,0.364
APU0000715211,1984,M02,0.364
APU0000715211,1984,M03,0.366
APU0000715211,1984,M04,0.366
APU0000715211,1984,M05,0.367
APU0000715211,1984,M06,0.365
APU0000715211,1984,M07,0.358
APU0000715211,1984,M08,0.358
APU0000715211,1984,M09,0.364
APU0000715211,1984,M10,0.365
APU0000715211,1984,M11,0.362
APU0000715211,1984,M12,0.360
APU0000715211,1985,M01,0.359
APU0000715211,1985,M02,0.360
APU0000715211,1985,M03,0.358
APU0000715211,1985,M04,0.356
APU0000715211,1985,M05,0.354
APU0000715211,1985,M06,0.346
APU0000715211,1985,M07,0.352
APU0000715211,1985,M08,0.354
APU0000715211,1985,M09,0.354
APU0000715211,1985,M10,0.351
APU0000715211,1985,M11,0.350
APU0000715211,1985,M12,0.347
APU0000715211,1986,M01,0.352
APU0000715211,1986,M02,0.353
APU0000715211,1986,M03,0.354
APU0000715211,1986,M04,0.354
APU0000715211,1986,M05,0.355
APU0000715211,1986,M06,0.353
APU0000715211,1986,M07,0.348
APU0000715211,1986,M08,0.348
APU0000715211,1986,M09,0.349
APU0000715211,1986,M10,0.347
APU0000715211,1986,M11,0.349
APU0000715211,1986,M12,0.348
APU0000715211,1987,M01,0.352
APU0000715211,1987,M02,0.349
APU0000715211,1987,M03,0.349
APU0000715211,1987,M04,0.345
APU0000715211,1987,M05,0.353
APU0000715211,1987,M06,0.351
APU0000715211,1987,M07,0.349
APU0000715211,1987,M08,0.355
APU0000715211,1987,M09,0.359
APU0000715211,1987,M10,0.359
APU0000715211,1987,M11,0.357
APU0000715211,1987,M12,0.356
APU0000715211,1988,M01,0.358
APU0000715211,1988,M02,0.357
APU0000715211,1988,M03,0.357
APU0000715211,1988,M04,0.355
APU0000715211,1988,M05,0.356
APU0000715211,1988,M06,0.357
APU0000715211,1988,M07,0.361
APU0000715211,1988,M08,0.370
APU0000715211,1988,M09,0.376
APU0000715211,1988,M10,0.380
APU0000715211,1988,M11,0.381
APU0000715211,1988,M12,0.384
APU0000715211,1989,M01,0.389
APU0000715211,1989,M02,0.392
APU0000715211,1989,M03,0.399
APU0000715211,1989,M04,0.399
APU0000715211,1989,M05,0.399
APU0000715211,1989,M06,0.398
APU0000715211,1989,M07,0.402
APU0000715211,1989,M08,0.403
APU0000715211,1989,M09,0.405
APU0000715211,1989,M10,0.407
APU0000715211,1989,M11,0.404
APU0000715211,1989,M12,0.406
APU0000715211,1990,M01,0.418
APU0000715211,1990,M02,0.419
APU0000715211,1990,M03,0.427
APU0000715211,1990,M04,0.428
APU0000715211,1990,M05,0.430
APU0000715211,1990,M06,0.427
APU0000715211,1990,M07,0.427
APU0000715211,1990,M08,0.433
APU0000715211,1990,M09,0.434
APU0000715211,1990,M10,0.432
APU0000715211,1990,M11,0.429
APU0000715211,1990,M12,0.429
APU0000715211,1991,M01,0.434
APU0000715211,1991,M02,0.430
APU0000715211,1991,M03,0.434
APU0000715211,1991,M04,0.433
APU0000715211,1991,M05,0.431
APU0000715211,1991,M06,0.432
APU0000715211,1991,M07,0.435
APU0000715211,1991,M08,0.428
APU0000715211,1991,M09,0.422
APU0000715211,1991,M10,0.420
APU0000715211,1991,M11,0.419
APU0000715211,1991,M12,0.418
APU0000715211,1992,M01,0.425
APU0000715211,1992,M02,0.424
APU0000715211,1992,M03,0.419
APU0000715211,1992,M04,0.417
APU0000715211,1992,M05,0.417
APU0000715211,1992,M06,0.415
APU0000715211,1992,M07,0.416
APU0000715211,1992,M08,0.411
APU0000715211,1992,M09,0.410
APU0000715211,1992,M10,0.412
APU0000715211,1992,M11,0.412
APU0000715211,1992,M12,0.406
APU0000715211,1993,M01,0.412
APU0000715211,1993,M02,0.410
APU0000715211,1993,M03,0.406
APU0000715211,1993,M04,0.408
APU0000715211,1993,M05,0.408
APU0000715211,1993,M06,0.403
APU0000715211,1993,M07,0.402
APU0000715211,1993,M08,0.406
APU0000715211,1993,M09,0.404
APU0000715211,1993,M10,0.405
APU0000715211,1993,M11,0.403
APU0000715211,1993,M12,0.398
APU0000715211,1994,M01,0.407
APU0000715211,1994,M02,0.405
APU0000715211,1994,M03,0.401
APU0000715211,1994,M04,0.399
APU0000715211,1994,M05,0.401
APU0000715211,1994,M06,0.397
APU0000715211,1994,M07,0.400
APU0000715211,1994,M08,0.397
APU0000715211,1994,M09,0.403
APU0000715211,1994,M10,0.402
APU0000715211,1994,M11,0.395
APU0000715211,1994,M12,0.392
APU0000715211,1995,M01,0.397
APU0000715211,1995,M02,0.399
APU0000715211,1995,M03,0.398
APU0000715211,1995,M04,0.394
APU0000715211,1995,M05,0.397
APU0000715211,1995,M06,0.395
APU0000715211,1995,M07,0.397
APU0000715211,1995,M08,0.396
APU0000715211,1995,M09,0.398
APU0000715211,1995,M10,0.404
APU0000715211,1995,M11,0.407
APU0000715211,1995,M12,0.398
APU0000715211,1996,M01,0.405
APU0000715211,1996,M02,0.403
APU0000715211,1996,M03,0.406
