Series Id,Year,Period,Value
APU0000712311,1980,M01,0.703
APU0000712311,1980,M02,0.586
APU0000712311,1980,M03,0.642
APU0000712311,1980,M04,0.634
APU0000712311,1980,M05,0.737
APU0000712311,1980,M06,0.745
APU0000712311,1980,M07,0.683
APU0000712311,1980,M08,0.646
APU0000712311,1980,M09,0.679
APU0000712311,1980,M10,0.764
APU0000712311,1980,M11,0.603
APU0000712311,1980,M12,0.662
APU0000712311,1981,M01,0.792
APU0000712311,1981,M02,1.016
APU0000712311,1981,M03,1.166
APU0000712311,1981,M04,1.201
APU0000712311,1981,M05,0.607
APU0000712311,1981,M06,0.639
APU0000712311,1981,M07,0.614
APU0000712311,1981,M08,0.659
APU0000712311,1981,M09,0.604
APU0000712311,1981,M10,0.652
APU0000712311,1981,M11,0.646
APU0000712311,1981,M12,0.642
APU0000712311,1982,M01,0.763
APU0000712311,1982,M02,0.901
APU0000712311,1982,M03,0.778
APU0000712311,1982,M04,0.664
APU0000712311,1982,M05,0.694
APU0000712311,1982,M06,0.869
APU0000712311,1982,M07,0.837
APU0000712311,1982,M08,0.584
APU0000712311,1982,M09,0.548
APU0000712311,1982,M10,0.633
APU0000712311,1982,M11,0.744
APU0000712311,1982,M12,0.849
APU0000712311,1983,M01,0.726
APU0000712311,1983,M02,0.814
APU0000712311,1983,M03,1.081
APU0000712311,1983,M04,1.011
APU0000712311,1983,M05,0.950
APU0000712311,1983,M06,0.797
APU0000712311,1983,M07,0.732
APU0000712311,1983,M08,0.584
APU0000712311,1983,M09,0.621
APU0000712311,1983,M10,0.709
APU0000712311,1983,M11,0.726
APU0000712311,1983,M12,0.663
APU0000712311,1984,M01,0.854
APU0000712311,1984,M02,0.998
APU0000712311,1984,M03,0.973
APU0000712311,1984,M04,0.839
APU0000712311,1984,M05,0.766
APU0000712311,1984,M06,0.778
APU0000712311,1984,M07,0.692
APU0000712311,1984,M08,0.901
APU0000712311,1984,M09,0.741
APU0000712311,1984,M10,0.744
APU0000712311,1984,M11,0.724
APU0000712311,1984,M12,0.678
APU0000712311,1985,M01,0.697
APU0000712311,1985,M02,0.840
APU0000712311,1985,M03,0.945
APU0000712311,1985,M04,1.194
APU0000712311,1985,M05,0.681
APU0000712311,1985,M06,0.624
APU0000712311,1985,M07,0.665
APU0000712311,1985,M08,0.642
APU0000712311,1985,M09,0.616
APU0000712311,1985,M10,0.673
APU0000712311,1985,M11,0.808
APU0000712311,1985,M12,0.953
APU0000712311,1986,M01,1.104
APU0000712311,1986,M02,0.752
APU0000712311,1986,M03,0.773
APU0000712311,1986,M04,0.805
APU0000712311,1986,M05,0.879
APU0000712311,1986,M06,0.802
APU0000712311,1986,M07,0.737
APU0000712311,1986,M08,0.686
APU0000712311,1986,M09,0.674
APU0000712311,1986,M10,0.811
APU0000712311,1986,M11,0.919
APU0000712311,1986,M12,0.943
APU0000712311,1987,M03,0.760
APU0000712311,1987,M04,0.820
APU0000712311,1987,M05,0.788
APU0000712311,1987,M06,0.883
APU0000712311,1987,M07,0.816
APU0000712311,1987,M08,0.664
APU0000712311,1987,M09,0.735
APU0000712311,1987,M10,0.777
APU0000712311,1987,M11,0.992
APU0000712311,1987,M12,0.996
APU0000712311,1988,M01,0.871
APU0000712311,1988,M02,0.856
APU0000712311,1988,M03,0.744
APU0000712311,1988,M04,0.902
APU0000712311,1988,M05,0.859
APU0000712311,1988,M06,0.765
APU0000712311,1988,M07,0.798
APU0000712311,1988,M08,0.819
APU0000712311,1988,M09,0.874
APU0000712311,1988,M10,0.853
APU0000712311,1988,M11,0.856
APU0000712311,1988,M12,0.812
APU0000712311,1989,M01,0.797
APU0000712311,1989,M02,1.051
APU0000712311,1989,M03,0.891
APU0000712311,1989,M04,0.970
APU0000712311,1989,M05,1.323
APU0000712311,1989,M06,0.873
APU0000712311,1989,M07,0.847
APU0000712311,1989,M08,0.797
APU0000712311,1989,M09,0.777
APU0000712311,1989,M10,0.836
APU0000712311,1989,M11,0.884
APU0000712311,1989,M12,0.898
APU0000712311,1990,M01,1.735
APU0000712311,1990,M02,2.361
APU0000712311,1990,M03,1.765
APU0000712311,1990,M04,0.732
APU0000712311,1990,M05,0.697
APU0000712311,1990,M06,0.792
APU0000712311,1990,M07,0.777
APU0000712311,1990,M08,0.765
APU0000712311,1990,M09,0.773
APU0000712311,1990,M10,0.846
APU0000712311,1990,M11,0.862
APU0000712311,1990,M12,0.858
APU0000712311,1991,M01,0.912
APU0000712311,1991,M02,0.840
APU0000712311,1991,M03,0.948
APU0000712311,1991,M04,1.210
APU0000712311,1991,M05,1.457
APU0000712311,1991,M06,1.672
APU0000712311,1991,M07,1.166
APU0000712311,1991,M08,0.795
APU0000712311,1991,M09,0.759
APU0000712311,1991,M10,0.714
APU0000712311,1991,M11,0.813
APU0000712311,1991,M12,0.793
APU0000712311,1992,M01,0.936
APU0000712311,1992,M02,1.430
APU0000712311,1992,M03,1.729
APU0000712311,1992,M04,1.623
APU0000712311,1992,M05,0.828
APU0000712311,1992,M06,0.747
APU0000712311,1992,M07,0.801
APU0000712311,1992,M08,0.802
APU0000712311,1992,M09,0.765
APU0000712311,1992,M10,1.001
APU0000712311,1992,M11,1.242
APU0000712311,1992,M12,1.227
APU0000712311,1993,M01,1.141
APU0000712311,1993,M02,1.098
APU0000712311,1993,M03,0.880
APU0000712311,1993,M04,1.016
APU0000712311,1993,M05,1.553
APU0000712311,1993,M06,1.278
APU0000712311,1993,M07,0.824
APU0000712311,1993,M08,0.856
APU0000712311,1993,M09,1.092
APU0000712311,1993,M10,0.944
APU0000712311,1993,M11,1.010
APU0000712311,1993,M12,1.313
APU0000712311,1994,M01,1.604
APU0000712311,1994,M02,1.112
APU0000712311,1994,M03,0.914
APU0000712311,1994,M04,0.951
APU0000712311,1994,M05,0.949
APU0000712311,1994,M06,1.047
APU0000712311,1994,M07,0.990
APU0000712311,1994,M08,0.969
APU0000712311,1994,M09,0.958
APU0000712311,1994,M10,0.979
APU0000712311,1994,M11,1.129
APU0000712311,1994,M12,1.428
APU0000712311,1995,M01,1.323
APU0000712311,1995,M02,1.300
APU0000712311,1995,M03,1.081
APU0000712311,1995,M04,1.299
APU0000712311,1995,M05,0.985
APU0000712311,1995,M06,1.102
APU0000712311,1995,M07,1.252
APU0000712311,1995,M08,0.938
APU0000712311,1995,M09,0.950
APU0000712311,1995,M10,1.041
APU0000712311,1995,M11,1.097
APU0000712311,1995,M12,1.507
APU0000712311,1996,M01,1.103
APU0000712311,1996,M02,1.084
APU0000712311,1996,M03,1.467
APU0000712311,1996,M04,1.867
APU0000712311,1996,M05,1.379
APU0000712311,1996,M06,1.127
APU0000712311,1996,M07,1.031
APU0000712311,1996,M08,1.006
APU0000712311,1996,M09,0.980
APU0000712311,1996,M10,1.084
APU0000712311,1996,M11,1.182
APU0000712311,1996,M12,1.210
APU0000712311,1997,M01,1.213
APU0000712311,1997,M02,1.314
APU0000712311,1997,M03,1.654
APU0000712311,1997,M04,1.348
APU0000712311,1997,M05,1.175
APU0000712311,1997,M06,1.300
APU0000712311,1997,M07,1.141
APU0000712311,1997,M08,1.130
APU0000712311,1997,M09,1.091
APU0000712311,1997,M10,1.162
APU0000712311,1997,M11,1.370
APU0000712311,1997,M12,1.617
APU0000712311,1998,M01,1.452
APU0000712311,1998,M02,1.356
APU0000712311,1998,M03,1.515
APU0000712311,1998,M04,1.398
APU0000712311,1998,M05,1.472
APU0000712311,1998,M06,1.393
APU0000712311,1998,M07,1.515
APU0000712311,1998,M08,1.312
APU0000712311,1998,M09,1.241
APU0000712311,1998,M10,1.573
APU0000712311,1998,M11,1.689
APU0000712311,1998,M12,1.798
APU0000712311,1999,M01,1.904
APU0000712311,1999,M02,1.476
APU0000712311,1999,M03,1.395
APU0000712311,1999,M04,1.298
APU0000712311,1999,M05,1.284
APU0000712311,1999,M06,1.304
APU0000712311,1999,M07,1.287
APU0000712311,1999,M08,1.232
APU0000712311,1999,M09,1.272
APU0000712311,1999,M10,1.279
APU0000712311,1999,M11,1.300
APU0000712311,1999,M12,1.405
APU0000712311,2000,M01,1.443
APU0000712311,2000,M02,1.286
APU0000712311,2000,M03,1.364
APU0000712311,2000,M04,1.487
APU0000712311,2000,M05,1.366
APU0000712311,2000,M06,1.318
APU0000712311,2000,M07,1.282
APU0000712311,2000,M08,1.262
APU0000712311,2000,M09,1.319
APU0000712311,2000,M10,1.387
APU0000712311,2000,M11,1.503
APU0000712311,2000,M12,1.567
APU0000712311,2001,M01,1.414
APU0000712311,2001,M02,1.313
APU0000712311,2001,M03,1.336
APU0000712311,2001,M04,1.433
APU0000712311,2001,M05,1.243
APU0000712311,2001,M06,1.356
APU0000712311,2001,M07,1.257
APU0000712311,2001,M08,1.185
APU0000712311,2001,M09,1.168
APU0000712311,2001,M10,1.267
APU0000712311,2001,M11,1.468
APU0000712311,2001,M12,1.404
APU0000712311,2002,M01,1.451
APU0000712311,2002,M02,1.298
APU0000712311,2002,M03,1.292
APU0000712311,2002,M04,1.319
APU0000712311,2002,M05,1.332
APU0000712311,2002,M06,1.299
APU0000712311,2002,M07,1.243
APU0000712311,2002,M08,1.181
APU0000712311,2002,M09,1.158
APU0000712311,2002,M10,1.236
APU0000712311,2002,M11,1.430
APU0000712311,2002,M12,1.655
APU0000712311,2003,M01,1.711
APU0000712311,2003,M02,1.565
APU0000712311,2003,M03,1.619
APU0000712311,2003,M04,1.555
APU0000712311,2003,M05,1.401
APU0000712311,2003,M06,1.398
APU0000712311,2003,M07,1.460
APU0000712311,2003,M08,1.513
APU0000712311,2003,M09,1.438
APU0000712311,2003,M10,1.436
APU0000712311,2003,M11,1.480
APU0000712311,2003,M12,1.533
APU0000712311,2004,M01,1.472
