Series Id,Year,Period,Value
APU0000706311,1980,M01,0.949
APU0000706311,1980,M02,0.922
APU0000706311,1980,M03,0.912
APU0000706311,1980,M04,0.897
APU0000706311,1980,M05,0.906
APU0000706311,1980,M06,0.903
APU0000706311,1980,M07,0.918
APU0000706311,1980,M08,0.935
APU0000706311,1980,M09,0.956
APU0000706311,1980,M10,0.990
APU0000706311,1980,M11,0.977
APU0000706311,1980,M12,0.978
APU0000706311,1981,M01,0.979
APU0000706311,1981,M02,0.982
APU0000706311,1981,M03,0.983
APU0000706311,1981,M04,0.957
APU0000706311,1981,M05,0.990
APU0000706311,1981,M06,1.007
APU0000706311,1981,M07,1.023
APU0000706311,1981,M08,1.033
APU0000706311,1981,M09,0.999
APU0000706311,1981,M10,0.981
APU0000706311,1981,M11,0.920
APU0000706311,1981,M12,0.888
APU0000706311,1982,M01,0.935
APU0000706311,1982,M02,0.920
APU0000706311,1982,M03,0.919
APU0000706311,1982,M04,0.900
APU0000706311,1982,M05,0.925
APU0000706311,1982,M06,0.914
APU0000706311,1982,M07,0.941
APU0000706311,1982,M08,0.966
APU0000706311,1982,M09,0.957
APU0000706311,1982,M10,0.965
APU0000706311,1982,M11,0.929
APU0000706311,1982,M12,0.893
APU0000706311,1983,M01,0.920
APU0000706311,1983,M02,0.924
APU0000706311,1983,M03,0.918
APU0000706311,1983,M04,0.922
APU0000706311,1983,M05,0.927
APU0000706311,1983,M06,0.928
APU0000706311,1983,M07,0.936
APU0000706311,1983,M08,0.926
APU0000706311,1983,M09,0.919
APU0000706311,1983,M10,0.961
APU0000706311,1983,M11,0.887
APU0000706311,1983,M12,0.892
APU0000706311,1984,M01,0.928
APU0000706311,1984,M02,0.943
APU0000706311,1984,M03,0.959
APU0000706311,1984,M04,0.946
APU0000706311,1984,M05,0.976
APU0000706311,1984,M06,0.994
APU0000706311,1984,M07,1.016
APU0000706311,1984,M08,1.014
APU0000706311,1984,M09,1.023
APU0000706311,1984,M10,1.036
APU0000706311,1984,M11,0.978
APU0000706311,1984,M12,1.057
APU0000706311,1985,M01,1.091
APU0000706311,1985,M02,1.073
APU0000706311,1985,M03,1.053
APU0000706311,1985,M04,1.044
APU0000706311,1985,M05,1.030
APU0000706311,1985,M06,1.029
APU0000706311,1985,M07,1.040
APU0000706311,1985,M08,1.044
APU0000706311,1985,M09,1.073
APU0000706311,1985,M10,1.075
APU0000706311,1985,M11,1.042
APU0000706311,1985,M12,1.031
APU0000706311,1986,M01,1.063
APU0000706311,1986,M02,1.078
APU0000706311,1986,M03,1.048
APU0000706311,1986,M04,1.042
APU0000706311,1986,M05,1.034
APU0000706311,1986,M06,1.023
APU0000706311,1986,M07,1.056
APU0000706311,1986,M08,1.095
APU0000706311,1986,M09,1.119
APU0000706311,1986,M10,1.129
APU0000706311,1986,M11,1.081
APU0000706311,1986,M12,1.021
APU0000706311,1987,M01,1.036
APU0000706311,1987,M02,1.032
APU0000706311,1987,M03,1.030
APU0000706311,1987,M04,1.004
APU0000706311,1987,M05,1.028
APU0000706311,1987,M06,1.051
APU0000706311,1987,M07,1.058
APU0000706311,1987,M08,1.051
