Series Id,Year,Period,Value
APU000072620,1978,M12,0.005
APU000072620,1979,M01,0.009
APU000072620,1979,M02,0.001
APU000072620,1979,M03,0.004
APU000072620,1979,M04,-0.001
APU000072620,1979,M05,0.016
APU000072620,1979,M06,0.006
APU000072620,1979,M07,0.006
APU000072620,1979,M08,0.003
APU000072620,1979,M09,0.010
APU000072620,1979,M10,0.012
APU000072620,1979,M11,-0.004
APU000072620,1979,M12,0.004
APU000072620,1980,M01,0.006
APU000072620,1980,M02,0.002
APU000072620,1980,M03,0.002
APU000072620,1980,M04,0.001
APU000072620,1980,M05,0.020
APU000072620,1980,M06,0.002
APU000072620,1980,M07,0.011
APU000072620,1980,M08,-0.002
APU000072620,1980,M09,0.007
APU000072620,1980,M10,0.003
APU000072620,1980,M11,-0.011
APU000072620,1980,M12,0.006
APU000072620,1981,M01,0.004
APU000072620,1981,M02,0.010
APU000072620,1981,M03,0.007
APU000072620,1981,M04,0.004
APU000072620,1981,M05,0.009
APU000072620,1981,M06,0.004
APU000072620,1981,M07,0.002
APU000072620,1981,M08,0.020
APU000072620,1981,M09,0.018
APU000072620,1981,M10,0.000
APU000072620,1981,M11,-0.003
APU000072620,1981,M12,-0.003
APU000072620,1982,M01,0.011
APU000072620,1982,M02,0.001
APU000072620,1982,M03,0.015
APU000072620,1982,M04,0.010
APU000072620,1982,M05,0.035
APU000072620,1982,M06,0.001
APU000072620,1982,M07,-0.002
APU000072620,1982,M08,-0.003
APU000072620,1982,M09,0.015
APU000072620,1982,M10,0.025
APU000072620,1982,M11,-0.002
APU000072620,1982,M12,0.013
APU000072620,1983,M01,0.008
APU000072620,1983,M02,0.003
APU000072620,1983,M03,0.004
APU000072620,1983,M04,0.018
APU000072620,1983,M05,0.017
APU000072620,1983,M06,0.000
APU000072620,1983,M07,-0.001
APU000072620,1983,M08,-0.003
APU000072620,1983,M09,0.002
APU000072620,1983,M10,-0.013
APU000072620,1983,M11,-0.002
APU000072620,1983,M12,0.003
APU000072620,1984,M01,-0.011
APU000072620,1984,M02,0.003
APU000072620,1984,M03,0.001
APU000072620,1984,M04,0.001
APU000072620,1984,M05,0.017
APU000072620,1984,M06,-0.002
APU000072620,1984,M07,0.001
APU000072620,1984,M08,0.002
APU000072620,1984,M09,-0.013
APU000072620,1984,M10,-0.002
APU000072620,1984,M11,-0.010
APU000072620,1984,M12,-0.001
APU000072620,1985,M01,0.001
APU000072620,1985,M02,-0.006
APU000072620,1985,M03,0.008
APU000072620,1985,M04,-0.001
APU000072620,1985,M05,0.015
APU000072620,1985,M06,-0.004
APU000072620,1985,M07,-0.006
APU000072620,1985,M08,-0.022
APU000072620,1985,M11,-0.012
APU000072620,1985,M12,-0.004
APU000072620,1986,M01,0.001
APU000072620,1986,M02,-0.011
APU000072620,1986,M03,0.002
APU000072620,1986,M04,-0.004
APU000072620,1986,M05,0.030
APU000072620,1986,M06,0.001
APU000072620,1986,M07,-0.027
APU000072620,1986,M08,0.010
APU000072620,1986,M09,-0.020
APU000072620,1986,M10,0.008
APU000072620,1986,M11,-0.046
APU000072620,1986,M12,0.012
APU000072620,1987,M01,0.013
APU000072620,1987,M02,0.001
APU000072620,1987,M03,-0.005
APU000072620,1987,M04,-0.003
APU000072620,1987,M05,0.026
APU000072620,1987,M06,0.000
APU000072620,1987,M07,-0.019
APU000072620,1987,M08,0.010
APU000072620,1987,M09,-0.007
APU000072620,1987,M10,-0.003
APU000072620,1987,M11,-0.019
APU000072620,1987,M12,-0.001
APU000072620,1988,M01,0.012
APU000072620,1988,M02,0.002
APU000072620,1988,M03,-0.004
APU000072620,1988,M04,-0.002
APU000072620,1988,M05,0.033
APU000072620,1988,M06,-0.008
APU000072620,1988,M07,0.001
APU000072620,1988,M08,-0.005
APU000072620,1988,M09,0.002
APU000072620,1988,M10,0.007
APU000072620,1988,M11,-0.018
APU000072620,1988,M12,-0.001
APU000072620,1989,M01,0.010
APU000072620,1989,M02,0.002
APU000072620,1989,M03,-0.003
APU000072620,1989,M04,-0.002
APU000072620,1989,M05,0.013
APU000072620,1989,M06,-0.003
APU000072620,1989,M07,-0.004
APU000072620,1989,M08,0.001
APU000072620,1989,M09,-0.005
APU000072620,1989,M10,0.010
APU000072620,1989,M11,-0.010
APU000072620,1989,M12,0.006
APU000072620,1990,M01,0.007
APU000072620,1990,M02,0.004
APU000072620,1990,M03,-0.007
APU000072620,1990,M04,-0.026
APU000072620,1990,M05,0.011
APU000072620,1990,M06,0.007
APU000072620,1990,M07,-0.012
APU000072620,1990,M08,0.002
APU000072620,1990,M09,0.007
APU000072620,1990,M10,0.006
APU000072620,1990,M11,0.005
APU000072620,1990,M12,0.009
APU000072620,1991,M01,0.012
APU000072620,1991,M02,-0.009
APU000072620,1991,M03,-0.009
APU000072620,1991,M04,-0.012
APU000072620,1991,M05,0.011
APU000072620,1991,M06,-0.012
APU000072620,1991,M07,0.003
APU000072620,1991,M08,-0.005
APU000072620,1991,M09,0.005
APU000072620,1991,M10,0.009
APU000072620,1991,M11,0.006
APU000072620,1991,M12,0.002
APU000072620,1992,M01,0.005
APU000072620,1992,M02,-0.011
APU000072620,1992,M03,-0.033
APU000072620,1992,M04,0.008
APU000072620,1992,M05,0.005
APU000072620,1992,M06,0.002
APU000072620,1992,M07,0.004
APU000072620,1992,M08,-0.004
APU000072620,1992,M09,0.022
APU000072620,1992,M10,0.010
APU000072620,1992,M11,0.009
APU000072620,1992,M12,0.000
APU000072620,1993,M01,0.004
APU000072620,1993,M02,-0.008
APU000072620,1993,M03,-0.003
APU000072620,1993,M04,0.000
APU000072620,1993,M05,0.012
APU000072620,1993,M06,0.008
APU000072620,1993,M07,-0.001
APU000072620,1993,M08,0.003
APU000072620,1993,M09,0.008
APU000072620,1993,M10,0.002
APU000072620,1993,M11,-0.003
APU000072620,1993,M12,0.017
APU000072620,1994,M01,0.000
APU000072620,1994,M02,-0.001
APU000072620,1994,M03,0.005
APU000072620,1994,M04,-0.003
APU000072620,1994,M05,-0.013
APU000072620,1994,M06,-0.008
APU000072620,1994,M07,-0.004
APU000072620,1994,M08,0.002
APU000072620,1994,M09,-0.001
APU000072620,1994,M10,-0.003
APU000072620,1994,M11,0.003
APU000072620,1994,M12,0.008
APU000072620,1995,M01,-0.002
APU000072620,1995,M02,-0.005
APU000072620,1995,M03,-0.011
APU000072620,1995,M04,0.000
APU000072620,1995,M05,-0.012
APU000072620,1995,M06,-0.009
APU000072620,1995,M07,0.000
APU000072620,1995,M08,-0.006
APU000072620,1995,M09,0.003
APU000072620,1995,M10,-0.003
APU000072620,1995,M11,-0.002
APU000072620,1995,M12,0.025
APU000072620,1996,M01,0.007
APU000072620,1996,M02,0.005
APU000072620,1996,M03,-0.021
APU000072620,1996,M04,0.007
APU000072620,1996,M05,0.024
APU000072620,1996,M06,0.000
APU000072620,1996,M07,0.001
APU000072620,1996,M08,0.000
APU000072620,1996,M09,-0.002
APU000072620,1996,M10,0.001
APU000072620,1996,M11,0.024
APU000072620,1996,M12,0.019
APU000072620,1997,M01,0.037
APU000072620,1997,M02,0.003
APU000072620,1997,M03,-0.038
APU000072620,1997,M04,-0.028
APU000072620,1997,M05,-0.013
APU000072620,1997,M06,0.013
APU000072620,1997,M07,0.005
APU000072620,1997,M08,-0.008
APU000072620,1997,M09,0.016
APU000072620,1997,M10,0.011
APU000072620,1997,M11,0.029
APU000072620,1997,M12,-0.009
APU000072620,1998,M01,-0.003
APU000072620,1998,M02,-0.017
APU000072620,1998,M03,-0.002
APU000072620,1998,M04,-0.002
APU000072620,1998,M05,0.004
APU000072620,1998,M06,-0.015
APU000072620,1998,M07,-0.002
APU000072620,1998,M08,-0.003
APU000072620,1998,M09,0.000
APU000072620,1998,M10,0.003
APU000072620,1998,M11,0.018
APU000072620,1998,M12,0.008
APU000072620,1999,M01,-0.010
APU000072620,1999,M02,-0.011
APU000072620,1999,M03,-0.013
APU000072620,1999,M04,-0.005
APU000072620,1999,M05,0.004
APU000072620,1999,M06,0.005
APU000072620,1999,M07,0.008
APU000072620,1999,M08,0.009
APU000072620,1999,M09,0.023
APU000072620,1999,M10,-0.003
APU000072620,1999,M11,0.026
APU000072620,1999,M12,-0.020
APU000072620,2000,M01,0.002
APU000072620,2000,M02,0.002
APU000072620,2000,M03,-0.002
APU000072620,2000,M04,0.009
APU000072620,2000,M05,0.009
APU000072620,2000,M06,0.051
APU000072620,2000,M07,0.032
APU000072620,2000,M08,-0.005
APU000072620,2000,M09,0.043
APU000072620,2000,M10,0.052
APU000072620,2000,M11,0.016
APU000072620,2000,M12,0.058
APU000072620,2001,M01,0.173
APU000072620,2001,M02,-0.030
APU000072620,2001,M03,-0.042
APU000072620,2001,M04,-0.028
APU000072620,2001,M05,-0.030
APU000072620,2001,M06,-0.083
APU000072620,2001,M07,-0.049
APU000072620,2001,M08,-0.034
APU000072620,2001,M09,-0.043
APU000072620,2001,M10,-0.048
APU000072620,2001,M11,0.036
APU000072620,2001,M12,-0.012
APU000072620,2002,M01,0.002
APU000072620,2002,M02,-0.032
APU000072620,2002,M03,-0.002
APU000072620,2002,M04,0.018
APU000072620,2002,M05,-0.001
APU000072620,2002,M06,-0.001
APU000072620,2002,M07,0.001
APU000072620,2002,M08,-0.004
APU000072620,2002,M09,0.008
APU000072620,2002,M10,0.025
APU000072620,2002,M11,0.042
APU000072620,2002,M12,0.004
APU000072620,2003,M01,0.034
APU000072620,2003,M02,0.021
APU000072620,2003,M03,0.126
APU000072620,2003,M04,-0.040
APU000072620,2003,M05,-0.022
APU000072620,2003,M06,0.026
APU000072620,2003,M07,-0.006
APU000072620,2003,M08,-0.017
APU000072620,2003,M09,0.005
APU000072620,2003,M10,-0.008
APU000072620,2003,M11,0.012
APU000072620,2003,M12,0.013
APU000072620,2004,M01,0.038
APU000072620,2004,M02,-0.008
APU000072620,2004,M03,-0.029
APU000072620,2004,M04,0.006
APU000072620,2004,M05,0.008
APU000072620,2004,M06,0.041
APU000072620,2004,M07,0.011
APU000072620,2004,M08,0.005
APU000072620,2004,M09,-0.029
APU000072620,2004,M10,0.010
APU000072620,2004,M11,0.101
APU000072620,2004,M12,0.009
APU000072620,2005,M01,-0.012
APU000072620,2005,M02,-0.031
APU000072620,2005,M03,-0.015
APU000072620,2005,M04,0.062
APU000072620,2005,M05,-0.006
APU000072620,2005,M06,-0.028
APU000072620,2005,M07,0.044
APU000072620,2005,M08,0.021
APU000072620,2005,M09,0.135
APU000072620,2005,M10,0.188
APU000072620,2005,M11,0.036
APU000072620,2005,M12,-0.050
APU000072620,2006,M01,0.033
APU000072620,2006,M02,-0.129
APU000072620,2006,M03,-0.067
APU000072620,2006,M04,-0.057
APU000072620,2006,M05,-0.015
APU000072620,2006,M06,-0.053
APU000072620,2006,M07,0.003
APU000072620,2006,M08,0.007
APU000072620,2006,M09,0.019
APU000072620,2006,M10,-0.091
APU000072620,2006,M11,0.104
APU000072620,2006,M12,0.033
APU000072620,2007,M01,-0.020
APU000072620,2007,M02,0.002
APU000072620,2007,M03,0.024
APU000072620,2007,M04,-0.007
APU000072620,2007,M05,0.004
APU000072620,2007,M06,0.011
APU000072620,2007,M07,-0.020
APU000072620,2007,M08,-0.053
APU000072620,2007,M09,-0.019
APU000072620,2007,M10,0.012
APU000072620,2007,M11,0.054
APU000072620,2007,M12,0.008
APU000072620,2008,M01,-0.003
APU000072620,2008,M02,0.032
APU000072620,2008,M03,0.048
APU000072620,2008,M04,0.069
APU000072620,2008,M05,0.078
APU000072620,2008,M06,0.073
APU000072620,2008,M07,0.125
APU000072620,2008,M08,-0.107
APU000072620,2008,M09,-0.148
APU000072620,2008,M10,-0.053
APU000072620,2008,M11,-0.023
APU000072620,2008,M12,-0.017
APU000072620,2009,M01,-0.034
APU000072620,2009,M02,-0.053
APU000072620,2009,M03,-0.060
APU000072620,2009,M04,-0.089
APU000072620,2009,M05,-0.068
APU000072620,2009,M06,0.009
APU000072620,2009,M07,0.014
APU000072620,2009,M08,-0.016
APU000072620,2009,M09,-0.030
APU000072620,2009,M10,0.020
APU000072620,2009,M11,0.062
APU000072620,2009,M12,-0.005
APU000072620,2010,M01,0.050
APU000072620,2010,M02,0.006
APU000072620,2010,M03,-0.024
APU000072620,2010,M04,-0.046
APU000072620,2010,M05,-0.011
APU000072620,2010,M06,0.004
APU000072620,2010,M07,0.027
APU000072620,2010,M08,-0.009
APU000072620,2010,M09,-0.040
APU000072620,2010,M10,0.007
APU000072620,2010,M11,-0.010
APU000072620,2010,M12,0.019
APU000072620,2011,M01,0.007
